Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202506051750;18.40;0.00;10.00;162.00;73.80;13.60;163.00;2.50;4.30;951.90;1013.30;1015.10;-;-;-;-;-;-;-;-
COM;202506051750;15.70;0.00;0.00;48.00;99.90;15.70;277.00;2.90;4.30;949.60;1015.80;1017.20;-;-;-;-;-;-;-;-
ABO;202506051750;13.90;0.00;0.00;32.00;81.20;10.70;47.00;6.10;11.50;867.80;-;1017.80;1500.40;-;-;-;-;-;-;-
AIG;202506051750;19.50;0.00;0.00;68.00;69.00;13.70;322.00;2.90;5.40;970.00;1013.90;1015.20;-;-;-;-;-;-;-;-
ALT;202506051750;17.80;0.00;0.00;82.00;85.10;15.30;260.00;0.70;2.90;963.30;1013.80;1015.10;-;-;-;-;-;-;-;-
ARH;202506051750;17.90;0.00;0.00;67.00;74.90;13.40;136.00;6.80;18.00;968.10;1014.00;1015.10;-;-;-;-;-;-;-;-
AND;202506051750;13.50;0.00;0.00;55.00;92.30;12.30;298.00;1.80;6.80;904.10;-;1017.70;1505.10;-;-;-;-;-;-;-
ANT;202506051750;12.90;0.00;0.00;70.00;76.70;8.90;197.00;18.00;27.00;857.10;-;1018.80;1505.60;-;-;-;-;-;-;-
ARO;202506051750;9.60;-;0.00;39.00;93.60;8.60;90.00;3.60;8.60;812.60;-;1020.00;1503.30;-;-;-;-;-;-;-
RAG;202506051750;17.70;0.00;6.00;133.00;77.70;13.80;137.00;1.10;2.90;957.50;1014.50;1016.00;-;-;-;-;-;-;-;-
BAN;202506051750;-;-;0.00;63.00;-;-;-;-;-;-;-;-;-;-;252.00;38.50;48.60;14.80;68.00;9.00
BAS;202506051750;18.60;0.00;0.00;60.00;77.10;14.50;140.00;4.70;7.20;976.90;1013.60;1014.50;-;-;-;-;-;-;-;-
LAT;202506051750;11.50;-;0.00;24.00;99.30;11.40;296.00;2.50;4.70;-;-;-;-;-;-;-;-;-;-;-
BER;202506051750;18.50;0.00;0.00;70.00;66.30;12.10;234.00;6.80;11.90;950.30;1013.30;1015.30;-;-;-;-;-;-;-;-
BEZ;202506051750;18.60;0.00;0.00;55.00;83.10;15.70;300.00;0.40;1.80;976.00;1013.80;1014.70;-;-;-;-;-;-;-;-
BIA;202506051750;17.40;-;0.00;28.00;94.60;16.50;258.00;2.90;4.70;983.30;1015.80;1016.40;-;-;-;-;-;-;-;-
BIN;202506051750;12.60;0.00;-;-;87.40;10.60;45.00;5.40;9.70;-;-;-;-;-;-;-;-;-;-;-
BIZ;202506051750;18.40;-;0.00;184.00;86.30;16.10;233.00;4.70;7.60;955.60;1013.60;1015.20;-;-;-;-;-;-;-;-
BIV;202506051750;10.40;-;-;-;72.80;5.70;10.00;5.40;22.30;-;-;-;-;-;-;-;-;-;-;-
BIE;202506051750;17.60;0.00;0.00;97.00;79.50;14.00;233.00;13.30;23.00;936.20;-;1015.90;1502.90;-;-;-;-;-;-;-
BLA;202506051750;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
BOL;202506051750;17.20;0.00;0.00;31.00;70.70;11.80;70.00;3.20;6.10;921.10;-;1016.10;1501.70;-;-;-;-;-;-;-
BOU;202506051750;19.40;-;-;-;71.50;14.10;168.00;5.40;7.90;970.90;1013.90;1015.20;-;-;-;-;-;-;-;-
BRZ;202506051750;-;0.00;-;-;-;-;328.00;1.40;2.90;948.60;-;1015.10;-;-;-;-;-;-;-;-
BUS;202506051750;17.90;0.00;0.00;67.00;78.20;14.10;31.00;4.00;9.40;968.80;1013.50;1014.60;-;-;-;-;-;-;-;-
BUF;202506051750;9.60;0.00;0.00;11.00;81.70;6.60;323.00;4.70;7.20;804.40;-;1021.10;1508.80;-;-;-;-;-;-;-
FRE;202506051750;13.40;0.00;0.00;26.00;78.80;9.80;214.00;18.40;37.80;880.30;-;1017.60;1500.70;-;-;-;-;-;-;-
CEV;202506051750;17.10;0.00;0.00;36.00;95.20;16.30;35.00;4.70;6.80;966.90;1015.70;1016.70;-;-;-;-;-;-;-;-
CHZ;202506051750;19.60;0.00;0.00;110.00;70.80;14.20;205.00;6.80;10.80;962.80;1013.40;1015.00;-;-;-;-;-;-;-;-
CHA;202506051750;9.30;0.00;0.00;45.00;91.90;8.10;222.00;50.00;68.00;840.00;-;1018.30;1497.30;-;-;-;-;-;-;-
CHM;202506051750;12.90;0.00;0.00;38.00;77.00;9.00;255.00;10.80;28.10;887.40;-;1017.10;1497.40;-;-;-;-;-;-;-
CHU;202506051750;17.40;0.00;0.00;73.00;79.30;13.80;234.00;2.20;3.60;950.80;1014.50;1016.10;-;-;-;-;-;-;-;-
CHD;202506051750;17.00;0.00;0.00;40.00;54.80;7.80;207.00;4.30;11.50;899.40;-;1017.40;1508.40;-;-;-;-;-;-;-
CIM;202506051750;10.00;0.00;0.00;68.00;99.00;9.90;61.00;6.10;7.90;834.90;-;1020.30;1512.80;-;-;-;-;-;-;-
CDM;202506051750;12.40;-;-;-;86.10;10.10;212.00;11.20;19.10;-;-;-;-;-;-;-;-;-;-;-
GSB;202506051750;6.20;0.00;0.00;84.00;64.90;0.10;272.00;20.90;40.70;755.70;-;1023.10;-;3111.60;-;-;-;-;-;-
COY;202506051750;15.10;-;-;-;79.50;11.60;261.00;12.20;18.70;-;-;-;-;-;-;-;-;-;-;-
CMA;202506051750;4.60;-;0.00;53.00;100.00;4.60;247.00;16.90;25.90;755.20;-;1022.10;-;3099.20;-;-;-;-;-;-
CRM;202506051750;19.50;0.00;-;42.00;64.80;12.70;199.00;8.30;12.60;964.10;1013.40;1014.90;-;-;-;-;-;-;-;-
DAV;202506051750;10.80;0.00;0.00;28.00;87.40;8.80;59.00;0.70;1.80;841.20;-;1019.70;1508.70;-;-;-;-;-;-;-
DEM;202506051750;18.40;0.10;0.00;25.00;69.10;12.60;273.00;14.80;34.60;963.20;1013.60;1015.00;-;-;-;-;-;-;-;-
DIS;202506051750;12.80;0.00;0.00;69.00;95.30;12.10;282.00;1.80;3.60;882.20;-;1018.70;1509.90;-;-;-;-;-;-;-
EBK;202506051750;16.30;0.00;0.00;97.00;88.80;14.40;206.00;4.00;9.70;943.00;-;1015.90;1499.10;-;-;-;-;-;-;-
EGH;202506051750;2.80;-;0.00;100.00;87.80;1.00;216.00;14.40;21.20;718.60;-;1023.80;-;3105.20;-;-;-;-;-;-
EGO;202506051750;18.90;0.00;-;80.00;73.10;14.00;-;-;-;953.80;1013.30;1015.10;-;-;-;-;-;-;-;-
EIN;202506051750;16.60;0.00;0.00;112.00;73.70;11.90;113.00;1.10;2.90;911.50;-;1016.60;1502.90;-;-;-;-;-;-;-
ELM;202506051750;13.80;0.00;0.00;88.00;95.10;13.00;350.00;5.40;8.60;906.50;-;1016.80;1498.00;-;-;-;-;-;-;-
ENG;202506051750;15.30;0.00;0.00;60.00;88.00;13.30;305.00;1.40;3.20;898.20;-;1017.10;1502.40;-;-;-;-;-;-;-
EVI;202506051750;19.10;-;0.00;92.00;74.40;14.40;334.00;5.80;11.50;958.70;1013.80;1015.50;-;-;-;-;-;-;-;-
EVO;202506051750;11.00;0.00;0.00;56.00;71.00;6.00;273.00;2.50;6.50;817.90;-;1020.30;1506.10;-;-;-;-;-;-;-
FAH;202506051750;16.40;0.00;0.00;16.00;84.90;13.90;196.00;9.70;21.20;945.40;1013.70;1015.30;-;-;-;-;-;-;-;-
FLU;202506051750;17.00;-;-;-;61.10;9.50;258.00;5.00;11.50;-;-;-;-;-;-;-;-;-;-;-
GRA;202506051750;17.80;0.00;0.00;46.00;68.80;12.00;246.00;10.10;15.80;939.80;-;1015.80;1502.70;-;-;-;-;-;-;-
FRU;202506051750;18.10;-;0.00;59.00;72.40;13.10;27.00;5.00;10.10;-;-;-;-;-;-;-;-;-;-;-
GVE;202506051750;20.60;0.00;0.00;84.00;68.80;14.70;232.00;9.70;18.40;966.40;1013.40;1015.00;-;-;-;-;-;-;-;-
GES;202506051750;18.20;0.00;-;-;80.30;14.80;186.00;4.70;13.00;954.30;1013.80;1015.50;-;-;-;-;-;-;-;-
GIH;202506051750;19.60;0.00;0.00;62.00;72.70;14.60;53.00;4.70;10.10;959.70;1013.50;1015.20;-;-;-;-;-;-;-;-
GLA;202506051750;16.10;0.00;0.00;80.00;90.80;14.60;243.00;4.00;5.40;955.00;1014.60;1015.80;-;-;-;-;-;-;-;-
GOR;202506051750;2.50;-;0.00;36.00;76.90;-1.10;230.00;11.20;28.80;698.10;-;1025.10;-;3109.40;-;-;-;-;-;-
