station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
AEG;01.01.1994 00:00;;;;;;;;;;;;;;1.7;34.8;125.3;;;;;;;;;;;;;
AEG;01.01.1995 00:00;;;;;;;;;;;;;;1.6;33.3;119.9;;;;;;;;;;;;;
AEG;01.01.1996 00:00;;;;;;;;;;;;;;1.6;34.6;124.6;5.8;;;;;;;;;;;;
AEG;01.01.1997 00:00;;;;;;;;;;;;;;1.6;31.7;114.1;;;;;;;;;;;;;
AEG;01.01.1998 00:00;;;;;;;;;;;;;;1.7;28.7;103.3;6.1;;;;;;;;;;;;
AEG;01.01.1999 00:00;;;;;;;;;;;;;;1.7;40.3;145.1;6.1;;;;;;;;;;;;
AEG;01.01.2000 00:00;;;;;;;;;;;;;;1.7;34.3;123.5;;;;;;;;;;;;;
AEG;01.01.2001 00:00;;;;;;;;;;;;;;1.7;31;111.6;6.1;;;;;;;;;;;;
AEG;01.01.2002 00:00;;;;;;;;;;;;;;1.7;30.5;109.8;6.1;;;;;;;;;;;;
AEG;01.01.2003 00:00;;;;;;;;;;;;;;1.6;30.6;110.2;5.8;;;;;;;;;;;;
AEG;01.01.2004 00:00;;;;;;;;;;;;;;1.6;29.8;107.3;5.8;;;;;;;;;;;;
AEG;01.01.2005 00:00;;;;;;;;;;;;;;1.4;26.6;95.8;5;;;;;;;;;;;;
AEG;01.01.2006 00:00;;;;;;;;;;;;;;1.5;32.1;115.6;5.4;;;;;;;;;;;;
AEG;01.01.2007 00:00;;;;;;;;;;;;;;1.7;27.7;99.7;6.1;;;;;;;;;;;;
AEG;01.01.2008 00:00;;;;;;;;;;;;;;1.8;29.7;106.9;6.5;;;;;;;;;;;;
AEG;01.01.2009 00:00;;;;;;;;;;;;;;1.7;31;111.6;6.1;;;;;;;;;;;;
AEG;01.01.2010 00:00;;;;;;;;;;;;;;1.6;32.5;117;5.8;;;;;;;;;;;;
AEG;01.01.2011 00:00;;;;;;;;;;;;;;1.5;36.8;132.5;5.4;;;;;;;;;;;;
AEG;01.01.2012 00:00;;;;;;;;;;;;;;1.7;31.7;114.1;6.1;;;;;;;;;;;;
AEG;01.01.2013 00:00;;;;;;;;;;;;;;1.7;35.7;128.5;6.1;;;;;;;;;;;;
AEG;01.01.2014 00:00;;;;;;;;;;;;;;1.8;31.1;112;6.5;;;;;;;;;;;;
AEG;01.01.2017 00:00;;;;;;;;;;;;;;2.1;31.9;114.8;7.6;;;;;;;;;;;;
AEG;01.01.2018 00:00;;;;;;;;;;;;;;2.1;31.9;114.8;7.6;;;;;;;;;;;;
AEG;01.01.2019 00:00;;;;;;;;;;;;;;2.2;29.5;106.2;7.9;;;;;;;;;;;;
AEG;01.01.2020 00:00;;;;;;;;;;;;;;2;29.3;105.5;7.2;;;;;;;;;;;;
AEG;01.01.2021 00:00;;;;;;;;;;;;;;2.1;27.5;99;7.6;;;;;;;;;;;;
AEG;01.01.2022 00:00;;;;;;;;;;;;;;1.9;25.8;92.9;6.8;;;;;;;;;;;;
AEG;01.01.2023 00:00;;;;;;;;;;;;;;2.1;33.6;121;7.6;;;;;;;;;;;;
AEG;01.01.2024 00:00;;;;;;;;;;;;;;2.1;34.7;124.9;7.6;;;;;;;;;;;;
