station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
AIG;01.01.1981 00:00;;29;-16.7;8.9;33.4;-14.9;;;;;;;;2;25.8;92.9;;1158.2;135;;;;86960;41;;54.8;3305;1641;
AIG;01.01.1982 00:00;10;30.1;-12.1;9.7;34.5;-15.6;75.5;9.7;;;;;;1.9;31.9;114.8;7.9;966.5;142;;;;102175;48;;87.2;3222.6;1478.6;576.2
AIG;01.01.1983 00:00;9.6;33.3;-9.3;9.2;37.1;-13.2;76.9;9.7;;;;;;1.9;26.8;96.5;7.9;1033.9;139;;;;100169;47;;152.2;3425;1633;640.6
AIG;01.01.1984 00:00;9;33.7;-8.3;8.6;36.3;-13.6;76.4;9.1;;;;;;1.8;;;;905.6;141;;;;108262;51;;51.8;3580.2;1644.2;491.2
AIG;01.01.1985 00:00;8.7;29.9;-24.9;8.3;36.5;-32.1;77.5;9.3;;;;;;1.8;24.1;86.8;7.2;1033.4;143;;;;110505;52;;74.3;3618.5;1882.5;625.2
AIG;01.01.1986 00:00;9.2;31;-17.5;8.8;36;-24.1;78.4;9.7;;;;;;1.8;24.5;88.2;7.6;1192.5;138;;;;99371;47;;99.8;3417.5;1705.5;824.9
AIG;01.01.1987 00:00;9.6;30.4;-16.7;9;35.9;-19.2;78.7;10;;;;;;1.8;26.3;94.7;7.2;1065.3;130;;;;90840;43;;108.2;3367;1631;722.8
AIG;01.01.1988 00:00;9.8;30;-10;9.3;32.6;-13.9;80.9;10.4;972.4;;;;;1.8;26.9;96.8;7.2;1131.7;136;;;;97198;46;678.2;59.2;3126.7;1454.7;822.9
AIG;01.01.1989 00:00;9.8;30.4;-6.5;9.4;36.7;-14.2;78.8;10.1;973.5;;;;;1.7;23.2;83.5;6.8;751.9;143;;;;115590;54;715;86.8;3182.9;1494.9;371.1
AIG;01.01.1990 00:00;10.1;31.1;-17.1;9;33.7;-21.5;77.4;10.2;973.2;;;;;1.8;21.5;77.4;7.2;1128.6;144;;;;113848;54;725.5;104.2;3021.1;1453.1;749.6
AIG;01.01.1991 00:00;9.5;30;-14.5;8.7;34.8;-19.4;78.2;9.9;972.7;1018.4;;;;1.8;22.9;82.4;7.6;856.2;144;;;;111336;52;725.7;128.1;3493;1685;466.5
AIG;01.01.1992 00:00;10;30.5;-12;9;33.7;-18.4;79.1;10.4;972.7;1018.3;;;;1.7;21.3;76.7;7.2;1145.6;135;;;;97955;46;695.9;141.4;3206.3;1534.3;814.3
AIG;01.01.1993 00:00;10;30.5;-9.6;9.1;33.6;-12.5;77.6;10.2;972.3;1017.9;;;;1.8;21.8;78.5;7.6;1040.7;135;;;;99568;47;708.1;104;3116.4;1476.4;678.3
AIG;01.01.1994 00:00;11.2;31.6;-6.6;10.3;35.7;-10.2;77.4;11;971.5;1016.9;;;;1.9;26;93.6;7.6;1015.6;135;;;;100235;49;730.5;194.1;2851.6;1171.6;664.8
AIG;01.01.1995 00:00;10;31.7;-21.1;9.1;36.2;-25.7;77.2;10.2;971.3;1016.9;;;;2;21;75.6;8.3;1277.5;140;;;;106927;52;719.8;142.3;3119.1;1455.1;907.8
AIG;01.01.1996 00:00;9.5;29.5;-11.2;8.8;35.1;-19.4;78.5;9.8;969.3;1014.9;;;;1.9;23.2;83.5;6.8;1003.2;139;;;;103807;51;696.4;68.1;3363.5;1539.5;644.5
AIG;01.01.1997 00:00;10.3;29.2;-8.9;9.4;33.9;-11.7;79.1;10.5;972;1017.5;;;;1.8;30.6;110.2;7.2;954.1;144;;;;114526;56;714.7;88.5;3000.3;1360.3;595.5
AIG;01.01.1998 00:00;10.3;31.9;-10.7;9.1;36.5;-17.4;76.9;10.2;973.1;1018.7;;;;1.8;21.1;76;7.9;923.9;143;;;;110033;54;738.6;152.6;3081;1433;536.9
AIG;01.01.1999 00:00;10.4;30.6;-18.3;9.3;37.3;-22.6;79.6;10.8;971.9;1017.5;;;;1.9;25.4;91.4;7.9;1204.5;137;;;;100633;49;719.4;123.6;3048.6;1488.6;882.1
AIG;01.01.2000 00:00;10.9;30;-19;9.6;34.8;-21.6;78;10.7;972.4;1017.8;;;;1.9;25.2;90.7;7.6;841.6;144;;;;107178;52;748.8;101;2786.2;1226.2;477.2
AIG;01.01.2001 00:00;10.7;30.2;-14.3;9.7;33.5;-21.8;78.3;10.7;972.1;1017.6;;;;2;25;90;7.6;1233.3;139;;;;103553;51;726;124.8;2825.3;1289.3;885.8
AIG;01.01.2002 00:00;11;32.2;-9.2;9.8;35.1;-13.8;77.9;10.7;971.9;1017.3;;;;1.7;23.3;83.9;6.8;1082.2;138;;;;102173;50;716.8;109.9;2805.5;1141.5;723.7
AIG;01.01.2003 00:00;10.9;35.3;-10.6;9.9;36;-19.4;75.3;10.6;972.9;1018.4;;;;1.9;23.4;84.2;7.2;756;154;;;;126865;62;813.7;306.3;3029.2;1485.2;291.9
AIG;01.01.2004 00:00;10.1;30.1;-10.1;9.4;33.9;-18.2;76.4;10.1;972.3;1017.9;;;;1.9;23.6;85;6.8;957.1;142;;;;104657;51;723.7;105.2;3128.6;1488.6;574.8
AIG;01.01.2005 00:00;9.4;31.7;-18.3;8.8;;;76.9;10;973.1;1018.8;;;;1.8;23.2;83.5;6.5;866;149;;;;115547;54;725.4;140;3468.8;1732.8;469.3
AIG;01.01.2006 00:00;10.5;31.1;-10.3;10.4;37.7;-13.8;78.7;10.8;973;1018.4;;;1018.2;1.9;23.5;84.6;6.8;1155.3;144;;;29;113598;53;732.1;172.2;2959.8;1463.8;784.7
AIG;01.01.2007 00:00;10.5;30.2;-11.7;10.6;41.2;-10.3;78.9;10.5;973.1;1018.5;;;1018.3;1.9;22.2;79.9;6.8;1188.2;151;;;31;115648;54;737.9;88.8;2932.3;1340.3;829.9
AIG;01.01.2008 00:00;10.4;30.3;-8.6;10.3;36.1;-11.6;77.7;10.3;971.9;1017.4;;;1017.2;2;23.7;85.3;7.2;880.7;149;;;29;109555;51;751.2;121.5;3094.1;1398.1;502.2
AIG;01.01.2009 00:00;10.9;31.9;-11.9;10.6;37.2;-14.8;74.7;10.4;970.8;1016.1;;;1015.9;2.1;26;93.6;7.6;844;157;;;;116173;54;822.2;181.7;2872.3;1376.3;395.7
AIG;01.01.2010 00:00;9.9;30.4;-14.4;9.6;36.6;-16.4;75.2;10;969.2;1014.5;;;1014.3;2.2;29.8;107.3;7.9;751.8;147;;;;101971;48;766.9;159.5;3241.8;1577.8;359
AIG;01.01.2011 00:00;10.8;31.5;-7.4;10.7;37.9;-10.7;76.9;10.5;973.8;1019.3;;;1019.1;1.9;23.6;85;6.8;863.1;156;;;;129280;60;779.6;114.5;2777.6;1273.6;445.5
AIG;01.01.2012 00:00;10.7;32.1;-13.9;10.5;37.5;-17.3;75.6;10.5;972.5;1018;;;1017.8;2.1;27;97.2;7.6;1008.7;154;315;;;115230;54;800;156.3;2917.3;1397.3;583.1
AIG;01.01.2013 00:00;10;32.7;-13.5;;;;77.4;10.3;971.2;;;;;2.1;24.7;88.9;7.6;1118;149;;;;105858;49;753.4;163.2;3176.7;1552.7;
AIG;01.01.2014 00:00;11.3;29.5;-14;11.7;39.8;-17.4;78;10.9;970.7;1015.9;;;1015.9;2.2;33.4;120.2;7.9;1114.1;149;320;;;106487;50;755.5;75.4;2534.5;1054.5;755.9
AIG;01.01.2015 00:00;11;36.1;-11;11.1;42.1;-12.6;76.7;10.6;974.4;1019.9;;;1019.7;2;22.3;80.3;7.2;861.1;157;317;;;119299;56;803.1;250.8;2936;1328;413.4
AIG;01.01.2016 00:00;10.7;31.5;-13.1;10.7;38.4;-10.4;79;10.7;972.7;1018.2;;;1018;2.1;26;93.6;7.6;1026.2;148;320;;;107028;50;753.8;159;3048.5;1360.5;665
AIG;01.01.2017 00:00;10.4;32.5;-16.8;10.5;;;77.1;10.4;973.8;1019.4;;;1019.1;2.1;27.2;97.9;7.6;860.9;157;317;;;119451;56;803.6;225.8;3190.2;1478.2;428.1
AIG;01.01.2018 00:00;11.7;33.6;-9.9;;;;75;10.8;971.1;1016.3;;;1016.3;2.4;29.6;106.6;8.6;817.6;160;323;;;120190;56;881.4;227;2699.1;1219.1;337.3
AIG;01.01.2019 00:00;11;34.3;-4.9;10.8;40;-8.2;75.6;10.5;971.8;1017.2;;;1017;2.2;29.1;104.8;7.9;1015.1;160;318;;;119463;56;831.1;212.1;2918;1278;564.4
AIG;01.01.2020 00:00;11.3;32.7;-4.7;11;38.8;-8.8;75.5;10.5;972.9;1018.3;;;1018.2;2.2;26;93.6;7.9;869.6;159;320;;;121181;56;830.7;162.8;2798.5;1190.5;419.4
AIG;01.01.2021 00:00;10.3;30.9;-8.3;10.1;35.7;-9.9;76.9;10.2;972.7;1018.2;;;1017.9;2.3;28.7;103.3;8.3;1100.1;155;318;;;112057;52;782.2;113.3;3188.6;1452.6;704.9
AIG;01.01.2022 00:00;11.9;34.9;-6;11.8;41.9;-9.1;73.8;10.8;973.6;1018.9;;;1018.9;2.2;24.8;89.3;7.9;769.6;167;320;;;130869;61;902.7;307.4;2681.6;1169.6;242
AIG;01.01.2023 00:00;11.8;35.5;-8.4;11.5;40.7;-12.8;75;10.9;972.1;1017.4;;;1017.4;2.2;25.1;90.4;7.9;1134.7;140;;;;114145;53;802.9;293.4;2700.3;1204.3;692.9
AIG;01.01.2024 00:00;11.6;30.7;-5.2;11.4;36.9;-8.6;77.8;11.3;972.2;1017.5;;;1017.5;2.1;26.3;94.7;7.6;1083;128;326;;;99147;46;746;216.5;2661.4;1109.4;752.4
