station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
ANT;01.01.1864 00:00;2.1;;;;;;;;;;;;;;;;;;;;;;;;;;6361.6;;
ANT;01.01.1865 00:00;3.4;;;;;;;;;;;;;;;;;;;;;;;;;;5759.4;;
ANT;01.01.1866 00:00;3.9;;;;;;;;;;;;;;;;;;;;;;;;;;5615.8;;
ANT;01.01.1867 00:00;3.6;;;;;;;;;;;;;;;;;;;;;;;;;;5699.1;;
ANT;01.01.1868 00:00;3.7;;;;;;;;;;;;;;;;;;;;;;;;;;5605.4;;
ANT;01.01.1869 00:00;3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;01.01.1870 00:00;2.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;01.01.1871 00:00;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;01.01.1872 00:00;4.1;;;;;;;;;;;;;;;;;;;;;;;;;;5592;;
ANT;01.01.1873 00:00;3.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;01.01.1874 00:00;2.9;;;;;;;;;;;;;;;;;;;;;;;;;;5911;;
ANT;01.01.1875 00:00;2.7;;;;;;;;;;;;;;;;;;;;;;;;;;5994.8;;
ANT;01.01.1876 00:00;3.6;;;;;;;;;;;;;;;;;;;;;;;;;;5651.7;;
ANT;01.01.1877 00:00;3.2;;;;;;;;;;;;;;;;;;;;;;;;;;5821.4;;
ANT;01.01.1878 00:00;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;6071.3;;
ANT;01.01.1879 00:00;2.1;;;;;;;;;;;;;;;;;;;;;;;;;;6227.5;;
ANT;01.01.1880 00:00;3.9;;;;;;;;;;;;;;;;;;;;;;;;;;5613.1;;
ANT;01.01.1881 00:00;3.3;;;;;;;;;;;;;;;;;1262.3;;;;;;;;;5865.2;;
ANT;01.01.1882 00:00;3.2;;;;;;;;;;;;;;;;;1412;;;;;;;;;;;
