station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
ARH;01.01.1994 00:00;10.6;31.5;-8.1;;;;79.2;10.7;970.6;;;;;1.8;26.7;96.1;6.5;;;;;;;;;;;1304.3;
ARH;01.01.1995 00:00;9.5;31.5;-13.1;;;;78.5;10;969.9;;;;;1.8;32.7;117.7;6.5;;;;;;;;;;;1573.1;
ARH;01.01.1996 00:00;8.5;29.5;-12.3;;;;78.4;9.4;;;;;;1.7;31.5;113.4;6.1;;;;;;;;;;;;
ARH;01.01.1997 00:00;9.6;29.2;-9.9;;;;78.1;9.9;971.4;;;;;1.7;31.5;113.4;;;;;;;;;;;;1564.7;
ARH;01.01.1998 00:00;9.8;31.5;-11.2;;;;75.2;;971.2;;;;;1.8;33.5;120.6;6.5;;;;;;;;;;;1537.3;
ARH;01.01.1999 00:00;9.9;31.3;-15.2;;;;;;970.1;;;;;1.7;35.6;128.2;6.1;;;;;;;;;;;1571;
ARH;01.01.2000 00:00;10.9;34.1;-13;;;;74.9;;970.3;;;;;1.8;34.3;123.5;6.5;;;;;;;;;;;;
ARH;01.01.2001 00:00;10.3;32.3;-14.6;;;;;;970.4;;;;;1.8;33.6;121;6.5;;;;;;;;;;;1381.8;
ARH;01.01.2002 00:00;10.3;32.3;-14.1;;;;78.9;;970;;;;;1.8;28.2;101.5;6.5;;;;;;;;;;;1350.4;
ARH;01.01.2003 00:00;10.1;34.6;-10.5;;;;75.6;;971.5;;;;;1.7;28.8;103.7;6.1;;;;;;;;;;;1727.5;
ARH;01.01.2004 00:00;9.6;28.9;-12.8;;;;77.5;9.7;970.7;1018.3;;;;1.7;28.8;103.7;6.1;;;;;;;;;;;1612.3;
ARH;01.01.2005 00:00;9.3;31.2;-15.2;;;;77.7;10;971.6;1019.3;;;;1.6;40;144;5.8;;;;;;;;;;;1721.2;
ARH;01.01.2006 00:00;9.9;32.3;-10.8;;;;76.9;10.2;971.4;1018.9;;;1018.6;1.7;33.5;120.6;6.1;;;;;;;;;;;1625.6;
ARH;01.01.2007 00:00;10.4;33.7;-9.4;;;;75.5;10;971.1;1018.6;;;1018.4;1.9;27.5;99;6.8;;;;;;;;;;;1388.1;
ARH;01.01.2008 00:00;10;30.6;-7.9;;;;76.4;10;970;1017.5;;;1017.2;1.8;28.3;101.9;6.5;;;;;;;;;;;1509.7;
ARH;01.01.2009 00:00;10.1;31.4;-16.1;;;;77.6;10.4;968.9;1016.4;;;1016.1;1.8;28.6;103;6.5;;;;;;;;;;;1547.2;
ARH;01.01.2010 00:00;9.4;32.6;-11.7;;;;76.1;9.7;967.3;1014.8;;;1014.4;1.8;27.6;99.4;6.5;;;;;;;;;;;1696.1;
ARH;01.01.2011 00:00;10.5;33.8;-10.2;;;;76.6;10.3;971.9;1019.4;;;1019.2;1.6;28.2;101.5;5.8;;;;;;;;;;;1366.9;
ARH;01.01.2012 00:00;10.2;31.4;-16.6;;;;74.7;10.1;970.6;1018.1;;;1017.8;1.8;29.6;106.6;6.5;;;;;;;;;;;1522.3;
ARH;01.01.2013 00:00;9.8;37;-13.2;;;;75.6;9.9;969.5;1017.1;;;1016.7;1.7;33.3;119.9;6.1;;;;;;;;;;;1615.1;
ARH;01.01.2014 00:00;10.9;31.8;-11.9;;;;79.5;10.7;968.8;1016;;;1015.9;2;28;100.8;7.2;;;;;;;;;86.4;2706.2;1178.2;
ARH;01.01.2015 00:00;;33.4;-9.6;;;;;;972.5;;;;1019.7;;30.2;108.7;;;;;;;;;;;;;
ARH;01.01.2016 00:00;10.4;31;-10.2;;;;80.9;10.8;970.8;1018.2;;;1018;2.1;32.4;116.6;7.6;1275;131;;;;;;709.7;165.6;3188.5;1460.5;
ARH;01.01.2017 00:00;10.3;31.7;-14.2;;;;78.6;10.5;971.7;1019.2;;;1018.9;2.2;34;122.4;7.9;1289.4;139;;;;;;763;210.7;3224.8;1504.8;
ARH;01.01.2018 00:00;11.3;32.7;-11.4;;;;77.3;11;969.3;1016.5;;;1016.4;2.2;32.7;117.7;7.9;843.7;145;;;;;;821.6;223.9;2812.5;1316.5;
ARH;01.01.2019 00:00;10.8;33.9;-7;;;;79.8;10.9;969.8;1017.1;;;1016.9;2.2;33.3;119.9;7.9;1130.8;139;;;;;;754.4;196.7;2981.7;1341.7;
ARH;01.01.2020 00:00;10.9;31.5;-5.1;;;;;;971;1018.3;;;1018.1;2.1;31.2;112.3;7.6;1276.8;145;;;;;;;154.7;2885.9;1285.9;
ARH;01.01.2021 00:00;10;31.2;-11.1;;;;84.1;11;970.8;1018.3;;;1018;2.1;30.1;108.4;7.6;1208.6;144;;;;;;695;126.9;3319.4;1519.4;
ARH;01.01.2022 00:00;11.4;33.6;-9.1;;;;81.3;11.3;971.9;1019.2;;;1019.1;2;25.8;92.9;7.2;840.2;156;;;;;;786.4;221.5;2792.2;1240.2;
ARH;01.01.2023 00:00;11.6;35.7;-7.8;;;;81;11.6;970.1;1017.2;;;1017.2;2.2;30.4;109.4;7.9;1154.1;144;;;;101769;42;781.7;246.6;2719.7;1199.7;
ARH;01.01.2024 00:00;11.4;32.2;-9.4;;;;83.8;11.9;970.2;1017.4;;;1017.3;2.1;31.8;114.5;7.6;1206.5;130;;;;83750;35;719.3;234.8;2763.9;1203.9;916
