station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
BEZ;01.01.1981 00:00;;;;;;;;;980.4;;;;;;;;;;;;;;;;;;;;
BEZ;01.01.1982 00:00;;;;;;;;;981.8;;;;;;;;;;;;;;;;;;;;
BEZ;01.01.1983 00:00;;;;;;;;;982.4;;;;;;;;;;;;;;;;;;;;
BEZ;01.01.1984 00:00;;;;;;;;;980.7;;;;;;;;;;;;;;;;;;;;
BEZ;01.01.1985 00:00;;;;;;;;;981.4;;;;;;;;;;;;;;;;;;;;
BEZ;01.01.1986 00:00;;;;;;;;;980.9;;;;;;;;;;;;;;;;;;;;
BEZ;01.01.1987 00:00;;;;;;;;;979.5;;;;;;;;;;;;;;;;;;;;
BEZ;01.01.1988 00:00;;;;;;;;;979.1;;;;;;;;;;;;;;;;;;;;
BEZ;01.01.1989 00:00;9.9;;;;;;;;980.7;;;;;;;;;686.5;;;;;;;;;;1486.4;
BEZ;01.01.1990 00:00;10.2;32.8;-6.2;;;;;;980.6;;;;;;;;;1116.7;;;;;;;;;;1388.7;
BEZ;01.01.1991 00:00;9.4;32.7;-12.5;;;;;;980.5;;;;;;;;;820.2;;;;;;;;;;1704.1;
BEZ;01.01.1992 00:00;10.1;34.1;-9.6;;;;;;980.3;;;;;;;;;1073.2;;;;;;;;;;1555.3;
BEZ;01.01.1993 00:00;9.8;;;;;;;;980;;;;;;;;;939.3;;;;;;;;;;1499.6;
BEZ;01.01.1994 00:00;11.1;34.2;-6;;;;;;979;;;;;;;;;1048.4;;;;;;;;;;1200.8;
BEZ;01.01.1995 00:00;9.9;33.4;-12.4;;;;;;978.8;;;;;;;;;1228.4;;;;;;;;;;1485.9;
BEZ;01.01.1996 00:00;8.8;31.3;-12.5;;;;;;977.4;;;;;;;;;840.7;;;;;;;;;;1758.8;
BEZ;01.01.1997 00:00;9.9;30.2;-9.1;;;;;;979.7;;;;;;;;;844.9;;;;;;;;;;1480.8;
BEZ;01.01.1998 00:00;9.9;35;-9.1;;;;;;979.5;;;;;;;;;945.6;;;;;;;;;;1527.7;
BEZ;01.01.1999 00:00;9.9;31.5;-13.3;;;;;;978.3;;;;;;;;;1290;;;;;;;;;;1536.3;
BEZ;01.01.2000 00:00;10.6;31.3;-11.8;;;;;;978.6;;;;;;;;;1016.9;;;;;;;;;;1259.2;
BEZ;01.01.2001 00:00;10.1;31.6;-12.5;;;;;;978.6;;;;;;;;;1414.8;;;;;;;;;;1445.1;
BEZ;01.01.2002 00:00;10.7;;;;;;;;978.4;;;;;;;;;1160.1;;;;;;;;;;1241.1;
BEZ;01.01.2003 00:00;10.7;37.5;-10.7;;;;;;979.9;;;;;;;;;630.7;;;;;;;;;;1630.6;
BEZ;01.01.2004 00:00;10;31.6;-8.5;;;;;;979;;;;;;;;;899.9;;;;;;;;;;1482.2;
BEZ;01.01.2005 00:00;9.8;34.5;-13.4;;;;;;979.8;;;;;;;;;795.5;;;;;;;;;;1587.2;
BEZ;01.01.2006 00:00;10.4;34.8;-8.9;;;;;;979.4;;;;1018.6;;;;;1091;;;;;;;;;;1512.8;
BEZ;01.01.2007 00:00;10.7;33.6;-6.5;;;;;;979.3;;;;1018.5;;;;;1066.5;;;;;;;;;;1263;
BEZ;01.01.2008 00:00;10.3;32.5;-6.4;;;;;;978.5;;;;;;;;;988.9;;;;;;;;;;1460;
