station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
BIE;01.01.1975 00:00;;;;;;;;;;;;;;;;;;1282.6;;;;;;;;;;;
BIE;01.01.1976 00:00;;;;;;;;;;;;;;;;;;1030.6;;;;;;;;;;;
BIE;01.01.1977 00:00;;;;;;;;;;;;;;;;;;1587.7;;;;;;;;;;;
BIE;01.01.1978 00:00;;;;;;;;;;;;;;;;;;1403.1;;;;;;;;;;;
BIE;01.01.1979 00:00;;;;;;;;;;;;;;;;;;1469;;;;;;;;;;;
BIE;01.01.1980 00:00;;;;;;;;;;;;;;;;;;1365.8;;;;;;;;;;;
BIE;01.01.1981 00:00;;;;;;;;;;;;;;;;;;1674.9;;;;;;;;;;;
BIE;01.01.1982 00:00;;;;;;;;;;;;;;;;;;1520;;;;;;;;;;;
BIE;01.01.1983 00:00;;;;;;;;;;;;;;;;;;1362.1;;;;;;;;;;;
BIE;01.01.1984 00:00;;;;;;;;;;;;;;;;;;1291.9;;;;;;;;;;;
BIE;01.01.1985 00:00;;;;;;;;;;;;;;;;;;1230.2;;;;;;;;;;;
BIE;01.01.1986 00:00;;;;;;;;;;;;;;;;;;1370.9;;;;;;;;;;;
BIE;01.01.1987 00:00;;;;;;;;;;;;;;;;;;1165.2;;;;;;;;;;;
BIE;01.01.1988 00:00;;;;;;;;;;;;;;;;;;1488.6;;;;;;;;;;;
BIE;01.01.1989 00:00;;;;;;;;;;;;;;;;;;893.7;;;;;;;;;;;
BIE;01.01.1990 00:00;;;;;;;;;;;;;;;;;;1309.9;;;;;;;;;;;
BIE;01.01.1991 00:00;;;;;;;;;;;;;;;;;;1137;;;;;;;;;;;
BIE;01.01.1992 00:00;;;;;;;;;;;;;;;;;;1288.4;;;;;;;;;;;
BIE;01.01.1993 00:00;;;;;;;;;;;;;;;;;;1420.5;;;;;;;;;;;
BIE;01.01.1994 00:00;;;;;;;;;;;;;;;26.3;94.7;;1310.6;;;;;;;;;;;
BIE;01.01.1995 00:00;;;;;;;;;;;;;;;33.2;119.5;;1516.4;;;;;;;;;;;
