station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
BUF;01.01.1917 00:00;-1.6;;-30.5;;;;;;;;;;;;;;;985;;;;;;;;;7785.4;;
BUF;01.01.1918 00:00;0.1;;-30.5;;;;;;;;;;;;;;;768.5;;;;;;;;;7143.1;;
BUF;01.01.1919 00:00;-0.9;;-33.5;;;;;;;;;;;;;;;786.3;;;;;;;;;7474.2;;
BUF;01.01.1920 00:00;1.4;;-29;;;;;;;;;;;;;;;961.7;;;;;;;;;6630.4;;
BUF;01.01.1921 00:00;0.9;;-25;;;;;;;;;;;;;;;581.1;;;;;;;;;6782.3;;
BUF;01.01.1922 00:00;-0.5;;-29.5;;;;;;;;;;;;;;;1121.3;;;;;;;;;7339.6;;
BUF;01.01.1923 00:00;0.4;;-27;;;;;;;;;;;;;;;956.4;;;;;;;;;6997.9;;
BUF;01.01.1924 00:00;-0.2;;-27;;;;;;;;;;;;;;;934.3;;;;;;;;;7293.7;;
BUF;01.01.1925 00:00;-0.6;;-30;;;;;;;;;;;;;;;874.6;;;;;;;;;7406.6;;
BUF;01.01.1926 00:00;0.6;;-31;;;;;;;;;;;;;;;1263.3;;;;;;;;;6988.3;;
BUF;01.01.1927 00:00;0.4;;-30;;;;;;;;;;;;;;;1066.2;;;;;;;;;7039.9;;
BUF;01.01.1928 00:00;0.5;;-26;;;;;;;;;;;;;;;1215.6;;;;;;;;;6861;;
BUF;01.01.1929 00:00;-0.4;;-32.5;;;;;;;;;;;;;;;826.6;;;;;;;;;7261.5;;
BUF;01.01.1930 00:00;0.4;;-26.5;;;;;;;;;;;;;;;1023.1;;;;;;;;;6983.8;;
BUF;01.01.1931 00:00;-0.7;;-32.5;;;;;;;;;;;;;;;1163.9;;;;;;;;;7329.4;;
BUF;01.01.1932 00:00;-0.1;;-32.5;;;;;;;;;;;;;;;840.5;;;;;;;;;7161.4;;
BUF;01.01.1933 00:00;-0.8;;-33;;;;;;;;;;;;;;;872.5;;;;;;;;;7458.4;;
BUF;01.01.1934 00:00;0.5;;-27;;;;;;;;;;;;;;;899;;;;;;;;;7022.1;;
BUF;01.01.1935 00:00;-0.6;;-30;;;;;;;;;;;;;;;1080.4;;;;;;;;;7359.3;;
BUF;01.01.1936 00:00;-0.1;;-30;;;;;;;;;;;;;;;726.4;;;;;;;;;7262;;
BUF;01.01.1937 00:00;-0.1;;-27;;;;;;;;;;;;;;;1096;;;;;;;;;7200.4;;
BUF;01.01.1938 00:00;-0.2;;-31;;;;;;;;;;;;;;;762.7;;;;;;;;;7198.5;;
BUF;01.01.1939 00:00;-0.2;;-32.5;;;;;;;;;;;;;;;974.1;;;;;;;;;7304.4;;
BUF;01.01.1940 00:00;-0.9;;-31.5;;;;;;;;;;;;;;;822.5;;;;;;;;;7597.1;;
BUF;01.01.1941 00:00;-0.9;;-31.5;;;;;;;;;;;;;;;670.2;;;;;;;;;7510.6;;
BUF;01.01.1942 00:00;0.3;;-31.5;;;;;;;;;;;;;;;904.9;;;;;;;;;7014.4;;
BUF;01.01.1943 00:00;0.6;;-29.5;;;;;;;;;;;;;;;744.5;;;;;;;;;6960.1;;
BUF;01.01.1944 00:00;-0.5;;;;;;;;;;;;;;;;;1188.9;;;;;;;;;;;
BUF;01.01.1945 00:00;0.1;;;;;;;;;;;;;;;;;701.7;;;;;;;;;;;
BUF;01.01.1946 00:00;0.4;;-31.5;;;;;;;;;;;;;;;1167.9;;;;;;;;;6992.7;;
BUF;01.01.1947 00:00;1.1;;-34.5;;;;;;;;;;;;;;;1035.5;;;;;;;;;6669.9;;
BUF;01.01.1948 00:00;0.9;;-30.5;;;;;;;;;;;;;;;1025.8;;;;;;;;;6835.5;;
BUF;01.01.1949 00:00;0.8;;-34.2;;;;;;;;;;;;;;;830.6;;;;;;;;;6802.7;;
BUF;01.01.1950 00:00;0.5;;-29.5;;;;;;;;;;;;;;;1134.1;;;;;;;;;6923.5;;
BUF;01.01.1951 00:00;0.6;;-28.5;;;;;;;;;;;;;;;1275.8;;;;;;;;;6957.9;;
BUF;01.01.1952 00:00;-0.1;;-30.5;;;;;;;;;;;;;;;1325.6;;;;;;;;;7177.8;;
BUF;01.01.1953 00:00;0.5;;-31;;;;;;;;;;;;;;;947.7;;;;;;;;;6880.5;;
BUF;01.01.1954 00:00;-0.2;;-30.5;;;;;;;;;;;;;;;1227.2;;;;;;;;;7229.7;;
BUF;01.01.1955 00:00;0;;-29.9;;;;;;;;;;;;;;;982.8;;;;;;;;;7170.1;;
BUF;01.01.1956 00:00;-1.3;;-38.5;;;;;;;;;;;;;;;985.2;;;;;;;;;7728.1;;
BUF;01.01.1957 00:00;0.6;;-32;;;;;;;;;;;;;;;859.1;;;;;;;;;6955.8;;
BUF;01.01.1958 00:00;0.4;;-27;;;;;;;;;;;;;;;948;;;;;;;;;7017.8;;
BUF;01.01.1959 00:00;0.8;;-26.5;;;;76.2;5.6;;;;;;;;;;682.4;;;;;;;;;6821.2;;
