station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
CDF;01.01.1900 00:00;;;;;;;;;;;;;;;;;;1351.3;;;;;;;;;;;
CDF;01.01.1901 00:00;5.5;;-25.6;;;;78;7.9;901.7;;;;;2;;;7.2;1606.6;;;;;100374;;;;4828.1;;
CDF;01.01.1902 00:00;6;;-13.5;;;;80.1;8.1;902.4;;;;;0.8;;;2.9;1493.2;;;;;92574;36;;;4814.5;;
CDF;01.01.1903 00:00;6;;-17;;;;79;8.1;903;;;;;0.8;;;2.9;1259.6;;;;;90348;35;;;4661.1;;
CDF;01.01.1904 00:00;6.5;;-17;;;;79.4;8.5;903.1;;;;;0.6;;;2.2;1294.1;;;;;97536;37;;;4561.7;;
CDF;01.01.1905 00:00;5.7;;-20.5;;;;80.6;8.1;903.3;;;;;0.8;;;2.9;1534.8;;;;;94086;37;;;4884;;
CDF;01.01.1906 00:00;6;;-23;;;;75.6;7.6;903.1;;;;;0.6;;;2.2;1350.1;;;;;106884;42;;;4773.1;;
CDF;01.01.1907 00:00;6.1;;-23;;;;76.1;7.6;903.3;;;;;0.6;;;2.2;1228.2;;;;;92970;37;;;4639.3;;
CDF;01.01.1908 00:00;5.7;;-20;;;;76.5;7.6;904.1;;;;;0.6;;;2.2;1401.8;;;;;104046;41;;;4819.7;;
CDF;01.01.1909 00:00;5.1;;-19;;;;79.1;7.6;901.8;;;;;0.8;;;2.9;1715.7;;;;;99390;39;;;5107.7;;
CDF;01.01.1910 00:00;5.9;;-16;;;;79.4;7.9;901.2;;;;;1.1;;;4;2072.8;;;;;87792;35;;;4779.1;;
CDF;01.01.1911 00:00;7.1;;-16;;;;73.1;8;904;;;;;0.8;;;2.9;1208.5;;;;;119082;46;;;4404.2;;
CDF;01.01.1912 00:00;5.9;;-20;;;;75.3;7.5;902.8;;;;;1.1;;;4;1558.9;;;;;86832;35;;;4874.9;;
CDF;01.01.1913 00:00;6.5;;-13.5;;;;79.6;8.3;903.8;;;;;0.8;;;2.9;1350;;;;;89424;36;;;4522.5;;
CDF;01.01.1914 00:00;5.9;;-17;;;;78.6;8;902.7;;;;;0.8;;;2.9;1761.7;;;;;94488;38;;;4792.9;;
CDF;01.01.1915 00:00;6;;-20;;;;79.6;8.1;900.7;;;;;0.8;;;2.9;1741.4;;;;;95028;36;;;4619.9;;
CDF;01.01.1916 00:00;6.3;;-14.5;;;;79.1;8;901.3;;;;;1.1;;;4;1946.4;;;;;88530;35;;;4598.7;;
CDF;01.01.1917 00:00;5.2;;-21.5;;;;77.6;7.8;902.2;;;;;0.6;;;2.2;1686.5;;;;;98586;39;;;4799.1;;
CDF;01.01.1918 00:00;6.4;;-18;;;;76.4;7.9;903.9;;;;;1.1;;;4;1508.9;;;;;108360;43;;;4561.5;;
CDF;01.01.1919 00:00;5.5;;-18.5;;;;76.6;7.7;901.8;;;;;1.4;;;5;1781.3;;;;;95826;36;;;4862.4;;
CDF;01.01.1920 00:00;6.8;;-17;;;;80.1;8.5;904.4;;;;;3.9;;;14;1171.3;;;;;101664;40;;;4373.1;;
CDF;01.01.1921 00:00;7.1;;-13.5;;;;78.9;8.6;905.3;;;;;3.1;;;11.2;941.7;;;;;124188;50;;;4156.3;;
CDF;01.01.1922 00:00;5.7;;-17.5;;;;85.2;8.6;902.1;;;;;6.7;;;24.1;1960.9;;;;;89928;35;;;4805.3;;
CDF;01.01.1923 00:00;6.4;;-16;;;;84.2;8.5;902.4;;;;;4.4;;;15.8;1719.7;;;;;94140;36;;;4610.7;;
CDF;01.01.1924 00:00;6;;-18.5;;;;81.4;8.4;902.6;;;;;3.5;;;12.6;1366.2;;;;;102090;42;;;4754.4;;
