station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
CDM;01.01.1972 00:00;;;;;;;;;;;;;;;;;;1358.1;;;;;;;;;;;
CDM;01.01.1973 00:00;;;;;;;;;;;;;;;;;;1504.1;;;;;;;;;;;
CDM;01.01.1974 00:00;;;;;;;;;;;;;;;;;;2015.9;;;;;;;;;;;
CDM;01.01.1975 00:00;;;;;;;;;;;;;;;;;;1483;;;;;;;;;;;
CDM;01.01.1976 00:00;;;;;;;;;;;;;;;;;;1201.7;;;;;;;;;;;
CDM;01.01.1977 00:00;;;;;;;;;;;;;;;;;;1963.9;;;;;;;;;;;
CDM;01.01.1978 00:00;;;;;;;;;;;;;;;;;;1899.2;;;;;;;;;;;
CDM;01.01.1979 00:00;;;;;;;;;;;;;;;;;;2267.5;;;;;;;;;;;
CDM;01.01.1980 00:00;;;;;;;;;;;;;;;;;;2012.5;;;;;;;;;;;
CDM;01.01.1981 00:00;;;;;;;;;;;;;;;;;;2169;;;;;;;;;;;
CDM;01.01.1982 00:00;;;;;;;;;;;;;;;;;;1825.6;;;;;;;;;;;
CDM;01.01.1983 00:00;;;;;;;;;;;;;;;;;;1786;;;;;;;;;;;
CDM;01.01.1984 00:00;;;;;;;;;;;;;;;;;;1685.9;;;;;;;;;;;
CDM;01.01.1985 00:00;;;;;;;;;;;;;;;;;;1521.1;;;;;;;;;;;
CDM;01.01.1986 00:00;;;;;;;;;;;;;;;;;;1861.2;;;;;;;;;;;
CDM;01.01.1987 00:00;;;;;;;;;;;;;;;;;;1834.6;;;;;;;;;;;
CDM;01.01.1988 00:00;;;;;;;;;;;;;;;;;;1988.2;;;;;;;;;;;
CDM;01.01.1989 00:00;;;;;;;;;;;;;;;;;;1225.7;;;;;;;;;;;
CDM;01.01.1990 00:00;;;;;;;;;;;;;;;;;;2124;;;;;;;;;;;
CDM;01.01.1991 00:00;;;;;;;;;;;;;;;;;;1378.5;;;;;;;;;;;
CDM;01.01.1992 00:00;;;;;;;;;;;;;;;;;;1887.8;;;;;;;;;;;
CDM;01.01.1993 00:00;;;;;;;;;;;;;;;;;;1679.2;;;;;;;;;;;
CDM;01.01.1994 00:00;;;;;;;;;;;;;;;;;;1815.2;;;;;;;;;;;
CDM;01.01.1995 00:00;;;;;;;;;;;;;;;;;;1956.4;;;;;;;;;;;
CDM;01.01.1996 00:00;;;;;;;;;;;;;;;;;;1524.2;;;;;;;;;;;
CDM;01.01.1997 00:00;;;;;;;;;;;;;;;;;;1558.4;;;;;;;;;;;
CDM;01.01.1998 00:00;;;;;;;;;;;;;;;;;;1574.6;;;;;;;;;;;
CDM;01.01.1999 00:00;;;;;;;;;;;;;;;;;;2129.9;;;;;;;;;;;
CDM;01.01.2000 00:00;;;;;;;;;;;;;;;;;;1425.6;;;;;;;;;;;
CDM;01.01.2001 00:00;;;;;;;;;;;;;;;;;;2026.5;;;;;;;;;;;
CDM;01.01.2002 00:00;;;;;;;;;;;;;;;;;;1895.6;;;;;;;;;;;
CDM;01.01.2003 00:00;;;;;;;;;;;;;;;;;;1337.6;;;;;;;;;;;
CDM;01.01.2004 00:00;;;;;;;;;;;;;;;;;;1600;;;;;;;;;;;
CDM;01.01.2005 00:00;;;;;;;;;;;;;;;;;;1263;;;;;;;;;;;
CDM;01.01.2006 00:00;;;;;;;;;;;;;;;;;;1709.7;;;;;;;;;;;
CDM;01.01.2007 00:00;;;;;;;;;;;;;;;;;;2124;;;;;;;;;;;
CDM;01.01.2008 00:00;;;;;;;;;;;;;;;;;;1427.7;;;;;;;;;;;
CDM;01.01.2009 00:00;;;;;;;;;;;;;;;;;;1185.1;;;;;;;;;;;
CDM;01.01.2010 00:00;;;;;;;;;;;;;;;;;;1281.6;;;;;;;;;;;
CDM;01.01.2011 00:00;;;;;;;;;;;;;;;;;;1365.2;;;;;;;;;;;
CDM;01.01.2012 00:00;;;;;;;;;;;;;;;;;;1734.3;;;;;;;;;;;
CDM;01.01.2013 00:00;;;;;;;;;;;;;;;;;;1701.7;;;;;;;;;;;
CDM;01.01.2014 00:00;;;;;;;;;;;;;;;;;;1641.6;;;;;;;;;;;
CDM;01.01.2015 00:00;;;;;;;;;;;;;;;;;;1518.2;;;;;;;;;;;
CDM;01.01.2016 00:00;5.7;26.4;-17.1;;;;79.2;7.8;;;;;;2.3;25.7;92.5;8.3;1309.8;;;;;;;;6.6;4892.7;2540.7;
CDM;01.01.2017 00:00;5.7;26.1;-16.3;;;;76.5;7.6;;;;;;2.3;27.1;97.6;8.3;1259;;;;;;;;12.6;4846.8;2598.8;
CDM;01.01.2018 00:00;6.1;25.7;-21.4;;;;78.2;7.9;;;;;;2.3;32.9;118.4;8.3;1306.1;;;;;;;;5.3;4509.7;2365.7;
CDM;01.01.2019 00:00;5.8;30.4;-15.2;;;;74.5;7.4;;;;;;2.4;30.9;111.2;8.6;1373.3;;;;;;;;36.1;4797.7;2557.7;
CDM;01.01.2020 00:00;6.4;27.2;-12.4;;;;75.6;7.7;;;;;;2.2;32.3;116.3;7.9;1316.4;;;;;;;;;;;
CDM;01.01.2021 00:00;5.2;26.2;-13.8;;;;78.1;7.4;;;;;;2.2;30.4;109.4;7.9;1561.5;;;;;;;;5;5011.1;2659.1;
CDM;01.01.2022 00:00;7;28.3;-13.7;;;;73.1;7.9;;;;;;2.2;25.5;91.8;7.9;1251.2;;;;;;;;23.8;4216.4;2200.4;
CDM;01.01.2023 00:00;6.4;28.9;-15.9;;;;74.9;7.7;;;;;;2.3;27.3;98.3;8.3;1918.7;;;;;;;;25.7;4441.8;2369.8;
CDM;01.01.2024 00:00;6.7;28.4;-14.6;;;;76.2;8;;;;;;2.3;30.5;109.8;8.3;1510.2;;;;;;;;9.9;4497.2;2249.2;
