station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
CHM;01.01.1864 00:00;4.9;;;;;;;;884.1;;;;;;;;;796.3;;;;;;;;;5180.3;;
CHM;01.01.1865 00:00;6.1;;;;;;;;884.9;;;;;;;;;856.4;;;;;;;;;4514.9;;
CHM;01.01.1866 00:00;6.1;;;;;;;;;;;;;;;;;1125.1;;;;;;;;;4754.1;;
CHM;01.01.1867 00:00;5.3;;;;;;;;;;;;;;;;;1041.1;;;;;;;;;5010.9;;
CHM;01.01.1868 00:00;6.3;;;;;;;;;;;;;;;;;860.4;;;;;;;;;4636.2;;
CHM;01.01.1869 00:00;5.5;;;;;;;;;;;;;;;;;717.1;;;;;;;;;4930.3;;
CHM;01.01.1870 00:00;4.8;;;;;;;;;;;;;;;;;795;;;;;;;;;5202.4;;
CHM;01.01.1871 00:00;4.7;;;;;;;;;;;;;;;;;675.2;;;;;;;;;5273.6;;
CHM;01.01.1872 00:00;6.2;;;;;;;;;;;;;;;;;1164.9;;;;;;;;;4678.9;;
CHM;01.01.1873 00:00;5.8;;;;;;;;;;;;;;;;;769.5;;;;;;;;;4810.6;;
CHM;01.01.1874 00:00;5.6;;;;;;;;;;;;;;;;;784.7;;;;;;;;;4809;;
CHM;01.01.1875 00:00;5.6;;;;;;;;;;;;;;;;;1060.1;;;;;;;;;4730.4;;
CHM;01.01.1876 00:00;6.1;;;;;;;;;;;;;;;;;982.3;;;;;;;;;4713.3;;
CHM;01.01.1877 00:00;5.4;;;;;;;;;;;;;;;;;1153.3;;;;;;;;;4989.2;;
CHM;01.01.1878 00:00;5.1;;;;;;;;;;;;;;;;;1130;;;;;;;;;5011.4;;
CHM;01.01.1879 00:00;4.5;;;;;;;;;;;;;;;;;1171.9;;;;;;;;;5376;;
CHM;01.01.1880 00:00;6.2;;;;;;;;;;;;;;;;;1057.6;;;;;;;;;4585.7;;
CHM;01.01.1881 00:00;5.5;;;;;;;;;;;;;;;;;1000.2;;;;;;;;;4873.5;;
CHM;01.01.1882 00:00;5.8;;;;;;;;;;;;;;;;;1348.8;;;;;;;;;4738.5;;
CHM;01.01.1883 00:00;5.3;;;;;;;;;;;;;;;;;970.7;;;;;;;;;4936.3;;
CHM;01.01.1884 00:00;6.2;;;;;;;;;;;;;;;;;663;;;;;;;;;4554;;
CHM;01.01.1885 00:00;5.8;;;;;;;;;;;;;;;;;955.4;;;;;;;;;4692;;
CHM;01.01.1886 00:00;6.1;;;;;;;;;;;;;;;;;1076.8;;;;;;;;;4522.4;;
CHM;01.01.1887 00:00;5.2;;;;;;;;;;;;;;;;;865.6;;;;;;;;;4871.4;;
CHM;01.01.1888 00:00;5.2;;;;;;;;;;;;;;;;;1011.1;;;;;;;;;4955.4;;
CHM;01.01.1889 00:00;4.6;;;;;;;;;;;;;;;;;1060.5;;;;;;;;;5080.9;;
CHM;01.01.1890 00:00;5;;;;;;;;;;;;;;;;;992;;;;;;;;;;;
CHM;01.01.1891 00:00;5.1;;;;;;;;;;;;;;;;;1171.9;;;;;;;;;5056.3;;
CHM;01.01.1892 00:00;5.9;;;;;;;;;;;;;;;;;980.8;;;;;;;;;4733.3;;
CHM;01.01.1893 00:00;6.5;;;;;;;;;;;;;;;;;755.1;;;;;;;;;4482.5;;
CHM;01.01.1894 00:00;5.8;;;;;;;;;;;;;;;;;895.6;;;;;;;;;4860.1;;
CHM;01.01.1895 00:00;5.5;;;;;;;;;;;;;;;;;1124.8;;;;;;;;;4843.2;;
CHM;01.01.1896 00:00;4.9;;;;;;;;;;;;;;;;;1245.6;;;;;;;;;5202.7;;
CHM;01.01.1897 00:00;6.3;;;;;;;;;;;;;;;;;1077;;;;;;;;;4560;;
CHM;01.01.1898 00:00;6.8;;;;;;;;;;;;;;;;;914;;;;;;;;;4470.7;;
CHM;01.01.1899 00:00;6.6;;;;;;;;;;;;;;;;;1000.9;;;;;;;;;4525.7;;
CHM;01.01.1900 00:00;6.1;;;;;;;;;;;;;;;;;1096.6;;;;;;;;;4613.4;;
CHM;01.01.1901 00:00;4.9;;;;;;;;;;;;;;;;;1359.8;;;;;;;;;5006.5;;
CHM;01.01.1902 00:00;5.2;;;;;;;;;;;;;;;;;1218.1;;;;;;;;;5107.5;;
CHM;01.01.1903 00:00;5.5;;;;;;;;;;;;;;;;;1067.9;;;;;;;;;4948.4;;
CHM;01.01.1904 00:00;6.1;;;;;;;;;;;;;;;;;894.4;;;;;;;;;4652.7;;
CHM;01.01.1905 00:00;4.7;;;;;;;;;;;;;;;;;1272.5;;;;;;;;;5263.2;;
CHM;01.01.1906 00:00;5.1;;;;;;;;;;;;;;;;;1094.3;;;;;;;;;5084.1;;
CHM;01.01.1907 00:00;5.4;;;;;;;;;;;;;;;;;933.6;;;;;;;;;4878.8;;
CHM;01.01.1908 00:00;5.5;;;;;;;;;;;;;;;;;1031.3;;;;;;;;;4899.7;;
CHM;01.01.1909 00:00;4.5;;;;;;;;;;;;;;;;;1208.6;;;;;;;;;5360.6;;
CHM;01.01.1910 00:00;5.1;;;;;;;;;;;;;;;;;1368.8;;;;;;;;;5079.2;;
CHM;01.01.1911 00:00;6.7;;;;;;;;;;;;;;;;;997.6;;;;;;;;;4546.8;;
CHM;01.01.1912 00:00;5.4;;;;;;;;;;;;;;;;;1100.2;;;;;;;;;5089.7;;
CHM;01.01.1913 00:00;6;;;;;;;;;;;;;;;;;969;;;;;;;;;4789.3;;
CHM;01.01.1914 00:00;5.3;;;;;;;;;;;;;;;;;1292.8;;;;;;;;;5044.8;;
CHM;01.01.1915 00:00;5;;;;;;;;;;;;;;;;;1270.1;;;;;;;;;5061.9;;
CHM;01.01.1916 00:00;5.6;;;;;;;;;;;;;;;;;1432.9;;;;;;;;;4938.1;;
CHM;01.01.1917 00:00;4.6;;;;;;;;;;;;;;;;;1166.8;;;;;;;;;5039.1;;
CHM;01.01.1918 00:00;6.1;;;;;;;;;;;;;;;;;1176.9;;;;;;;;;4703.4;;
CHM;01.01.1919 00:00;4.7;;;;;;;;;;;;;;;;;1243.8;;;;;;;;;5202.9;;
CHM;01.01.1920 00:00;6.6;;;;;;;;;;;;;;;;;904.1;;;;;;;;;4458.7;;
CHM;01.01.1921 00:00;7.2;;;;;;;;;;;;;;;;;801.6;;;;;;;;;;;
CHM;01.01.1922 00:00;5;;;;;;;;;;;;;;;;;1354.4;;;;;;;;;;;
CHM;01.01.1923 00:00;5.7;;;;;;;;;;;;;;;;;1279.7;;;;;;;;;4945.9;;
CHM;01.01.1924 00:00;5.8;;;;;;;;;;;;;;;;;1084.7;;;;;;;;;4797.3;;
CHM;01.01.1925 00:00;5.7;;;;;;;;;;;;;;;;;1087.2;;;;;;;;;4771;;
CHM;01.01.1926 00:00;6.5;;;;;;;;;;;;;;;;;1147;;;;;;;;;4509.4;;
CHM;01.01.1927 00:00;6.2;;;;;;;;;;;;;;;;;1270.7;;;;;;;;;4609.1;;
CHM;01.01.1928 00:00;6.9;;;;;;;;;;;;;;;;;1100.7;;;;;;;;;4482.7;;
CHM;01.01.1929 00:00;6.4;;;;;;;;;;;;;;;;;845.7;;;;;;;;;4554.2;;
CHM;01.01.1930 00:00;6.7;;;;;;;;;;;;;;;;;1281;;;;;;;;;4349.4;;
CHM;01.01.1931 00:00;5.2;;;;;;;;;;;;;;;;;1245.6;;;;;;;;;5024.3;;
CHM;01.01.1932 00:00;6;;;;;;;;;;;;;;;;;1130.8;;;;;;;;;4714.9;;
CHM;01.01.1933 00:00;5.3;;;;;;;;;;;;;;;;;958.5;;;;;;;;;;;
CHM;01.01.1934 00:00;6.2;;;;;;;;;;;;;;;;;907.4;;;;;;;;;4529.9;;
CHM;01.01.1935 00:00;4.9;;;;;;;;;;;;;;;;;1427.9;;;;;;;;;5128.4;;
CHM;01.01.1936 00:00;5.4;;;;;;;;;;;;;;;;;1211.4;;;;;;;;;4941.3;;
CHM;01.01.1937 00:00;5.7;;;;;;;;;;;;;;;;;1294.1;;;;;;;;;4802.8;;
CHM;01.01.1938 00:00;5.7;;;;;;;;;;;;;;;;;1007.7;;;;;;;;;4885;;
CHM;01.01.1939 00:00;5;;;;;;;;;;;;;;;;;1503.8;;;;;;;;;5118.1;;
CHM;01.01.1940 00:00;4.7;;;;;;;;;;;;;;;;;1271.7;;;;;;;;;5236;;
CHM;01.01.1941 00:00;4.8;;;;;;;;;;;;;;;;;971.9;;;;;;;;;5198;;
