station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
CHU;01.01.1887 00:00;7.2;;;;;;;;946.7;;;;;;;;;472.3;;;;;;;;;4324.2;;
CHU;01.01.1888 00:00;7.5;;;;;;;;946.2;;;;;;;;;876;;;;;;;;;4030.6;;
CHU;01.01.1889 00:00;7.3;;;;;;;;946.1;;;;;;;;;717.6;;;;;;;;;4078.6;;
CHU;01.01.1890 00:00;7.4;;;;;;;;946.5;;;;;;;;;1021.8;;;;;;;;;4091.6;;
CHU;01.01.1891 00:00;7.3;;;;;;;;946;;;;;;;;;1008.8;;;;;;;;;4019.7;;
CHU;01.01.1892 00:00;8.4;;;;;;;;944.4;;;;;;;;;700.8;;;;;;;;;3765.8;;
CHU;01.01.1893 00:00;8.6;;;;;;;;945.9;;;;;;;;;648.3;;;;;;;;;3597.8;;
CHU;01.01.1894 00:00;8.4;;;;;;;;;;;;;;;;;752.4;;;;;;;;;3732.4;;
CHU;01.01.1895 00:00;8.2;;;;;;;;943.6;;;;;;;;;781.7;;;;;;;;;3715.9;;
CHU;01.01.1896 00:00;7.5;;;;;;;;945.9;;;;;;;;;1088.2;;;;;;;;;4039.1;;
CHU;01.01.1897 00:00;8.8;;;;;;;;946;;;;;;;;;828.1;;;;;;;;;3654.9;;
CHU;01.01.1898 00:00;9.2;;;;;;;;946.1;;;;;;;;;796.3;;;;;;;;;3401;;
CHU;01.01.1899 00:00;9;;;;;;;;946.6;;;;;;;;;707.2;;;;;;;;;3531.9;;
CHU;01.01.1900 00:00;9.1;;;;;;;;944.4;;;;;;;;;766.7;;;;;;;;;3477.7;;
CHU;01.01.1901 00:00;7.9;;;;;;;;;;;;;;;;;942.9;;;;;;;;;3865.6;;
CHU;01.01.1902 00:00;8.3;;;;;;;;945;;;;;;;;;842.4;;;;;;;;;3821.8;;
CHU;01.01.1903 00:00;8.6;;;;;;;;945.9;;;;;;;;;726.2;;;;;;;;;3654.4;;
CHU;01.01.1904 00:00;8.9;;;;;;;;945.9;;;;;;;;;691.7;;;;;;;;;3684.3;;
CHU;01.01.1905 00:00;8.1;;;;;;;;946.5;;;;;;;;;825.1;;;;;;;;;3922;;
CHU;01.01.1906 00:00;8.3;;;;;;;;946.2;;;;;;;;;760.6;;;;;;;;;3823.5;;
CHU;01.01.1907 00:00;8.4;;;;;;;;946;;;;;;;;;848.1;;;;;;;;;3675.9;;
CHU;01.01.1908 00:00;7.9;;;;;;;;;;;;;;;;;846.6;;;;;;;;;3852.7;;
CHU;01.01.1909 00:00;7.7;;;;;;;;944.5;;;;;;;;;864.3;;;;;100302;;;;3883.6;;
CHU;01.01.1910 00:00;8.6;;;;;;;;943.7;;;;;;;;;920.1;;;;;91938;;;;3617.5;;
CHU;01.01.1911 00:00;9.3;;;;;;;;946.6;;;;;;;;;829.2;;;;;117012;;;;3541.3;;
