station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
DOL;01.01.1973 00:00;2.8;22;-17.6;;;;84.3;7.1;831.1;;;;;6;;;22.7;1372.9;;;;;114306;43;;;6049.1;;
DOL;01.01.1974 00:00;2.3;24.6;-11.3;;;;90.1;7;829.5;;;;;7.4;;;27.4;1672;;;;;91944;33;;;6273.9;;
DOL;01.01.1975 00:00;2.9;22.1;-12.8;;;;87.1;7.2;830.9;;;;;6.6;;;24.5;1423.8;;;;;119238;45;;;6048.3;;
DOL;01.01.1976 00:00;2.8;23.1;-15.5;;;;85.7;7;829.6;;;;;5.7;;;21.6;1037.2;;;;;122826;44;;;6060;;
DOL;01.01.1977 00:00;2.5;19.8;-13.6;;;;90.4;7.2;829.9;;;;;6.7;;;24.8;1518;;;;;85944;32;;;6266.3;;
DOL;01.01.1978 00:00;2.5;21.3;-16.6;;;;87.7;7;829.3;;;;;6.3;;;23.4;1403.2;;;;;100020;37;;;6147;;
DOL;01.01.1979 00:00;2.8;23.5;-21;;;;80.6;6.5;829.7;;;;;6.3;;;24.5;2093.5;;;;;95298;35;;;6039.9;;
DOL;01.01.1980 00:00;2.1;21.3;-16.5;;;;80.3;6.2;830.4;;;;;8.2;;;29.9;2065.8;;;;;88266;34;;;6419.3;;
DOL;01.01.1981 00:00;2.9;23.5;-14.4;;;;76.7;6.3;830.9;;;;;9.3;47;169.2;33.5;2386.2;129;;;;86253;33;655.3;1.2;6008.7;3360.7;2034.8
DOL;01.01.1982 00:00;3.9;22.6;-13.7;4.2;31.6;-15.2;77.9;6.7;832.1;;;;;8.5;42.9;154.4;29.9;1776;139;;;;101336;39;653;0;5555.2;3035.2;1401.3
DOL;01.01.1983 00:00;4.3;29;-13;4.3;36;-17.6;74.6;6.6;832.7;;;;;7.3;48.5;174.6;26.6;2150.1;134;;;;98076;38;687.7;23.3;5429.6;2981.6;1718.6
DOL;01.01.1984 00:00;2.6;22.6;-14;2.8;29.4;-14.2;77;6;830.1;;;;;9;49.4;177.8;32;1773.5;132;;;;99426;38;656.1;0.6;6208.2;3504.2;1323.2
DOL;01.01.1985 00:00;3.1;22.9;-22;3.5;31.7;-24.6;74.4;6.1;830.7;;;;;8.6;37.6;135.4;30.2;1543.6;144;;;;116419;45;723.6;0;5815.1;3367.1;959.7
DOL;01.01.1986 00:00;3.2;23.8;-23.6;;;;79.1;6.7;831.2;;;;;8.6;52;187.2;30.2;1988.6;132;;;;101299;39;632.7;3.9;5794.2;3306.2;1533.3
DOL;01.01.1987 00:00;3.4;23.6;-26;3.5;30.6;-23.6;79.6;6.7;831.1;;;;;8.2;40.7;146.5;28.8;1878;126;;;;92031;35;586.3;4.7;5872.3;3288.3;1556.8
DOL;01.01.1988 00:00;3.7;22.1;-15.3;4.4;33.3;-18.7;81.7;7;831.4;;;;;8.4;53.4;192.2;29.5;2081.2;129;;;;94194;36;590.8;0;5732.3;3116.3;1714.9
DOL;01.01.1989 00:00;4.9;24.3;-9.6;5.1;30.6;-11.9;72.6;6.6;833.2;;;;;7.6;42;151.2;26.6;1148.7;141;;;;124416;48;737.5;0.7;5213.9;2653.9;671.8
DOL;01.01.1990 00:00;4.1;24.2;-11.6;4.6;31.3;-12.1;78.5;6.8;833.1;;;;;7.5;52.3;188.3;26.3;2131.5;137;;;;110038;42;652.3;0.9;5575.5;2975.5;1651.3
DOL;01.01.1991 00:00;3.7;23.6;-17.2;3.9;33.7;-18.5;76.6;6.6;832.4;;;;;7.5;40.7;146.5;26.6;1718.3;140;;;;110846;42;662.5;0.9;5586.3;3170.3;1244.4
DOL;01.01.1992 00:00;4.3;24.4;-16.2;4.4;31.5;-17.1;78.1;6.9;832.8;;;;;8.2;41.4;149;29.2;2010.3;130;;;;95768;37;643.6;2.3;5530.5;2970.5;1663.6
DOL;01.01.1993 00:00;3.7;22.5;-16.7;4;29.4;-18;79.8;6.8;832.3;;;;;7.6;37.1;133.6;27;2144.6;133;;;;102304;39;596.1;0;5690.5;3114.5;1772.3
DOL;01.01.1994 00:00;4.7;24.9;-11.6;4.8;34;-13.8;81.4;7.4;831.9;;;;;8.3;47.1;169.6;28.8;1985.3;128;;;;95021;36;641.5;5.2;5283;2835;1643.7
DOL;01.01.1995 00:00;3.7;24.4;-16.2;3.7;29.8;-18.4;82.6;7.1;830.8;;;;;8;48.7;175.3;28.1;2208.5;133;;;;100817;39;571.3;3.4;5685.1;3149.1;1898.7
DOL;01.01.1996 00:00;3.3;20.8;-16.4;3.4;27.5;-22.2;81;6.7;829;;1471.7;;;7.7;40.1;144.4;27.7;1688.7;131;;;;101985;39;601.1;0;5861.5;3229.5;1346
DOL;01.01.1997 00:00;5;21;-10;5;28.9;-13;77.7;7.2;832;;;;;7.7;41.7;150.1;27;1862.8;142;;;;121505;47;662.8;0;5123.5;2675.5;1481.8
DOL;01.01.1998 00:00;3.9;24.5;-13.9;4;32;-14.3;77.6;6.7;831.7;;;;;8.4;40.5;145.8;29.5;1830.8;137;;;;113030;43;671.8;11.6;5613.6;3085.6;1425.1
DOL;01.01.1999 00:00;3.8;22.4;-16.1;4.7;28.1;-18.2;81.8;7.1;830.7;;;;;8.6;55.9;201.2;29.9;2153.1;131;;;;97231;37;600.4;0.4;5611.9;3083.9;1821.8
DOL;01.01.2000 00:00;4.3;22.8;-13.5;4.7;32.8;-13.2;81.1;7.1;831.4;;;;;8.3;39.1;140.8;29.2;1720.9;136;;;;107264;41;633.3;0.1;5499.3;2931.3;1326.9
DOL;01.01.2001 00:00;3.8;22.8;-18.5;3.9;28.3;-19.7;82.1;7.1;830.9;;;;;8.3;42.1;151.6;28.8;2079.7;135;;;;100844;39;592;0.2;5637.6;3117.6;1696.9
DOL;01.01.2002 00:00;4.4;24.5;-11.9;4.5;33.9;-15.9;82;7.2;831.4;;1494.1;;;7.2;38.3;137.9;24.8;2167.1;130;;;;97020;37;588.9;6.1;5498.8;2874.8;1831.8
DOL;01.01.2003 00:00;5.1;27.9;-16.5;5.3;34.8;-16.8;73.6;7;832.6;;1506.3;;;7.2;40.7;146.5;24.1;1348.4;157;;;;128162;49;801.3;46.6;5071.7;2855.7;745.5
DOL;01.01.2004 00:00;3.8;22.7;-14;4.1;28.6;-17.5;80;6.9;831.4;;1495.1;;;7.1;45.4;163.4;25.6;1628.2;138;;;;101365;39;622.4;0.6;5636.9;3108.9;1243.1
DOL;01.01.2005 00:00;3.5;24.6;-17.2;4.5;30.7;-17.7;80.5;7;831.7;;1498.2;;;7;47.9;172.4;25.2;1328.6;141;;;;114163;43;628;4.6;5737.9;3217.9;921.2
