station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
EGH;01.01.1994 00:00;-1.2;17;-40.8;;;;;;;;;;;4;69.5;250.2;14.4;;;;;;;;;;;4778.2;
EGH;01.01.1995 00:00;-2.8;17.9;-22;;;;;;;;;;;4.1;40.8;146.9;;;;;;;;;;;;5395.7;
EGH;01.01.1996 00:00;;15;-22.1;;;;;;;;;;;3.6;38.7;139.3;13;;;;;;;;;;;;
EGH;01.01.1997 00:00;-1.8;14.5;-17.7;;;;68.4;4;;;;;;3.8;36.8;132.5;;;;;;;;;;;;5025.2;
EGH;01.01.1998 00:00;-2.4;18.4;-20.2;;;;67.7;3.8;;;;;;4.1;42;151.2;14.8;;;;;;;;;;;5158.1;
EGH;01.01.1999 00:00;;16.2;-23.5;;;;;;;;;;;4.2;50;180;15.1;;;;;;;;;;;;
EGH;01.01.2002 00:00;-2.2;16.2;-18.5;;;;73.4;4.1;;;;;;3.9;33.1;119.2;14;;;;;;;;;;;5132.4;
EGH;01.01.2003 00:00;-1.8;16.7;-23.2;;;;64.8;2;;;;;;4;41.3;148.7;14.4;;;;;;;;;;;5010.9;
EGH;01.01.2004 00:00;-2.6;15.4;-21.7;;;;70;3.5;;;;;;4.1;35.9;129.2;14.8;;;;;;;;;;;5343.8;
EGH;01.01.2005 00:00;;16.2;-24.2;;;;;;;;;;;;36.7;132.1;;;;;;;;;;;;;
EGH;01.01.2007 00:00;-1.8;15.4;-21.1;;;;68.9;4;;;;;;3.6;38.5;138.6;13;;;;;;;;;;;5021.1;
EGH;01.01.2008 00:00;;15.6;-20.1;;;;;;;;;;;;41.3;148.7;;;;;;;;;;;;;
EGH;01.01.2009 00:00;;;;;;;;;;;;;;;33.3;119.9;;;;;;;;;;;;;
EGH;01.01.2013 00:00;;16.9;-23.2;;;;;;713.5;;;;;;35.2;126.7;;;;;;;;;;;;;
EGH;01.01.2014 00:00;-2;15.8;-18.3;;;;76.6;4.4;714.3;;;3054.9;1018.1;3.8;43.2;155.5;13.7;;160;;;;;;510.3;0;7999.4;5079.4;
EGH;01.01.2015 00:00;;;;;;;;;717.1;;;;1021.9;;42.3;152.3;;;174;;;;;;;;;;
EGH;01.01.2016 00:00;-1.8;19.3;-20.7;;;;73.6;4.2;715.4;;;3067;1019.5;3.8;33.3;119.9;13.7;;174;;;;;;569.7;0;7932.1;5044.1;
EGH;01.01.2017 00:00;-1.7;18.5;-22.4;;;;71.6;4.3;715.8;;;3072.3;1020.1;4.1;37.3;134.3;14.8;;175;;;;;;603.2;0;7899.5;4987.5;
EGH;01.01.2018 00:00;-1.3;17.1;-26.4;;;;75.1;4.6;714.7;;;;1018.6;3.8;47.1;169.6;13.7;;169;;;;;;;;;;
EGH;01.01.2019 00:00;-1.5;19.4;-19.5;;;;71.2;4.2;714.8;;;3061.6;1018.8;4.4;42.3;152.3;15.8;;178;;;;;;613;0;7799.1;4951.1;
EGH;01.01.2020 00:00;-0.6;17.1;-19;;;;70.2;4.4;716;;;3074.6;1020.4;3.7;42.5;153;13.3;;177;;;;;;634.2;0;7545.4;4625.4;
EGH;01.01.2021 00:00;-2.4;17.2;-20.4;;;;74;4.2;714.8;;;3060.6;1018.8;3.8;37.6;135.4;13.7;;173;;;;;;537.2;0;8145.6;5241.6;
EGH;01.01.2022 00:00;-0.4;18.2;-19.3;;;;68.1;4.4;717;;;3085.7;1021.7;3.9;40.8;146.9;14;;179;;;;;;666.8;0;7427.4;4523.4;
EGH;01.01.2023 00:00;-0.9;18.5;-20.2;;;;71.3;4.4;715.5;;;3069.1;1019.7;4.3;37.1;133.6;15.5;;172;;;;118679;46;616;0;7515.1;4699.1;
EGH;01.01.2024 00:00;-0.9;18.3;-18.6;;;;72.2;4.2;716;;;;;4.2;36.6;;15.1;;158;;;;100937;39;;;;;
