station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
EGO;01.01.1974 00:00;;;;;;;;;;;;;;;;;;999.9;;;;;;;;;;;
EGO;01.01.1975 00:00;;;;;;;;;;;;;;;;;;1025.2;;;;;;;;;;;
EGO;01.01.1976 00:00;;;;;;;;;;;;;;;;;;811.4;;;;;;;;;;;
EGO;01.01.1977 00:00;;;;;;;;;;;;;;;;;;1327.7;;;;;;;;;;;
EGO;01.01.1978 00:00;;;;;;;;;;;;;;;;;;1061.8;;;;;;;;;;;
EGO;01.01.1979 00:00;;;;;;;;;;;;;;;;;;1340.1;;;;;;;;;;;
EGO;01.01.1980 00:00;;;;;;;;;;;;;;;;;;1159.8;;;;;;;;;;;
EGO;01.01.1981 00:00;;;;;;;;;;;;;;;;;;1248.7;;;;;;;;;;;
EGO;01.01.1982 00:00;;;;;;;;;;;;;;;;;;1159.5;;;;;;;;;;;
EGO;01.01.1983 00:00;;;;;;;;;;;;;;;;;;939.5;;;;;;;;;;;
EGO;01.01.1984 00:00;;;;;;;;;;;;;;;;;;948.9;;;;;;;;;;;
EGO;01.01.1985 00:00;;;;;;;;;;;;;;;;;;929;;;;;;;;;;;
EGO;01.01.1986 00:00;;;;;;;;;;;;;;;;;;1192.1;;;;;;;;;;;
EGO;01.01.1987 00:00;;;;;;;;;;;;;;;;;;1051.6;;;;;;;;;;;
EGO;01.01.1988 00:00;;;;;;;;;;;;;;;;;;1169.6;;;;;;;;;;;
EGO;01.01.1989 00:00;;;;;;;;;;;;;;;;;;880.8;;;;;;;;;;;
EGO;01.01.1990 00:00;;;;;;;;;;;;;;;;;;1078.4;;;;;;;;;;;
EGO;01.01.1991 00:00;;;;;;;;;;;;;;;;;;842.2;;;;;;;;;;;
EGO;01.01.1992 00:00;;;;;;;;;;;;;;;;;;996.8;;;;;;;;;;;
EGO;01.01.1993 00:00;;;;;;;;;;;;;;;;;;988.8;;;;;;;;;;;
EGO;01.01.1994 00:00;;;;;;;;;;;;;;2.1;33.1;119.2;7.6;1099.9;;;;;;;;;;;
EGO;01.01.1995 00:00;;;;;;;;;;;;;;2.2;40.7;146.5;7.9;1294;;;;;;;;;;;
EGO;01.01.1996 00:00;;;;;;;;;;;;;;1.9;26;93.6;6.8;934.6;;;;;;;;;;;
EGO;01.01.1997 00:00;;;;;;;;;;;;;;2;32;115.2;7.2;864.2;;;;;;;;;;;
EGO;01.01.1998 00:00;;;;;;;;;;;;;;2.2;28.6;103;7.9;949.6;;;;;;;;;;;
EGO;01.01.1999 00:00;;;;;;;;;;;;;;2.1;44.5;160.2;7.6;1268.9;;;;;;;;;;;
EGO;01.01.2000 00:00;;;;;;;;;;;;;;1.9;31.3;112.7;6.8;970.7;;;;;;;;;;;
EGO;01.01.2001 00:00;;;;;;;;;;;;;;2.1;29.6;106.6;7.6;1219.5;;;;;;;;;;;
EGO;01.01.2002 00:00;;;;;;;;;;;;;;2;31.7;114.1;7.2;1179.3;;;;;;;;;;;
EGO;01.01.2003 00:00;;;;;;;;;;;;;;1.9;36.7;132.1;6.8;743.4;;;;;;;;;;;
EGO;01.01.2004 00:00;;;;;;;;;;;;;;2.1;29.1;104.8;7.6;987;;;;;;;;;;;
EGO;01.01.2005 00:00;;;;;;;;;;;;;;1.8;31.3;112.7;6.5;1004;;;;;;;;;;;
EGO;01.01.2006 00:00;;;;;;;;;;;;;;1.9;30;108;6.8;1214.5;;;;;;;;;;;
EGO;01.01.2007 00:00;;;;;;;;;;;;;;2.3;30.8;110.9;8.3;1230.9;;;;;;;;;;;
EGO;01.01.2008 00:00;;;;;;;;;;;;;;2;29.1;104.8;7.2;1100;;;;;;;;;;;
EGO;01.01.2009 00:00;;;;;;;;;;;;;;1.8;31.8;114.5;6.5;1064.3;;;;;;;;;;;
EGO;01.01.2010 00:00;;;;;;;;;;;;;;1.8;;;6.5;989.1;;;;;;;;;;;
EGO;01.01.2011 00:00;10;31.6;-10.1;;;;;;957.5;1019.3;;;1019;1.8;33.7;121.3;6.5;734.3;150;;;;;;;88.2;3068;1484;
EGO;01.01.2012 00:00;;32.9;-20;;;;;;956.3;;;;1017.8;2;28.6;103;7.2;1050.6;141;;;;;;;;;;
EGO;01.01.2013 00:00;;33.9;-12.6;;;;;;955.2;;;;1016.6;1.9;26.7;96.1;6.8;899.6;135;;;;;;;;;;
EGO;01.01.2014 00:00;;;;;;;;;954.8;;;;1016.1;1.7;28.8;103.7;6.1;875.8;141;;;;;;;;;;
EGO;01.01.2015 00:00;9.9;34.8;-12.8;;;;84.2;10.7;958.4;1020.3;;;1020;2;32.5;117;7.2;710.9;147;;;;;;712.4;222;3336.9;1576.9;
EGO;01.01.2016 00:00;9.4;32.1;-14.3;;;;86.7;10.9;956.7;1018.5;;;1018.2;1.9;30;108;6.8;1001.1;137;;;;;;650.6;133.6;3480.9;1688.9;
EGO;01.01.2017 00:00;9.7;33;-14;;;;81.3;10.4;957.7;1019.5;;;1019.2;2;33.7;121.3;7.2;920.9;150;;;;;;742.6;180.2;3421.3;1653.3;
EGO;01.01.2018 00:00;10.5;33.2;-13.2;;;;81.7;10.8;955.3;1016.8;;;1016.7;2;34.2;123.1;7.2;801.4;149;;;;;;769.2;192.6;3091.8;1499.8;
