station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
ELM;01.01.1879 00:00;5.6;;;;;;;;;;;;;;;;;1548.1;;;;;;;;;4831.8;;
ELM;01.01.1880 00:00;7;;;;;;;;;;;;;;;;;1571.7;;;;;;;;;4303.6;;
ELM;01.01.1881 00:00;6.5;;;;;;;;;;;;;;;;;1293.5;;;;;;;;;;;
ELM;01.01.1882 00:00;6.4;;;;;;;;;;;;;;;;;1790.8;;;;;;;;;4528.5;;
ELM;01.01.1883 00:00;5.6;;;;;;;;;;;;;;;;;1476.4;;;;;;;;;4794.5;;
ELM;01.01.1884 00:00;6.2;;;;;;;;;;;;;;;;;1233.1;;;;;;;;;4644.3;;
ELM;01.01.1885 00:00;6.1;;;;;;;;;;;;;;;;;1498.5;;;;;;;;;4647.4;;
ELM;01.01.1886 00:00;6.1;;;;;;;;;;;;;;;;;1426.9;;;;;;;;;4554.6;;
ELM;01.01.1887 00:00;5;;;;;;;;;;;;;;;;;1168.9;;;;;;;;;5040.1;;
ELM;01.01.1888 00:00;5.5;;;;;;;;;;;;;;;;;1723.7;;;;;;;;;4885.6;;
ELM;01.01.1889 00:00;5.1;;;;;;;;;;;;;;;;;1620.4;;;;;;;;;4931.9;;
ELM;01.01.1890 00:00;5.2;;;;;;;;;;;;;;;;;1816.4;;;;;;;;;4981.8;;
ELM;01.01.1891 00:00;5.2;;;;;;;;;;;;;;;;;1771;;;;;;;;;4946.2;;
ELM;01.01.1892 00:00;6.2;;;;;;;;;;;;;;;;;1549.1;;;;;;;;;4548.2;;
ELM;01.01.1893 00:00;6.2;;;;;;;;;;;;;;;;;1390.7;;;;;;;;;4584.9;;
ELM;01.01.1894 00:00;6.1;;;;;;;;;;;;;;;;;1476.8;;;;;;;;;4682.9;;
ELM;01.01.1895 00:00;5.8;;;;;;;;;;;;;;;;;1249.1;;;;;;;;;4663.2;;
ELM;01.01.1896 00:00;5.2;;;;;;;;;;;;;;;;;1789.3;;;;;;;;;5016.6;;
ELM;01.01.1897 00:00;6.5;;;;;;;;;;;;;;;;;1572.8;;;;;;;;;4456.2;;
ELM;01.01.1898 00:00;6.9;;;;;;;;;;;;;;;;;1508;;;;;;;;;4318.6;;
ELM;01.01.1899 00:00;6.7;;;;;;;;;;;;;;;;;1375.6;;;;;;;;;4419.5;;
ELM;01.01.1900 00:00;6.7;;;;;;;;;;;;;;;;;1506.8;;;;;;;;;4415.8;;
ELM;01.01.1901 00:00;5.5;;;;;;;;;;;;;;;;;1514.6;;;;;;;;;4739.6;;
ELM;01.01.1902 00:00;5.9;;;;;;;;;;;;;;;;;1411.4;;;;;;;;;4782.9;;
ELM;01.01.1903 00:00;6.1;;;;;;;;;;;;;;;;;1306.2;;;;;;;;;4604.3;;
ELM;01.01.1904 00:00;6.7;;;;;;;;;;;;;;;;;1273;;;;;;;;;4410.3;;
ELM;01.01.1905 00:00;5.8;;;;;;;;;;;;;;;;;1519.4;;;;;;;;;4803.4;;
ELM;01.01.1906 00:00;5.9;;;;;;;;;;;;;;;;;1493.8;;;;;;;;;4718.8;;
ELM;01.01.1907 00:00;6.2;;;;;;;;;;;;;;;;;1373.7;;;;;;;;;4515.5;;
ELM;01.01.1908 00:00;5.5;;;;;;;;;;;;;;;;;1339.1;;;;;;;;;4939;;
ELM;01.01.1909 00:00;4.8;;;;;;;;;;;;;;;;;1392.5;;;;;;;;;5203.1;;
ELM;01.01.1910 00:00;5.7;;;;;;;;;;;;;;;;;1643.5;;;;;;;;;4785.8;;
ELM;01.01.1911 00:00;6.4;;;;;;;;;;;;;;;;;1286.5;;;;;;;;;4500.7;;
ELM;01.01.1912 00:00;5.5;;;;;;;;;;;;;;;;;1578.2;;;;;;;;;4973.6;;
ELM;01.01.1913 00:00;6.1;;;;;;;;;;;;;;;;;1527.4;;;;;;;;;4583.7;;
ELM;01.01.1914 00:00;5.6;;;;;;;;;;;;;;;;;1644.8;;;;;;;;;4859.6;;
ELM;01.01.1915 00:00;5.4;;;;;;;;;;;;;;;;;1418.5;;;;;;;;;4909.5;;
ELM;01.01.1916 00:00;5.8;;;;;;;;;;;;;;;;;1969.4;;;;;;;;;4750;;
ELM;01.01.1917 00:00;4.9;;;;;;;;;;;;;;;;;1576.9;;;;;;;;;4892.7;;
ELM;01.01.1918 00:00;6.3;;;;;;;;;;;;;;;;;1274.3;;;;;;;;;4583.1;;
ELM;01.01.1919 00:00;5.2;;;;;;;;;;;;;;;;;1482.1;;;;;;;;;4996;;
ELM;01.01.1920 00:00;6.9;;;;;;;;;;;;;;;;;1214.6;;;;;;;;;4290.6;;
ELM;01.01.1921 00:00;6.9;;;;;;;;;;;;;;;;;1103.6;;;;;;;;;4246.5;;
ELM;01.01.1922 00:00;5.2;;;;;;;;;;;;;;;;;2013.8;;;;;;;;;4962.5;;
ELM;01.01.1923 00:00;6.3;;;;;;;;;;;;;;;;;1665.2;;;;;;;;;4617.3;;
ELM;01.01.1924 00:00;5.7;;;;;;;;;;;;;;;;;1473.8;;;;;;;;;4820.2;;
ELM;01.01.1925 00:00;5.8;;;;;;;;;;;;;;;;;1307.3;;;;;;;;;4698.5;;
ELM;01.01.1926 00:00;6.8;;;;;;;;;;;;;;;;;1739.8;;;;;;;;;4361.8;;
ELM;01.01.1927 00:00;6.5;;;;;;;;;;;;;;;;;1760.7;;;;;;;;;4466.3;;
ELM;01.01.1928 00:00;6.7;;;;;;;;;;;;;;;;;1682.4;;;;;;;;;4551.7;;
ELM;01.01.1929 00:00;5.8;;;;;;;;;;;;;;;;;1242.5;;;;;;;;;4700.9;;
ELM;01.01.1930 00:00;6.8;;;;;;;;;;;;;;;;;1627.7;;;;;;;;;4350.3;;
ELM;01.01.1931 00:00;5.3;;;;;;;;;;;;;;;;;1550;;;;;;;;;5028.1;;
ELM;01.01.1932 00:00;6.2;;;;;;;;;;;;;;;;;1404.5;;;;;;;;;4592.2;;
ELM;01.01.1933 00:00;5.6;;;;;;;;;;;;;;;;;1485.1;;;;;;;;;4817.8;;
ELM;01.01.1934 00:00;6.9;;;;;;;;;;;;;;;;;1313.8;;;;;;;;;4124.9;;
ELM;01.01.1935 00:00;5.9;;;;;;;;;;;;;;;;;2101.4;;;;;;;;;4724.6;;
ELM;01.01.1936 00:00;6.3;;;;;;;;;;;;;;;;;1516.2;;;;;;;;;4545.2;;
ELM;01.01.1937 00:00;6.7;;;;;;;;;;;;;;;;;1687.3;;;;;;;;;4374.5;;
ELM;01.01.1938 00:00;6.2;;;;;;;;;;;;;;;;;1344;;;;;;;;;4639.8;;
ELM;01.01.1939 00:00;6;;;;;;;;;;;;;;;;;1889.6;;;;;;;;;4683.6;;
ELM;01.01.1940 00:00;5;;;;;;;;;;;;;;;;;1902.6;;;;;;;;;5014;;
ELM;01.01.1941 00:00;5.4;;;;;;;;;;;;;;;;;1380.2;;;;;;;;;5006;;
ELM;01.01.1942 00:00;6.1;;;;;;;;;;;;;;;;;1288.7;;;;;;;;;4502.4;;
ELM;01.01.1943 00:00;7.1;;;;;;;;;;;;;;;;;1319.8;;;;;;;;;4170.5;;
ELM;01.01.1944 00:00;5.7;;;;;;;;;;;;;;;;;1509.2;;;;;;;;;4795.5;;
ELM;01.01.1945 00:00;6.6;;;;;;;;;;;;;;;;;1763.6;;;;;;;;;4392.5;;
ELM;01.01.1946 00:00;6.5;;;;;;;;;;;;;;;;;1375.6;;;;;;;;;4418.1;;
ELM;01.01.1947 00:00;7.5;;;;;;;;;;;;;;;;;1439.6;;;;;;;;;4119.5;;
ELM;01.01.1948 00:00;6.8;;;;;;;;;;;;;;;;;1547.9;;;;;;;;;4431;;
ELM;01.01.1949 00:00;6.6;;;;;;;;;;;;;;;;;1315.4;;;;;;;;;4306.4;;
ELM;01.01.1950 00:00;6.5;;;;;;;;;;;;;;;;;1644;;;;;;;;;4513.7;;
ELM;01.01.1951 00:00;6.6;;;;;;;;;;;;;;;;;1584.4;;;;;;;;;4466.6;;
ELM;01.01.1952 00:00;6.1;;;;;;;;;;;;;;;;;1899.9;;;;;;;;;4663;;
ELM;01.01.1953 00:00;6.2;;;;;;;;;;;;;;;;;1330.3;;;;;;;;;4545.1;;
ELM;01.01.1954 00:00;5.5;;;;;;;;;;;;;;;;;2031.6;;;;;;;;;4909.5;;
ELM;01.01.1955 00:00;5.8;;;;;;;;;;;;;;;;;1568.9;;;;;;;;;4673.4;;
ELM;01.01.1956 00:00;4.6;;;;;;;;;;;;;;;;;1713.1;;;;;;;;;5226.3;;
ELM;01.01.1957 00:00;6.4;;;;;;;;;;;;;;;;;1481;;;;;;;;;4644.9;;
ELM;01.01.1958 00:00;6.1;;;;;;;;;;;;;;;;;1961.9;;;;;;;;;4653.2;;
ELM;01.01.1959 00:00;6.9;;;;;;76.9;8.4;907.4;;;;;;;;;1389.8;;;;;;;;;4258.1;;
ELM;01.01.1960 00:00;6.4;;;;;;80.2;8.4;905.1;;;;;;;;;1794.7;;;;;;;;;4503.8;;
ELM;01.01.1961 00:00;7;;;;;;79.4;8.7;908.1;;;;;;;;;1524.3;;;;;;;;;4274.2;;
ELM;01.01.1962 00:00;5.1;;;;;;75.4;7.5;907.3;;;;;;;;;1650.6;;;;;;;;;5019.3;;
ELM;01.01.1963 00:00;5.3;;;;;;74.4;7.6;;;;;;;;;;1438.9;;;;;;;;;4891.9;;
ELM;01.01.1964 00:00;6.4;;;;;;74.6;7.8;;;;;;2.7;;;9.7;1627.4;;;;;;;;;4546.7;;
ELM;01.01.1965 00:00;5.5;;;;;;75.6;7.5;;;;;;2.7;;;9.7;2026.6;;;;;;;;;4955.3;;
