station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
ENG;01.01.1864 00:00;4.6;;;;;;;;897.9;;;;;;;;;1570.5;;;;;;;;;5219.6;;
ENG;01.01.1865 00:00;6;;;;;;;;898.8;;;;;;;;;1361.3;;;;;;;;;4526.5;;
ENG;01.01.1866 00:00;6.3;;;;;;;;898.5;;;;;;;;;1852;;;;;;;;;4531.8;;
ENG;01.01.1867 00:00;5.9;;;;;;;;898.9;;;;;;;;;1927.3;;;;;;;;;4681;;
ENG;01.01.1868 00:00;6.5;;;;;;;;899.7;;;;;;;;;1810.1;;;;;;;;;4452.1;;
ENG;01.01.1869 00:00;5.9;;;;;;;;899.1;;;;;;;;;1684.4;;;;;;;;;4747.2;;
ENG;01.01.1870 00:00;5;;;;;;;;;;;;;;;;;1504.5;;;;;;;;;5025.3;;
ENG;01.01.1871 00:00;4.5;;;;;;;;;;;;;;;;;1469.4;;;;;;;;;5235.5;;
ENG;01.01.1872 00:00;6.7;;;;;;;;;;;;;;;;;1951.1;;;;;;;;;4396.8;;
ENG;01.01.1873 00:00;6;;;;;;;;;;;;;;;;;1606.2;;;;;;;;;4658.7;;
ENG;01.01.1874 00:00;5.5;;;;;;;;;;;;;;;;;1699.3;;;;;;;;;4834.7;;
ENG;01.01.1875 00:00;5.5;;;;;;;;;;;;;;;;;1805.4;;;;;;;;;4700.8;;
ENG;01.01.1876 00:00;6.1;;;;;;;;;;;;;;;;;1591.4;;;;;;;;;4648.2;;
ENG;01.01.1877 00:00;6.1;;;;;;;;;;;;;;;;;1962.1;;;;;;;;;4666.3;;
ENG;01.01.1878 00:00;5.4;;;;;;;;;;;;;;;;;2140.1;;;;;;;;;4747.7;;
ENG;01.01.1879 00:00;4.8;;;;;;;;;;;;;;;;;1773.8;;;;;;;;;5138.9;;
ENG;01.01.1880 00:00;6.2;;;;;;;;;;;;;;;;;1774;;;;;;;;;4566.6;;
ENG;01.01.1881 00:00;5.8;;;;;;;;;;;;;;;;;1870.6;;;;;;;;;4844;;
