station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
EVI;01.01.1994 00:00;11.3;32.1;-5.3;;;;70.9;10;;;;;;4;31.5;113.4;14.4;;;;;;;;;;;1170;
EVI;01.01.1995 00:00;10.3;32.1;-9.8;;;;70.1;9.4;;;;;;4.1;27.6;99.4;;;;;;;;;;;;;
EVI;01.01.1996 00:00;10;29.4;-7.2;;;;70.8;9.1;;;;;;4.1;32.1;115.6;14.8;;;;;;;;;;;1424.7;
EVI;01.01.1997 00:00;10.8;31.3;-5.8;;;;70.7;9.7;;;;;;3.6;35;126;;;;;;;;;;;;1255.2;
EVI;01.01.1998 00:00;10.6;34.3;-7.3;;;;67.2;;;;;;;3.8;30.2;108.7;13.7;;;;;;;;;;;;
EVI;01.01.1999 00:00;10.5;30.1;-12;;;;;;;;;;;4.1;38.6;139;14.8;;;;;;;;;;;1434.4;
EVI;01.01.2000 00:00;11.3;44.7;-15.5;;;;;;;;;;;4.1;34.2;123.1;14.8;;;;;;;;;;;;
EVI;01.01.2001 00:00;10.6;31.2;-9.6;;;;;;;;;;;3.8;29.6;106.6;13.7;;;;;;;;;;;1366.8;
EVI;01.01.2002 00:00;11.2;32.5;-7.7;;;;71.2;;;;;;;3.8;28.2;101.5;13.7;;;;;;;;;;;1119.8;
EVI;01.01.2003 00:00;12.4;37.3;-9.1;;;;62.4;;;;;;;3.9;31.3;112.7;14;;;;;;;;;;;1263.5;
EVI;01.01.2004 00:00;10.6;33.7;-7.1;;;;69.6;9.2;;;;;;3.7;31.7;114.1;13.3;;;;;;;;;;;1441.4;
EVI;01.01.2005 00:00;10;33.6;-12.4;;;;69.6;9.3;;;;;;3.6;28.3;101.9;13;;;;;;;;;;;1619.6;
EVI;01.01.2006 00:00;;;;;;;;;;;;;;3.7;27.1;97.6;13.3;;;;;;;;;;;;
EVI;01.01.2007 00:00;;;;;;;;;;;;;;3.5;35.5;127.8;12.6;;;;;;;;;;;;
EVI;01.01.2008 00:00;10.7;30.4;-7;;;;71;9.6;;;;;;3.7;28.7;103.3;13.3;;;;;;;;;;;1320.1;
EVI;01.01.2009 00:00;11.2;33.9;-9.9;;;;68;9.6;;;;;;3.9;31.7;114.1;14;;;;;;;;;;;1366.7;
EVI;01.01.2010 00:00;;33.3;-8.6;;;;;;;;;;;;34.7;124.9;;;;;;;;;;;;;
EVI;01.01.2011 00:00;11.7;32.7;-7.5;;;;66.7;9.7;;;;;;3.4;27.3;98.3;12.2;;;;;;;;;;;1137.1;
EVI;01.01.2012 00:00;11.1;34.1;-12.9;;;;68.1;9.6;;;;;;3.8;44.2;159.1;13.7;;;;;;;;;;;1359.8;
EVI;01.01.2014 00:00;11.7;32.9;-8.6;;;;73.4;10.4;959.1;1015.8;;;1015.9;4;31;111.6;14.4;1055.5;140;;;;85335;53;940.2;114;2404.5;980.5;637.3
EVI;01.01.2015 00:00;11.6;36.2;-6.3;;;;69.7;9.9;962.7;1019.6;;;1019.7;3.7;26.4;95;13.3;838.2;146;;;;95859;59;995.8;311.2;2683.1;1179.1;
EVI;01.01.2016 00:00;11.1;31.5;-5.9;;;;72.4;10;961.1;1018;;;1018;3.9;29.8;107.3;14;964.3;143;;;;88614;55;937.3;206.7;2892.5;1292.5;496.2
EVI;01.01.2017 00:00;11.2;32.7;-10.5;;;;70.5;9.9;962.1;1019.1;;;1019.1;3.8;32.5;117;13.7;864.6;147;;;;94045;58;984.9;300.6;2869.5;1341.5;339
EVI;01.01.2018 00:00;12.5;34.3;-10.2;;;;67.3;10.1;959.5;1016;;;1016.3;4.1;34;122.4;14.8;748.1;151;;;;96183;60;;;;;
EVI;01.01.2019 00:00;11.8;36;-4.1;;;;69.1;9.9;960.2;1016.9;;;1017.1;4;31.5;113.4;14.4;1008;148;;;;95243;59;1029.7;287.5;2661.8;1149.8;451.1
EVI;01.01.2020 00:00;11.9;34.1;-2.8;;;;69.9;10.1;961.3;1018.1;;;1018.2;3.8;33.5;120.6;13.7;855.9;147;;;;96857;60;998;238;2608;1080;320.4
EVI;01.01.2021 00:00;10.6;30.6;-7.3;;;;73.2;9.8;961;1018.1;;;1018;3.6;28.1;101.2;13;953.2;146;;;;93118;58;906.5;144.9;3089.9;1401.9;490.3
EVI;01.01.2022 00:00;12.3;34.8;-5.8;;;;68.5;10.1;962.1;1018.9;;;1019.1;3.8;24.9;89.6;13.7;719.3;152;;;;103587;64;1052.1;362.1;2522;1130;108.8
EVI;01.01.2023 00:00;12.3;36.2;-8.8;;;;71;10.5;960.6;1017.2;;;1017.5;3.8;24.2;87.1;13.7;1013.8;142;;;;91230;56;993.9;374.6;2675.4;1163.4;508.7
EVI;01.01.2024 00:00;12.1;32.4;-3.9;;;;73.2;10.8;960.5;1017.1;;;1017.3;3.9;29.4;105.8;14;946.3;136;;;;82517;51;943.9;279.2;2523.5;1035.5;534
