station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
GEN;01.01.1994 00:00;;;;;;;;;838.6;;;;;3.2;40.2;144.7;;;;;;;;;;;;;
GEN;01.01.1995 00:00;;21;-11.9;;;;;;;;;;;;44.2;159.1;;;;;;;;;;;;;
GEN;01.01.1996 00:00;;21.1;-16.7;;;;;;;;;;;;33.6;121;;;;;;;;;;;;;
GEN;01.01.1997 00:00;6;19.8;-8.6;;;;68.5;7;838.8;;;;;3;39.2;141.1;;;;;;;;;;;;;
GEN;01.01.1998 00:00;;24.9;-12;;;;;;;;;;;;40.2;144.7;;;;;;;;;;;;;
GEN;01.01.2000 00:00;5.9;22.1;-14.4;;;;;;838.2;;;;;3.3;44.2;159.1;;;;;;;;;;;;2352.2;
GEN;01.01.2001 00:00;5.5;21.7;-12.3;;;;;;837.4;;;;;3.2;45.2;162.7;11.5;;;;;;;;;;;2565.7;
GEN;01.01.2002 00:00;5.9;22.2;-9.8;;;;72.2;7.3;837.8;;;;;3;34.3;123.5;10.8;;;;;;;;;;;2352.1;
GEN;01.01.2003 00:00;;25;-11.8;;;;;;;;;;;;37.2;133.9;;;;;;;;;;;;;
GEN;01.01.2004 00:00;5.4;22.1;-9.8;;;;69.9;6.4;837.6;;1497.7;;;3;41;147.6;10.8;1256.8;;;;;;;;;;2568.8;
GEN;01.01.2005 00:00;4.8;21.9;-16.2;;;;69.1;6.8;838.2;;1505;;;2.9;36.2;130.3;10.4;;;;;;;;;;;2766.6;
GEN;01.01.2012 00:00;;23.1;-14.8;;;;;;;;;;;;39.5;142.2;;;;;;;;;;;;;
GEN;01.01.2013 00:00;;22.9;-11.4;;;;;;837.3;;;;1015.9;3.8;31.8;114.5;13.7;;140;;;;;;;;;;
GEN;01.01.2014 00:00;6.3;23;-9.4;;;;;;837.9;;1483.8;;1016.5;3.8;32.9;118.4;13.7;;134;;;;;;;;;;
GEN;01.01.2015 00:00;7.1;24.3;-8.3;;;;71.8;8;840.7;;1511.3;;1019.8;3.7;36.5;131.4;13.3;1506.4;150;;;;;;736.9;32.1;4345.1;2113.1;
GEN;01.01.2016 00:00;;24.4;-10.6;;;;;;839.2;;;;1018;;36.3;130.7;;;140;;;;;;;;;;
GEN;01.01.2017 00:00;;24.9;-10.6;;;;;;;;;;;;30.7;110.5;;;;;;;;;;;;;
GEN;01.01.2018 00:00;6.6;23.4;-18.8;;;;;;838.6;;1490.7;;1017.3;3.5;36.1;130;12.6;1574.4;142;;;;;;;6.2;4307.8;2267.8;
GEN;01.01.2019 00:00;;29;-8.7;;;;;;838.6;;;;1017.3;3.9;35.9;129.2;14;1701.1;146;;;;;;;;;;
GEN;01.01.2020 00:00;6.7;25;-9.2;;;;;;839.9;;1503.4;;1018.9;3.3;35.3;127.1;11.9;1630.8;149;;;;;;;8.4;4454.4;2206.4;
GEN;01.01.2021 00:00;5.9;22.6;-12.2;;;;73.7;7.5;839;;1495.2;;1017.8;3.6;29.1;104.8;13;1667;150;;;;;;684.4;7;4616.2;2448.2;
GEN;01.01.2022 00:00;7.4;24.8;-9.4;;;;71;8;840.8;;;;1020;3.3;36.3;130.7;11.9;981.2;167;;;;;;;;;;
GEN;01.01.2023 00:00;7.2;25;-11.8;;;;73;8.2;839.2;;;;;3.6;33.8;121.7;13;1617.7;153;;;;125847;51;;22.4;4176.8;2096.8;1132
GEN;01.01.2024 00:00;7.5;23.6;-8.6;;;;74.1;8.5;839.4;;1497.8;;1018.2;3.7;34;122.4;13.3;2336.6;134;;;;107369;44;679.4;16.5;4233.8;2041.8;1952.8
