station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
GES;01.01.1999 00:00;;;;;;;;;;;;;;;;;;2214.5;;;;;;;;;;;
GES;01.01.2000 00:00;;;;;;;;;;;;;;;;;;1800;;;;;;;;;;;
GES;01.01.2001 00:00;;;;;;;;;;;;;;;;;;2242.1;;;;;;;;;;;
GES;01.01.2002 00:00;;;;;;;;;;;;;;;;;;2071.7;;;;;;;;;;;
GES;01.01.2003 00:00;;;;;;;;;;;;;;;;;;1368.3;;;;;;;;;;;
GES;01.01.2004 00:00;;;;;;;;;;;;;;;;;;1555.6;;;;;;;;;;;
GES;01.01.2005 00:00;;;;;;;;;;;;;;;;;;1763.5;;;;;;;;;;;
GES;01.01.2006 00:00;;;;;;;;;;;;;;;;;;1672.7;;;;;;;;;;;
GES;01.01.2007 00:00;;;;;;;;;;;;;;;;;;2011.3;;;;;;;;;;;
GES;01.01.2008 00:00;;;;;;;;;;;;;;;;;;1798;;;;;;;;;;;
GES;01.01.2009 00:00;;;;;;;;;;;;;;;;;;1669.6;;;;;;;;;;;
GES;01.01.2010 00:00;;;;;;;;;;;;;;;;;;1992;;;;;;;;;;;
GES;01.01.2011 00:00;;;;;;;;;;;;;;;;;;1595.9;;;;;;;;;;;
GES;01.01.2012 00:00;;;;;;;;;;;;;;;;;;1872.9;;;;;;;;;;;
GES;01.01.2013 00:00;;;;;;;;;;;;;;;;;;1851;;;;;;;;;;;
GES;01.01.2014 00:00;;;;;;;;;;;;;;;;;;1863.3;;;;;;;;;;;
GES;01.01.2015 00:00;;;;;;;;;;;;;;;;;;1520.6;;;;;;;;;;;
GES;01.01.2016 00:00;10.4;30.4;-8.4;;;;79.6;10.6;;;;;;1.5;33.3;119.9;5.4;1831.8;;;;;;;;140;3102.6;1398.6;
GES;01.01.2017 00:00;10.4;32.3;-8.4;;;;77.3;10.4;;;;;;1.5;30.7;110.5;5.4;1850.9;;;;;;;;199.3;3080.1;1440.1;
GES;01.01.2018 00:00;11.2;32.9;-11.2;;;;76.6;10.7;;;;;;1.7;28.7;103.3;6.1;1286.8;;;;;;;;193.5;2819.3;1315.3;
GES;01.01.2019 00:00;11;33.1;-4.3;;;;74.7;10.3;;;;;;1.6;35.4;127.4;5.8;1623.8;;;;;;;;198.4;2870.4;1254.4;
GES;01.01.2020 00:00;11.2;31.4;-4.6;;;;76.8;10.7;;;;;;1.5;35.5;127.8;5.4;1699.3;;;;;;;;154.3;2795.1;1187.1;
GES;01.01.2021 00:00;9.9;29.2;-6.7;;;;78.6;10.2;;;;;;1.5;27.4;98.6;5.4;1870.6;;;;;;;;93.3;3285.7;1493.7;
GES;01.01.2022 00:00;11.7;32.6;-6.5;;;;74.7;10.9;;;;;;1.5;23.9;86;5.4;1392.2;;;;;;;;231.1;2665.5;1145.5;
GES;01.01.2023 00:00;11.6;33.6;-6.2;;;;75.3;10.9;;;;;;1.5;25;90;5.4;1808.4;;;;;;;;248.5;2796.1;1188.1;
GES;01.01.2024 00:00;11.4;31;-6.3;;;;80.3;11.2;956.3;1017.5;;;1017.6;1.5;32.7;117.7;5.4;1912.9;;;;;;;;209.6;2730.8;1170.8;
