station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
GLA;01.01.1864 00:00;7.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLA;01.01.1865 00:00;8.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLA;01.01.1866 00:00;8.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLA;01.01.1867 00:00;8.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLA;01.01.1868 00:00;9.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLA;01.01.1869 00:00;8.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLA;01.01.1870 00:00;7.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLA;01.01.1871 00:00;6.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLA;01.01.1872 00:00;9.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLA;01.01.1873 00:00;8.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLA;01.01.1874 00:00;7.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLA;01.01.1875 00:00;7.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLA;01.01.1876 00:00;8.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLA;01.01.1877 00:00;8.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLA;01.01.1878 00:00;7.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLA;01.01.1879 00:00;6.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLA;01.01.1880 00:00;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLA;01.01.1881 00:00;7.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLA;01.01.1882 00:00;7.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLA;01.01.1883 00:00;7.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLA;01.01.1884 00:00;7.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLA;01.01.1885 00:00;7.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLA;01.01.1886 00:00;7.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLA;01.01.1887 00:00;6.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLA;01.01.1888 00:00;6.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLA;01.01.1889 00:00;6.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLA;01.01.1890 00:00;6.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLA;01.01.1891 00:00;6.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLA;01.01.1892 00:00;8.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLA;01.01.1893 00:00;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLA;01.01.1894 00:00;8.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLA;01.01.1895 00:00;7.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLA;01.01.1896 00:00;6.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLA;01.01.1897 00:00;8.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
