station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
GOE;01.01.1982 00:00;;;;;;;;;;;;;;1.6;26.3;94.7;;;;;;;74464;;;;;;
GOE;01.01.1983 00:00;;;;;;;;;;;;;;1.8;23.1;83.2;;;;;;;83027;;;;;;
GOE;01.01.1984 00:00;;;;;;;;;;;;;;1.7;28;100.8;;;;;;;79392;;;;;;
GOE;01.01.1985 00:00;;;;;;;;;;;;;;1.6;22.8;82.1;;;;;;;90137;;;;;;
GOE;01.01.1986 00:00;;;;;;;;;;;;;;1.7;26.3;94.7;6.1;;;;;;79445;;;;;;
GOE;01.01.1987 00:00;;;;;;;;;;;;;;1.6;27.6;99.4;5.8;;;;;;;;;;;;
GOE;01.01.1988 00:00;;;;;;;;;;;;;;1.7;;;6.1;;;;;;;;;;;;
GOE;01.01.1989 00:00;9.6;32.2;-7.5;;;;;;;;;;;1.5;22.2;79.9;5.4;813;;;;;;;;;;1539.5;
GOE;01.01.1990 00:00;9.9;33;-6.4;;;;;;;;;;;1.7;28.7;103.3;6.1;988.5;;;;;;;;;;1458.7;
GOE;01.01.1991 00:00;9.2;32.5;-13.9;;;;;;;;;;;1.6;29;104.4;5.8;788.8;;;;;;;;;;1758.2;
GOE;01.01.1992 00:00;9.9;;;;;;;;;;;;;1.7;23.8;85.7;6.1;995.2;;;;;;;;;;1582.2;
GOE;01.01.1993 00:00;9.4;31.7;-11;;;;;;;;;;;1.7;23.9;86;6.1;1062.5;;;;;;;;;;1579;
GOE;01.01.1994 00:00;10.8;33.3;-6.7;;;;;;;;;;;1.6;27.5;99;5.8;1134.3;;;;;;;;;;1240.3;
GOE;01.01.1995 00:00;9.7;;;;;;;;;;;;;1.7;26.7;96.1;6.1;1159.3;;;;;;;;;;;
GOE;01.01.1996 00:00;8.7;30.4;-12.2;;;;;;;;;;;1.6;21.1;76;5.8;848.2;;;;;;;;;;1778.6;
GOE;01.01.1997 00:00;9.7;29.9;-9;;;;;;;;;;;1.5;25;90;5.4;799.3;;;;;;;;;;1529.6;
GOE;01.01.1998 00:00;9.6;34.8;-9;;;;;;;;;;;1.6;27;97.2;5.8;1032.6;;;;;;;;;;1585.1;
GOE;01.01.1999 00:00;9.7;31.6;-12.3;;;;;;;;;;;1.7;31.6;113.8;6.1;1276;;;;;;;;;;1580.1;
GOE;01.01.2000 00:00;10.4;31.8;-11.7;;;;;;;;;;;1.4;22.7;81.7;5;885.2;;;;;;;;;;1317.6;
GOE;01.01.2001 00:00;9.9;;;;;;;;;;;;;1.7;25.2;90.7;6.1;1267.8;;;;;;;;;;1468.9;
GOE;01.01.2002 00:00;10.4;34;-9;;;;;;;;;;;1.6;28.7;103.3;5.8;1094.2;;;;;;;;;;1294.8;
GOE;01.01.2003 00:00;10.4;36.4;-11.2;;;;;;;;;;;1.5;27.2;97.9;5.4;734.2;;;;;;;;;;1693.6;
GOE;01.01.2004 00:00;9.7;30.9;-9.3;;;;;;;;;;;1.6;26;93.6;5.8;983.5;;;;;;;;;;1538;
GOE;01.01.2005 00:00;9.5;34.3;-15.7;;;;;;;;;;;1.5;21.5;77.4;5.4;838.2;;;;;;;;;;1676;
GOE;01.01.2006 00:00;10.1;34.4;-8.6;;;;;;;;;;;1.5;21.6;77.8;5.4;1174.9;;;;;;;;;;1556.2;
GOE;01.01.2007 00:00;;;;;;;;;;;;;;1.7;24.6;88.6;6.1;1160.1;;;;;;;;;;;
GOE;01.01.2008 00:00;9.9;32.2;-8.1;;;;;;;;;;;1.7;25.4;91.4;6.1;1095.4;;;;;;;;;;1537.8;
GOE;01.01.2009 00:00;10.1;33.9;-13.8;10.6;41;-14.8;78.1;10.3;971;1016.3;;;1016;1.6;28.7;103.3;5.8;911.6;138;;;;91742;38;720.7;137.2;3111.7;1567.7;516.8
GOE;01.01.2010 00:00;9.1;34.9;-12.3;9.3;40.7;-17.3;78.1;9.7;969.3;1014.8;;;1014.4;1.7;24.6;88.6;6.1;923;131;;;;82780;34;673.3;139.3;3550.8;1782.8;574.9
GOE;01.01.2011 00:00;10.5;34.2;-7.8;;;;77.7;10.3;973.8;1019.3;;;1019.1;1.6;27.3;98.3;5.8;877.4;147;;;;106521;44;742;107.5;2889.3;1361.3;455
GOE;01.01.2012 00:00;9.9;33.9;-16.5;10;38.8;-18.5;78.5;10.3;972.6;1018.2;;;1017.9;1.7;26.2;94.3;6.1;1099;140;;;;95903;39;710;128.4;3234;1570;
GOE;01.01.2013 00:00;9.5;36.5;-13.1;;;;78.6;10;971.5;;;;;1.6;22.1;79.6;5.8;1045;133;;;;85145;35;687.1;175.1;3366.7;1702.7;
GOE;01.01.2014 00:00;10.8;33.8;-13.2;11;40.2;-18.4;79.9;10.6;971;1016.3;;;1016.1;1.5;28.7;103.3;5.4;898.6;139;;;;90616;37;698.8;72.3;2777.6;1201.6;545.4
GOE;01.01.2015 00:00;10.7;36.9;-8.7;;;;76.2;10.1;974.7;1020.2;;;1020.1;1.7;28.6;103;6.1;784.3;148;;;;106503;44;768.6;256.3;3039.9;1383.9;304.8
GOE;01.01.2016 00:00;10.2;32.9;-10.8;10.1;38.2;-14;79.9;10.5;973;1018.5;;;1018.2;1.6;27.3;98.3;5.8;1149.3;136;;;;89219;37;690.9;162;3253.6;1509.6;
GOE;01.01.2017 00:00;10.3;33.7;-12.8;10.4;39.3;-14.5;77.4;10.3;973.9;1019.5;;;1019.2;1.8;25.2;90.7;6.5;1007.7;147;;;;101346;42;763.2;215.8;3259.2;1491.2;594.4
GOE;01.01.2018 00:00;11.4;35.5;-12.6;11.5;42.3;-15.7;75.1;10.6;971.5;1016.7;;;1016.7;1.9;36.4;131;6.8;780.9;149;;;;104516;43;829.7;271.4;2842.4;1322.4;282.8
GOE;01.01.2019 00:00;10.8;37;-6;;;;76.1;10.2;971.9;;;;;1.8;24.3;87.5;6.5;865.6;149;;;;105517;43;774.6;220.4;2983.2;1359.2;
GOE;01.01.2020 00:00;11.1;36.3;-4.8;11.2;40.9;-9.7;75;10.2;973;1018.4;;;1018.2;1.9;29.3;105.5;6.8;949.6;153;;;;112508;46;801.4;178;2844.1;1252.1;432.7
GOE;01.01.2021 00:00;9.8;32;-11.8;9.8;;;77.6;10;972.9;1018.5;;;1018.1;1.8;24.2;87.1;6.5;1191.4;145;;;;95046;39;724.4;100.6;3336.1;1544.1;816.6
GOE;01.01.2022 00:00;11.7;37.4;-7.4;11.8;42.7;-10.8;74.1;10.6;973.9;1019.2;;;1019.2;1.8;28;100.8;6.5;846.7;163;;;;121228;50;846.7;280;2738.6;1202.6;291.7
GOE;01.01.2023 00:00;11.6;35.9;-8.5;11.6;41.8;-10.1;75.9;10.8;972.1;1017.3;;;1017.3;2;29.1;104.8;7.2;1068.9;144;;;;102782;42;790.2;255;2777;1225;
GOE;01.01.2024 00:00;11.2;33.1;-9.2;11.4;39.6;-14.5;80.4;11.3;972.3;1017.6;;;1017.5;1.8;24.3;87.5;6.5;1106.7;127;;;;78651;32;689.3;201.6;2783.9;1207.9;811.9
