station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
GRC;01.01.1864 00:00;3.8;;;;;;;;;;;;;;;;;486.2;;;;;;;;;5618.1;;
GRC;01.01.1865 00:00;4.5;;;;;;;;;;;;;;;;;493.2;;;;;;;;;5229.9;;
GRC;01.01.1866 00:00;4.7;;;;;;;;;;;;;;;;;561.3;;;;;;;;;5306.5;;
GRC;01.01.1867 00:00;4.2;;;;;;;;;;;;;;;;;457.1;;;;;;;;;5381.2;;
GRC;01.01.1868 00:00;4.7;;;;;;;;;;;;;;;;;686.3;;;;;;;;;5216.6;;
GRC;01.01.1869 00:00;4.2;;;;;;;;;;;;;;;;;440.9;;;;;;;;;;;
GRC;01.01.1870 00:00;3.8;;;;;;;;;;;;;;;;;480.2;;;;;;;;;5597.5;;
GRC;01.01.1871 00:00;3.6;;;;;;;;;;;;;;;;;345.1;;;;;;;;;5651.7;;
GRC;01.01.1872 00:00;4.7;;;;;;;;;;;;;;;;;571.8;;;;;;;;;5289;;
GRC;01.01.1873 00:00;4.7;;;;;;;;;;;;;;;;;386.7;;;;;;;;;5267.8;;
GRC;01.01.1874 00:00;4.1;;;;;;;;;;;;;;;;;407.8;;;;;;;;;5465.8;;
GRC;01.01.1875 00:00;4;;;;;;;;;;;;;;;;;504.4;;;;;;;;;5370.2;;
GRC;01.01.1876 00:00;4.6;;;;;;;;;;;;;;;;;607.2;;;;;;;;;5297.6;;
GRC;01.01.1877 00:00;4.2;;;;;;;;;;;;;;;;;381.9;;;;;;;;;5413;;
GRC;01.01.1878 00:00;3.5;;;;;;;;;;;;;;;;;593.1;;;;;;;;;5714.3;;
GRC;01.01.1879 00:00;3.2;;;;;;;;;;;;;;;;;571.5;;;;;;;;;5856.4;;
GRC;01.01.1880 00:00;4.9;;;;;;;;;;;;;;;;;463.3;;;;;;;;;5249.2;;
GRC;01.01.1881 00:00;4.5;;;;;;;;;;;;;;;;;436;;;;;;;;;5387.1;;
GRC;01.01.1882 00:00;4.3;;;;;;;;;;;;;;;;;694.8;;;;;;;;;5428.3;;
GRC;01.01.1883 00:00;3.7;;;;;;;;;;;;;;;;;318.5;;;;;;;;;5710.6;;
GRC;01.01.1884 00:00;4.5;;;;;;;;;;;;;;;;;303.8;;;;;;;;;5342.9;;
GRC;01.01.1885 00:00;4.5;;;;;;;;;;;;;;;;;503.3;;;;;;;;;5292.2;;
GRC;01.01.1886 00:00;4;;;;;;;;;;;;;;;;;374.6;;;;;;;;;5443;;
GRC;01.01.1887 00:00;3.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1888 00:00;3.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1889 00:00;3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1890 00:00;3.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;01.01.1891 00:00;3.7;;;;;;;;;;;;;;;;;;;;;;;;;;5659.1;;
GRC;01.01.1892 00:00;4.3;;;;;;;;;;;;;;;;;395.3;;;;;;;;;5305.7;;
GRC;01.01.1893 00:00;4.9;;;;;;;;;;;;;;;;;374.9;;;;;;;;;5199.9;;
GRC;01.01.1894 00:00;4.7;;;;;;;;;;;;;;;;;300;;;;;;;;;5272.4;;
GRC;01.01.1895 00:00;4;;;;;;;;;;;;;;;;;519.7;;;;;;;;;5463.2;;
GRC;01.01.1896 00:00;3.7;;;;;;;;;;;;;;;;;781.3;;;;;;;;;5707.8;;
GRC;01.01.1897 00:00;5;;;;;;;;;;;;;;;;;553.8;;;;;;;;;5068.5;;
GRC;01.01.1898 00:00;5.3;;;;;;;;;;;;;;;;;594.7;;;;;;;;;5019.7;;
GRC;01.01.1899 00:00;5.3;;;;;;;;;;;;;;;;;405.5;;;;;;;;;;;
GRC;01.01.1900 00:00;4.6;;;;;;;;;;;;;;;;;585.6;;;;;;;;;5257;;
GRC;01.01.1901 00:00;3.5;;;;;;;;;;;;;;;;;475.3;;;;;;;;;5614.7;;
GRC;01.01.1902 00:00;4.2;;;;;;;;;;;;;;;;;456.3;;;;;;;;;5513.3;;
GRC;01.01.1903 00:00;4.3;;;;;;;;;;;;;;;;;448.1;;;;;;;;;5396.3;;
GRC;01.01.1904 00:00;4.8;;;;;;;;;;;;;;;;;556.4;;;;;;;;;5170.4;;
GRC;01.01.1905 00:00;3.7;;;;;;;;;;;;;;;;;666.7;;;;;;;;;;;
GRC;01.01.1906 00:00;4.5;;;;;;;;;;;;;;;;;423.1;;;;;;;;;5282.1;;
GRC;01.01.1907 00:00;4.4;;;;;;;;;;;;;;;;;579.4;;;;;;;;;5313.6;;
GRC;01.01.1908 00:00;4.4;;;;;;;;;;;;;;;;;436.1;;;;;;;;;5280.7;;
GRC;01.01.1909 00:00;3.4;;;;;;;;;;;;;;;;;415.6;;;;;;;;;5785.9;;
GRC;01.01.1910 00:00;3.5;;;;;;;;;;;;;;;;;569.1;;;;;;;;;5756.9;;
GRC;01.01.1911 00:00;5;;;;;;;;;;;;;;;;;383.2;;;;;;;;;;;
GRC;01.01.1912 00:00;4.1;;;;;;;;;;;;;;;;;456.3;;;;;;;;;5596.6;;
GRC;01.01.1913 00:00;4.9;;;;;;;;;;;;;;;;;415.9;;;;;;;;;5153.3;;
GRC;01.01.1914 00:00;4.5;;;;;;;;;;;;;;;;;807.9;;;;;;;;;5385.3;;
GRC;01.01.1915 00:00;4.3;;;;;;;;;;;;;;;;;479.2;;;;;;;;;5342.8;;
GRC;01.01.1916 00:00;4.7;;;;;;;;;;;;;;;;;697.6;;;;;;;;;5282.4;;
GRC;01.01.1917 00:00;3.7;;;;;;;;;;;;;;;;;557.5;;;;;;;;;5448;;
GRC;01.01.1918 00:00;4.9;;;;;;;;;;;;;;;;;466.6;;;;;;;;;;;
GRC;01.01.1919 00:00;3.7;;;;;;;;;;;;;;;;;575.8;;;;;;;;;5624.1;;
GRC;01.01.1920 00:00;5.5;;;;;;;;;;;;;;;;;748.3;;;;;;;;;4906.2;;
GRC;01.01.1921 00:00;6.5;;;;;;;;;;;;;;;;;290.4;;;;;;;;;4352.4;;
GRC;01.01.1922 00:00;4.6;;;;;;;;;;;;;;;;;781.3;;;;;;;;;5214.8;;
GRC;01.01.1923 00:00;5.2;;;;;;;;;;;;;;;;;382.5;;;;;;;;;5075.4;;
GRC;01.01.1924 00:00;5.3;;;;;;;;;;;;;;;;;382.5;;;;;;;;;5080.3;;
GRC;01.01.1925 00:00;5;;;;;;;;;;;;;;;;;296.5;;;;;;;;;5092.5;;
GRC;01.01.1926 00:00;5.3;;;;;;;;;;;;;;;;;443.5;;;;;;;;;4993;;
GRC;01.01.1927 00:00;5.3;;;;;;;;;;;;;;;;;537.4;;;;;;;;;4970.7;;
GRC;01.01.1928 00:00;5.4;;;;;;;;;;;;;;;;;688.1;;;;;;;;;;;
GRC;01.01.1929 00:00;4.9;;;;;;;;;;;;;;;;;293.2;;;;;;;;;5069.7;;
GRC;01.01.1930 00:00;5.1;;;;;;;;;;;;;;;;;604.9;;;;;;;;;4984.6;;
GRC;01.01.1931 00:00;4;;;;;;;;;;;;;;;;;499.8;;;;;;;;;5542.8;;
GRC;01.01.1932 00:00;4.7;;;;;;;;;;;;;;;;;488.1;;;;;;;;;;;
GRC;01.01.1933 00:00;4.4;;;;;;;;;;;;;;;;;478.7;;;;;;;;;5380.6;;
GRC;01.01.1934 00:00;5.3;;;;;;;;;;;;;;;;;733.8;;;;;;;;;4995.8;;
GRC;01.01.1935 00:00;4;;;;;;;;;;;;;;;;;692;;;;;;;;;5477.1;;
GRC;01.01.1936 00:00;4.2;;;;;;;;;;;;;;;;;648.7;;;;;;;;;5448.9;;
GRC;01.01.1937 00:00;4.8;;;;;;;;;;;;;;;;;546.8;;;;;;;;;5270.8;;
GRC;01.01.1938 00:00;4.5;;;;;;;;;;;;;;;;;478.5;;;;;;;;;5388;;
GRC;01.01.1939 00:00;4.2;;;;;;;;;;;;;;;;;542.4;;;;;;;;;5398.3;;
GRC;01.01.1940 00:00;3.8;;;;;;;;;;;;;;;;;694.6;;;;;;;;;5572.9;;
GRC;01.01.1941 00:00;3.7;;;;;;;;;;;;;;;;;574;;;;;;;;;5669.3;;
GRC;01.01.1942 00:00;4.6;;;;;;;;;;;;;;;;;410.6;;;;;;;;;5074.9;;
GRC;01.01.1943 00:00;5.5;;;;;;;;;;;;;;;;;362.9;;;;;;;;;4810.6;;
GRC;01.01.1944 00:00;3.9;;;;;;;;;;;;;;;;;606.1;;;;;;;;;5485.5;;
GRC;01.01.1945 00:00;4.9;;;;;;;;;;;;;;;;;608.4;;;;;;;;;5100;;
GRC;01.01.1946 00:00;4.7;;;;;;;;;;;;;;;;;559.4;;;;;;;;;5281.7;;
GRC;01.01.1947 00:00;6;;;;;;;;;;;;;;;;;627.6;;;;;;;;;4720.5;;
GRC;01.01.1948 00:00;5.8;;;;;;;;;;;;;;;;;535.2;;;;;;;;;4885.9;;
GRC;01.01.1949 00:00;5.9;;;;;;;;;;;;;;;;;403.4;;;;;;;;;4729.2;;
GRC;01.01.1950 00:00;;;;;;;;;;;;;;;;;;431;;;;;;;;;;;
GRC;01.01.1951 00:00;4.6;;;;;;;;;;;;;;;;;718.3;;;;;;;;;5230.9;;
GRC;01.01.1952 00:00;4.4;;;;;;;;;;;;;;;;;560.6;;;;;;;;;5356.6;;
GRC;01.01.1953 00:00;4.8;;;;;;;;;;;;;;;;;495.9;;;;;;;;;5094.3;;
GRC;01.01.1954 00:00;4;;;;;;;;;;;;;;;;;630.3;;;;;;;;;5561.9;;
GRC;01.01.1955 00:00;4.3;;;;;;;;;;;;;;;;;535.8;;;;;;;;;5450.6;;
GRC;01.01.1956 00:00;3.1;;;;;;;;;;;;;;;;;462.5;;;;;;;;;5844.7;;
GRC;01.01.1957 00:00;4.9;;;;;;;;;;;;;;;;;610.2;;;;;;;;;5343.8;;
GRC;01.01.1958 00:00;4.7;;;;;;;;;;;;;;;;;559.8;;;;;;;;;5182.9;;
