station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
GRH;01.01.1868 00:00;;;;;;;;;;;;;;;;;;2130.4;;;;;;;;;;;
GRH;01.01.1869 00:00;;;;;;;;;;;;;;;;;;2020.9;;;;;;;;;;;
GRH;01.01.1870 00:00;;;;;;;;;;;;;;;;;;1555.7;;;;;;;;;;;
GRH;01.01.1871 00:00;;;;;;;;;;;;;;;;;;1462.4;;;;;;;;;;;
GRH;01.01.1932 00:00;1.7;;;;;;;;;;;;;;;;;1631.4;;;;;;;;;6519.8;;
GRH;01.01.1933 00:00;0.8;;;;;;;;;;;;;;;;;1898.9;;;;;;;;;6867.7;;
GRH;01.01.1934 00:00;2.1;;;;;;;;;;;;;;;;;1633;;;;;;;;;6391;;
GRH;01.01.1935 00:00;0.7;;;;;;;;;;;;;;;;;2631.1;;;;;;;;;6874.4;;
GRH;01.01.1936 00:00;1.2;;;;;;;;;;;;;;;;;2019.1;;;;;;;;;6775.3;;
GRH;01.01.1937 00:00;1.1;;;;;;;;;;;;;;;;;2221.4;;;;;;;;;6845.1;;
GRH;01.01.1938 00:00;1.5;;;;;;;;;;;;;;;;;1794.1;;;;;;;;;6620;;
GRH;01.01.1939 00:00;0.9;;;;;;;;;;;;;;;;;2417.3;;;;;;;;;6922.6;;
GRH;01.01.1940 00:00;0.5;;;;;;;;;;;;;;;;;2422.8;;;;;;;;;7128.1;;
GRH;01.01.1941 00:00;0.4;;;;;;;;;;;;;;;;;1983.5;;;;;;;;;7033.3;;
GRH;01.01.1942 00:00;1.4;;;;;;;;;;;;;;;;;1762.1;;;;;;;;;6630.3;;
GRH;01.01.1943 00:00;2.2;;;;;;;;;;;;;;;;;1783;;;;;;;;;6321.9;;
GRH;01.01.1944 00:00;0.6;;;;;;;;;;;;;;;;;2227.4;;;;;;;;;6957.7;;
GRH;01.01.1945 00:00;1.7;;;;;;;;;;;;;;;;;2208.9;;;;;;;;;6555.5;;
GRH;01.01.1946 00:00;1.9;;;;;;;;;;;;;;;;;1859.9;;;;;;;;;6445.7;;
GRH;01.01.1947 00:00;3.1;;;;;;;;;;;;;;;;;2214.4;;;;;;;;;5857.1;;
GRH;01.01.1948 00:00;2.7;;;;;;;;;;;;;;;;;2113.7;;;;;;;;;6177.6;;
