station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
GSB;01.01.1864 00:00;-1.8;16.4;-23.8;;;;;;;;;;;;;;;;;;;;;;;;7956.6;;
GSB;01.01.1865 00:00;-1;20.4;-26.8;;;;;;;;;;;;;;;1109.9;;;;;;;;;7619.7;;
GSB;01.01.1866 00:00;-0.8;16.8;-18;;;;;;;;;;;;;;;1245.3;;;;;;;;;7580.9;;
GSB;01.01.1867 00:00;-1.1;17.1;-20.4;;;;;;752;;;;;;;;;1067.3;;;;;;;;;7701.4;;
GSB;01.01.1868 00:00;-0.7;18.4;-19.9;;;;;;752.9;;;;;;;;;1250.7;;;;;;;;;7511.3;;
GSB;01.01.1869 00:00;-1.3;17.3;-21.8;;;;;;751.8;;;;;;;;;1014.1;;;;;;;;;7737.6;;
GSB;01.01.1870 00:00;-1.9;18.2;-27;;;;;;750.6;;;;;;;;;927.6;;;;;;;;;7953.9;;
GSB;01.01.1871 00:00;-1.9;17.5;-24;;;;;;751.1;;;;;;;;;772.1;;;;;;;;;7951.5;;
GSB;01.01.1872 00:00;-1;20.2;-16.6;;;;;;750.8;;;;;;;;;1318;;;;;;;;;7630.3;;
GSB;01.01.1873 00:00;-0.9;18;-20.2;;;;;;752.2;;;;;;;;;921.1;;;;;;;;;7529.9;;
GSB;01.01.1874 00:00;-1.7;19.3;-23;;;;;;751.8;;;;;3.1;;;11.2;859.8;;;;;;;;;7856.6;;
GSB;01.01.1875 00:00;-1.3;17.2;-20.3;;;;;;751.5;;;;;3.1;;;11.2;1449.5;;;;;;;;;7730.4;;
GSB;01.01.1876 00:00;-1.3;17;-20;;;;;;751;;;;;3.5;;;12.6;1597.2;;;;;;;;;7783.4;;
GSB;01.01.1877 00:00;-1.6;19.4;-21.5;;;;;;751.3;;;;;3.5;;;12.6;1161.1;;;;;;;;;7840.1;;
GSB;01.01.1878 00:00;-1.8;16.8;-20.3;;;;;;751;;;;;3.5;;;12.6;1377;;;;;;;;;7954.9;;
GSB;01.01.1879 00:00;-2.1;;;;;;;;750.4;;;;;3.9;;;14;1300.8;;;;;;;;;8024.7;;
GSB;01.01.1880 00:00;-0.4;18.4;-21.9;;;;;;753.1;;;;;3.7;;;13.3;1461.5;;;;;;;;;7430;;
GSB;01.01.1881 00:00;-1.1;19.5;-21.7;;;;;;751.8;;;;;3.9;;;14;1214.2;;;;;;;;;7648.1;;
GSB;01.01.1882 00:00;-1;15.7;-17.7;;;;;;752.6;;;;;3.9;;;14;1873.2;;;;;;;;;7638.4;;
GSB;01.01.1883 00:00;-2.1;17;-21.8;;;;;;751.1;;;;;3.5;;;12.6;1309.4;;;;;;;;;8051.8;;
GSB;01.01.1884 00:00;-1.5;17.1;-18.3;;;;;;752.6;;;;;3.9;;;14;1174.9;;;;;;;;;7840.8;;
GSB;01.01.1885 00:00;-1.6;15.8;-21.8;;;;;;750.7;;;;;3.5;;;12.6;1668;;;;;;;;;7865.3;;
GSB;01.01.1886 00:00;-2;17.6;-25;;;;;;750.7;;;;;3.5;;;12.6;1588.8;;;;;;;;;7986;;
GSB;01.01.1887 00:00;-2.5;17;-24.8;;;;;;751.1;;;;;3.5;;;12.6;1138.1;;;;;;;;;8208.8;;
GSB;01.01.1888 00:00;-2.2;19.3;-23.5;;;;;;751.4;;;;;3.5;;;12.6;1123.1;;;;;;;;;8081.2;;
GSB;01.01.1889 00:00;-2.5;16.9;-23.2;;;;;;750.8;;;;;3.1;;;11.2;1327.3;;;;;;;;;8195.2;;
GSB;01.01.1890 00:00;-2.4;17.5;-26.4;;;;;;751.3;;;;;3.1;;;11.2;1093.9;;;;;;;;;8170.5;;
GSB;01.01.1891 00:00;-2.1;16.5;-26;;;;;;751.8;;;;;3.1;;;11.2;1378.3;;;;;;;;;8068.5;;
GSB;01.01.1892 00:00;-1.7;21.3;-23.2;;;;;;751;;;;;2.7;;;9.7;1234;;;;;;;;;7939.3;;
GSB;01.01.1893 00:00;-1.4;18.9;-28;;;;;;752.3;;;;;2.7;;;9.7;991.1;;;;;;;;;7761.1;;
GSB;01.01.1894 00:00;-1.3;18.8;-19.3;;;;;;752.4;;;;;2.7;;;9.7;875.5;;;;;;;;;7747.3;;
GSB;01.01.1895 00:00;-1.8;15.6;-26;;;;;;750.3;;;;;2.7;;;9.7;1322.7;;;;;;;;;7952.2;;
GSB;01.01.1896 00:00;-2.4;18;-24.8;;;;;;751.8;;;;;2.7;;;9.7;1405.6;;;;;;;;;8183.3;;
GSB;01.01.1897 00:00;-1.1;18;-25;;;;;;752.9;;;;;2.7;;;9.7;1345.2;;;;;;;;;7683.4;;
GSB;01.01.1898 00:00;-0.8;21.1;-20;;;;;;753.2;;;;;2.7;;;9.7;1213.5;;;;;;;;;7530.7;;
GSB;01.01.1899 00:00;-0.8;18.8;-22;;;;;;753.4;;;;;2.7;;;9.7;990.2;;;;;;;;;7567.4;;
GSB;01.01.1900 00:00;-1.3;19.7;-26.4;;;;;;751.4;;;;;3.1;;;11.2;1639.3;;;;;;;;;7755.8;;
GSB;01.01.1901 00:00;-2.3;;;;;;71.7;4.2;750.8;;;;;3.1;;;11.2;1656.9;;;;;;;;;8102.2;;
GSB;01.01.1902 00:00;-1.7;;;;;;72.2;4.2;751.8;;;;;3.1;;;11.2;1367.6;;;;;;;;;7877.4;;
GSB;01.01.1903 00:00;-1.8;;;;;;73.2;4.3;752.5;;;;;5.3;;;19.1;1573.8;;;;;;;;;7945;;
GSB;01.01.1904 00:00;-1.1;;;;;;66.9;4.2;753.2;;;;;4.8;;;17.3;1219.2;;;;;;;;;7672.9;;
GSB;01.01.1905 00:00;-2.1;;;;;;79.8;4.7;752.6;;;;;5.3;;;19.1;1717.8;;;;;;;;;8015.9;;
GSB;01.01.1906 00:00;-1.8;;;;;;74.9;4.5;752.5;;;;;4.8;;;17.3;1321.8;;;;;;;;;7902.8;;
GSB;01.01.1907 00:00;-1.7;;;;;;77;4.6;752.9;;;;;5.3;;;19.1;1720.7;;;;;;;;;7890.5;;
GSB;01.01.1908 00:00;-1.6;;;;;;74.9;4.5;753.5;;;;;4.8;;;17.3;1217.3;;;;;;;;;7893.9;;
GSB;01.01.1909 00:00;-2.5;;;;;;77.4;4.4;751.1;;;;;4.8;;;17.3;1447.6;;;;;;;;;8188.3;;
GSB;01.01.1910 00:00;-2.5;;;;;;83.3;4.6;750.9;;;;;5.7;;;20.5;1847.5;;;;;;;;;8195;;
GSB;01.01.1911 00:00;-0.8;;;;;;72.9;4.6;754;;;;;;;;;1275.6;;;;;;;;;7527.3;;
GSB;01.01.1912 00:00;-1.9;;;;;;75.1;4.3;752.4;;;;;3.9;;;14;1551.7;;;;;;;;;7998.7;;
GSB;01.01.1913 00:00;-1.5;;;;;;77.8;4.6;753.6;;;;;3.9;;;14;1643.4;;;;;;;;;7814.6;;
GSB;01.01.1914 00:00;-1.7;;;;;;73.7;4.3;752.3;;;;;3.5;;;12.6;1897.3;;;;;;;;;7920.7;;
GSB;01.01.1915 00:00;-2.3;;;;;;82.4;4.7;750.3;;;;;3.5;;;12.6;1569.7;;;;;;;;;8117.6;;
GSB;01.01.1916 00:00;-1.9;;;;;;81.4;4.7;751.2;;;;;3.9;;;14;1705.2;;;;;;;;;7990.4;;
GSB;01.01.1917 00:00;-2.4;;;;;;79.7;4.7;751.5;;;;;3.1;;;11.2;1380.3;;;;;;;;;8147.1;;
GSB;01.01.1918 00:00;-1.3;;;;;;79.5;4.8;753.4;;;;;2;;;7.2;2296;;;;;;;;;7756.1;;
GSB;01.01.1919 00:00;-2.6;;;;;;82.5;4.7;750.9;;;;;3.5;;;12.6;1478.2;;;;;;;;;8223;;
GSB;01.01.1920 00:00;-0.5;;;;;;81.4;5.2;754.3;;;;;3.5;;;12.6;1904.4;;;;;;;;;7469.6;;
GSB;01.01.1921 00:00;-0.2;;;;;;74.4;4.9;755.4;;;;;2;;;7.2;1205.1;;;;;;;;;7286.1;;
GSB;01.01.1922 00:00;-1.7;;;;;;76.5;4.5;751.4;;;;;2.7;;;9.7;2476.3;;;;;;;;;7883;;
GSB;01.01.1923 00:00;-1.3;;;;;;78.6;4.8;751.7;;;;;2.4;;;8.6;2024;;;;;;;;;7676.4;;
GSB;01.01.1924 00:00;-1.3;;;;;;75.5;4.7;752;;;;;1.7;;;6.1;1744.3;;;;;;;;;7742.9;;
GSB;01.01.1925 00:00;-1.8;;;;;;;;;;;;;;;;;1931.6;;;;;;;;;;;
GSB;01.01.1926 00:00;-1.5;;;;;;;;;;;;;;;;;2278.7;;;;;;;;;;;
GSB;01.01.1927 00:00;-1.7;;;;;;;;;;;;;;;;;2201.4;;;;;;;;;;;
GSB;01.01.1928 00:00;-1.4;;;;;;;;;;;;;;;;;2139;;;;;;;;;;;
GSB;01.01.1929 00:00;-1.9;;;;;;;;;;;;;;;;;1548.6;;;;;;;;;;;
GSB;01.01.1930 00:00;-1.4;;;;;;;;;;;;;;;;;2506.2;;;;;;;;;;;
GSB;01.01.1931 00:00;-2.1;;;;;;;;;;;;;;;;;1953.8;;;;;;;;;;;
GSB;01.01.1932 00:00;-1.8;;;;;;;;;;;;;;;;;2063.3;;;;;;;;;;;
GSB;01.01.1933 00:00;-2.2;;;;;;;;;;;;;;;;;2097.2;;;;;;;;;;;
