station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
GUT;01.01.1977 00:00;9.2;31.5;-8.6;;;;79.7;9.7;964.6;;;;;1.1;;;4.7;1052.6;;;;;;;;;3333.2;;
GUT;01.01.1978 00:00;7.7;28.9;-9.5;;;;84.4;9.4;964.3;;;;;1.9;;;7.6;1042.6;;;;;78168;28;;;4001.8;;
GUT;01.01.1979 00:00;8.3;30;-13.3;;;;84;9.8;964.3;;;;;1.9;;;7.2;964.3;;;;;80682;30;;;3780.5;;
GUT;01.01.1980 00:00;7.6;32;-10.6;;;;82.6;9.3;965.3;;;;;1.9;;;7.2;826;;;;;76230;28;;;3988.9;;
GUT;01.01.1981 00:00;8.4;29.1;-12.5;8.8;35.7;-12.9;78.3;9.2;965.5;;;;;1.9;25.3;91.1;7.2;1064.5;124;;;;82844;34;647.3;43.6;3694.2;1846.2;694.1
GUT;01.01.1982 00:00;8.8;30.1;-9;9.2;35;-12.8;79.5;9.6;966.7;;;;;1.8;26.3;94.7;6.8;997.1;124;;;;86623;35;652.8;60.3;3591;1799;610
GUT;01.01.1983 00:00;8.9;35;-12.1;9.1;39.9;-13.6;77.8;9.4;967.2;;;;;2.2;29.1;104.8;7.9;743.3;128;;;;90921;37;694.1;121.9;3666.6;1810.6;290
GUT;01.01.1984 00:00;7.9;32.2;-9.3;8.1;36.7;-14.4;78.8;8.7;965.5;;;;;2.3;27.5;99;8.6;1017.1;123;;;;82782;34;639.8;27.3;3953.1;1921.1;635.3
GUT;01.01.1985 00:00;7.5;31;-22.5;8.1;35.2;-16.4;78.7;8.9;965.8;;;;;2.4;26.8;96.5;8.6;806.9;132;;;;97573;40;682;45.4;3998.3;2158.3;395.5
GUT;01.01.1986 00:00;8.2;33;-15.5;8.3;34.6;-16.6;77.8;9.1;966;;;;;2.4;33.7;121.3;8.6;1011.9;124;;;;89479;36;669.6;76.7;3826.3;1962.3;605.6
