station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
GVE;01.01.1950 00:00;1.6;;;;;;;;966.1;;;;;;;;;952.4;;;;;;;;;;;
GVE;01.01.1951 00:00;9.4;;;;;;;;965;;;;;;;;;932.1;;;;;;;;;;;
GVE;01.01.1952 00:00;10.2;;;;;;;;965.7;;;;;;;;;1078.6;;;;;;;;;;;
GVE;01.01.1953 00:00;9.8;;;;;;;;;;;;;;;;;578;;;;;;;;;;;
GVE;01.01.1954 00:00;9.3;31.9;-12.2;;;;;;;;;;;;;;;992.5;;;;;;;;;3414.5;;
GVE;01.01.1955 00:00;9.7;32.4;-9.4;;;;;;;;;;;;;;;969;;;;;;;;;3301.2;;
GVE;01.01.1956 00:00;8.5;30.3;-21;;;;;;;;;;;;;;;878.2;;;;;;;;;3626.5;;
GVE;01.01.1957 00:00;9.7;33.4;-9.6;;;;;;;;;;;;;;;733.8;;;;;;;;;3202.1;;
GVE;01.01.1958 00:00;9.8;32.9;-11.8;;;-9.8;;;966;;;;;3.5;;;;992.1;;;;;103854;;;;3262.3;;
GVE;01.01.1959 00:00;10.3;31.7;-9.3;;;-10;77.9;10.2;967;;;;;3;;;;866.9;;;;;127578;;;;3139.6;;
GVE;01.01.1960 00:00;9.5;30.9;-13.8;;;-17.2;77;9.4;964.1;;;;;2.6;;;;1302.3;;;;;117546;;;;3230.5;;
GVE;01.01.1961 00:00;10.4;31.1;-7.5;;;-10.4;75.7;9.8;967.4;;;;;2.4;;;;791.5;;;;;119424;;;;2946.1;;
GVE;01.01.1962 00:00;9;34.5;-11.9;;;-12.4;70.7;8.3;966.4;;;;;3.2;;;;781.3;;;;;127632;47;;;3622.7;;
GVE;01.01.1963 00:00;8.4;30.2;-18.9;;;-21.9;74.4;9.1;964.7;;;;;2.8;;;11.2;1097.4;;;;;107598;40;;;3716.6;;
GVE;01.01.1964 00:00;9.7;33.1;-17;;;-20.6;71.9;9;967.4;;;;;2.8;;;11.2;802.4;;;;;111066;40;;;3336.8;;
GVE;01.01.1965 00:00;8.8;32.2;-13.3;;;-18.5;77.7;9.4;965.3;;;;;2.8;;;11.2;1306.4;;;;;99504;37;;;3674.5;;
GVE;01.01.1966 00:00;9.9;33.4;-14.5;;;-18.1;74.7;9.6;964.8;;;;;3.1;;;12.6;1029.6;;;;;112068;41;;;3021;;
GVE;01.01.1967 00:00;9.6;32.6;-13.3;;;-18.8;76.3;9.7;968.1;;;;;3;;;12.6;911.5;;;;;124518;47;;;3334.5;;
GVE;01.01.1968 00:00;9.3;31.9;-19.9;;;-24.1;79.2;9.8;967.3;;;;;3.1;;;12.6;1234.9;;;;;106848;39;;;3226.2;;
GVE;01.01.1969 00:00;9.1;31.3;-12;;;-14.8;74.2;9.3;966.6;;;;;3;;;12.6;892.5;;;;;108690;41;;;3501.8;;
GVE;01.01.1970 00:00;9.2;32.5;-13.6;;;-20.9;75.7;9.7;967.8;;;;;3.5;;;14;1049.3;;;;;107586;40;;;3475.9;;
GVE;01.01.1971 00:00;9.3;34.3;-16.8;;;-21;72.7;8.9;968.3;;;;;3.2;;;13.3;710.4;;;;;121140;45;;;3451.5;;
GVE;01.01.1972 00:00;9.2;31.1;-9.4;;;-11.6;73.4;8.6;967.6;;;;;3.1;;;13.3;788.6;;;;;101340;38;;;3499.7;;
GVE;01.01.1973 00:00;9.1;30.4;-11.1;;;-15.4;72;8.9;969.9;;;;;3.1;;;13.7;793.9;;;;;112638;42;;;3583.3;;
