station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
HAI;01.01.1901 00:00;;;;;;;;;;;;;;;;;;1062.7;;;;;84576;;;;;;
HAI;01.01.1902 00:00;;;;;;;;;;;;;;;;;;1060;;;;;75564;;;;;;
HAI;01.01.1903 00:00;;;;;;;;;;;;;;;;;;900;;;;;81264;;;;;;
HAI;01.01.1904 00:00;;;;;;;;;;;;;;;;;;857.2;;;;;85566;;;;;;
HAI;01.01.1905 00:00;;;;;;;;;;;;;;;;;;1099.9;;;;;85584;;;;;;
HAI;01.01.1906 00:00;;;;;;;;;;;;;;;;;;923.2;;;;;88416;;;;;;
HAI;01.01.1907 00:00;;;;;;;;;;;;;;;;;;859.6;;;;;84474;;;;;;
HAI;01.01.1908 00:00;;;;;;;;;;;;;;;;;;966.7;;;;;89502;;;;;;
HAI;01.01.1909 00:00;;;;;;;;;;;;;;;;;;887.9;;;;;94758;;;;;;
HAI;01.01.1910 00:00;;;;;;;;;;;;;;;;;;1315.2;;;;;82692;;;;;;
HAI;01.01.1911 00:00;;;;;;;;;;;;;;;;;;708.9;;;;;;;;;;;
HAI;01.01.1912 00:00;;;;;;;;;;;;;;;;;;961.2;;;;;77526;;;;;;
HAI;01.01.1913 00:00;;;;;;;;;;;;;;;;;;805.5;;;;;87120;;;;;;
HAI;01.01.1914 00:00;;;;;;;;;;;;;;;;;;977;;;;;;;;;;;
HAI;01.01.1915 00:00;;;;;;;;;;;;;;;;;;997.3;;;;;88380;;;;;;
HAI;01.01.1916 00:00;;;;;;;;;;;;;;;;;;995;;;;;83700;;;;;;
HAI;01.01.1917 00:00;;;;;;;;;;;;;;;;;;959.7;;;;;87720;;;;;;
HAI;01.01.1918 00:00;;;;;;;;;;;;;;;;;;933.8;;;;;94260;;;;;;
HAI;01.01.1919 00:00;;;;;;;;;;;;;;;;;;925.3;;;;;92220;;;;;;
HAI;01.01.1920 00:00;;;;;;;;;;;;;;;;;;662;;;;;84000;;;;;;
HAI;01.01.1921 00:00;;;;;;;;;;;;;;;;;;695.6;;;;;105720;;;;;;
HAI;01.01.1922 00:00;;;;;;;;;;;;;;;;;;1316.8;;;;;75900;;;;;;
HAI;01.01.1923 00:00;;;;;;;;;;;;;;;;;;902.4;;;;;;;;;;;
