station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
HLL;01.01.1887 00:00;7;;;;;;;;;;;;;;;;;660.6;;;;;;;;;;;
HLL;01.01.1888 00:00;7.2;;;;;;;;;;;;;;;;;1011.6;;;;;;;;;;;
HLL;01.01.1889 00:00;7.3;;;;;;;;;;;;;;;;;699.4;;;;;;;;;;;
HLL;01.01.1890 00:00;7.2;;;;;;;;;;;;;;;;;757.7;;;;;;;;;;;
HLL;01.01.1891 00:00;7.2;;;;;;;;;;;;;;;;;848.9;;;;;;;;;;;
HLL;01.01.1892 00:00;8.2;;;;;;;;;;;;;;;;;766.6;;;;;;;;;;;
HLL;01.01.1893 00:00;8.6;;;;;;;;;;;;;;;;;719.5;;;;;;;;;;;
HLL;01.01.1894 00:00;8.2;;;;;;;;;;;;;;;;;828.7;;;;;;;;;;;
HLL;01.01.1895 00:00;7.8;;;;;;;;;;;;;;;;;817;;;;;;;;;;;
HLL;01.01.1896 00:00;7.7;;;;;;;;;;;;;;;;;944.8;;;;;;;;;;;
HLL;01.01.1897 00:00;8.5;;;;;;;;;;;;;;;;;952.2;;;;;;;;;;;
HLL;01.01.1898 00:00;8.9;;;;;;;;;;;;;;;;;798.4;;;;;;;;;;;
HLL;01.01.1899 00:00;8.6;;;;;;;;;;;;;;;;;707.5;;;;;;;;;;;
HLL;01.01.1900 00:00;9;;;;;;;;;;;;;;;;;830.8;;;;;;;;;;;
HLL;01.01.1901 00:00;7.7;;;;;;;;;;;;;;;;;945.4;;;;;92832;;;;;;
HLL;01.01.1902 00:00;8;;;;;;;;;;;;;;;;;1018.2;;;;;85362;;;;;;
HLL;01.01.1903 00:00;8.1;;;;;;;;;;;;;;;;;802.5;;;;;89166;;;;;;
HLL;01.01.1904 00:00;8.9;;;;;;;;;;;;;;;;;867.9;;;;;91806;;;;;;
HLL;01.01.1905 00:00;8.2;;;;;;;;;;;;;;;;;900.7;;;;;93444;;;;;;
HLL;01.01.1906 00:00;8.4;;;;;;;;;;;;;;;;;707.8;;;;;102354;;;;;;
HLL;01.01.1907 00:00;8.2;;;;;;;;;;;;;;;;;727.7;;;;;92172;;;;;;
HLL;01.01.1908 00:00;7.6;;;;;;;;;;;;;;;;;835.3;;;;;93522;;;;;;
HLL;01.01.1909 00:00;7.7;;;;;;;;;;;;;;;;;708.3;;;;;103488;;;;;;
HLL;01.01.1910 00:00;8.3;;;;;;;;;;;;;;;;;1034.8;;;;;86682;;;;;;
HLL;01.01.1911 00:00;9.4;;;;;;;;;;;;;;;;;656.7;;;;;111540;;;;;;
HLL;01.01.1912 00:00;8.1;;;;;;;;;;;;;;;;;1013.3;;;;;86370;;;;;;
HLL;01.01.1913 00:00;8.6;;;;;;;;;;;;;;;;;769.6;;;;;89220;;;;;;
HLL;01.01.1914 00:00;8;;;;;;;;;;;;;;;;;1111.3;;;;;94320;;;;;;
HLL;01.01.1915 00:00;8.2;;;;;;;;;;;;;;;;;1023.1;;;;;93000;;;;;;
HLL;01.01.1916 00:00;8.7;;;;;;;;;;;;;;;;;915.6;;;;;86880;;;;;;
HLL;01.01.1917 00:00;7.6;;;;;;;;;;;;;;;;;831.7;;;;;97200;;;;;;
HLL;01.01.1918 00:00;8.4;;;;;;;;;;;;;;;;;773.2;;;;;96180;;;;;;
HLL;01.01.1919 00:00;7.9;;;;;;;;;;;;;;;;;874.9;;;;;100320;;;;;;
HLL;01.01.1920 00:00;8.9;;;;;;;;;;;;;;;;;562.1;;;;;94380;;;;;;
HLL;01.01.1921 00:00;9.4;;;;;;;;;;;;;;;;;511.5;;;;;114300;;;;;;
HLL;01.01.1922 00:00;7.7;;;;;;;;;;;;;;;;;1091.1;;;;;84060;;;;;;
HLL;01.01.1923 00:00;8.8;;;;;;;;;;;;;;;;;787.3;;;;;91620;;;;;;
HLL;01.01.1924 00:00;7.8;;;;;;;;;;;;;;;;;753.9;;;;;88440;;;;;;
HLL;01.01.1925 00:00;8.3;;;;;;;;;;;;;;;;;830.5;;;;;96540;;;;;;
HLL;01.01.1926 00:00;9.3;;;;;;;;;;;;;;;;;964.4;;;;;99360;;;;;;
HLL;01.01.1927 00:00;8.6;;;;;;;;;;;;;;;;;964.8;;;;;93420;;;;;;
HLL;01.01.1928 00:00;9.4;;;;;;;;;;;;;;;;;705.3;;;;;101520;;;;;;
HLL;01.01.1929 00:00;8.3;;;;;;;;;;;;;;;;;590.9;;;;;102060;;;;;;
HLL;01.01.1930 00:00;9.3;;;;;;;;;;;;;;;;;1033.5;;;;;86160;;;;;;
HLL;01.01.1931 00:00;7.9;;;;;;;;;;;;;;;;;954.5;;;;;97740;;;;;;
HLL;01.01.1932 00:00;8.4;;;;;;;;;;;;;;;;;714.9;;;;;94020;;;;;;
HLL;01.01.1933 00:00;8.3;;;;;;;;;;;;;;;;;676.1;;;;;96360;;;;;;
HLL;01.01.1934 00:00;9.6;;;;;;;;;;;;;;;;;676.5;;;;;105180;;;;;;
HLL;01.01.1935 00:00;8.9;;;;;;;;;;;;;;;;;888.4;;;;;98640;;;;;;
HLL;01.01.1936 00:00;9.1;;;;;;;;;;;;;;;;;849.6;;;;;80580;;;;;;
