station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
LUG;01.01.1864 00:00;10.8;;;;;;73.4;10.4;981.7;;;;;0.4;;;1.4;1521.3;;;;;;;;;2986.1;;
LUG;01.01.1865 00:00;11.7;32.2;-4.9;;;;72.2;11.1;982.9;;;;;0.4;;;1.4;1490.6;;;;;;;;;2735.2;;
LUG;01.01.1866 00:00;11.5;34.3;-3;;;;75.4;11.2;983.5;;;;;0.4;;;1.4;1460.1;;;;;;;;;2690.1;;
LUG;01.01.1867 00:00;11.9;33.9;-6.2;;;;73.7;11.4;982.7;;;;;0.4;;;1.4;1708.3;;;;;;;;;2642.4;;
LUG;01.01.1868 00:00;12.2;33.3;-7.2;;;;78.4;12.5;983.9;;;;;0.4;;;1.4;2091.5;;;;;;;;;2663;;
LUG;01.01.1869 00:00;11.5;33.1;-8.8;;;;75;11.3;983.2;;;;;0.2;;;0.7;1681.5;;;;;;;;;2782.2;;
LUG;01.01.1870 00:00;11.5;36.1;-7.1;;;;68.7;10.2;982.4;;;;;0.4;;;1.4;830.7;;;;;;;;;2881.6;;
LUG;01.01.1871 00:00;11.2;33.6;-7.7;;;;69;10.1;982.6;;;;;0.2;;;0.7;1172.3;;;;;;;;;2969.5;;
LUG;01.01.1872 00:00;11.7;34.3;-5.2;;;;76.7;11.4;982;;;;;0.1;;;0.4;2525.9;;;;;;;;;2725.1;;
LUG;01.01.1873 00:00;12;34.1;-5.6;;;;76.4;11.8;983;;;;;0.2;;;0.7;1796.6;;;;;;;;;2605.3;;
LUG;01.01.1874 00:00;11.7;33.6;-6.2;;;;73;11.3;983.2;;;;;0.4;;;1.4;1226.6;;;;;;;;;2781.1;;
LUG;01.01.1875 00:00;11.4;31.4;-6.6;;;;75.4;11.5;982.9;;;;;0.2;;;0.7;1395.3;;;;;;;;;2878.7;;
LUG;01.01.1876 00:00;11.7;32.2;-4.8;;;;75.9;11.5;981.8;;;;;0.2;;;0.7;1767.5;;;;;;;;;2719.2;;
LUG;01.01.1877 00:00;11.8;31.6;-4.4;;;;76.7;11.8;982.3;;;;;0.4;;;1.4;1878.4;;;;;;;;;2755.3;;
