station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
LUZ;01.01.1864 00:00;;;;;;;;;;;;;;;;;;1040;;;;;;;;;;;
LUZ;01.01.1865 00:00;;;;;;;;;;;;;;;;;;920;;;;;;;;;;;
LUZ;01.01.1866 00:00;;;;;;;;;;;;;;;;;;1263;;;;;;;;;;;
LUZ;01.01.1867 00:00;;;;;;;;;;;;;;;;;;1438;;;;;;;;;;;
LUZ;01.01.1868 00:00;;;;;;;;;;;;;;;;;;1114;;;;;;;;;;;
LUZ;01.01.1869 00:00;;;;;;;;;;;;;;;;;;1094;;;;;;;;;;;
LUZ;01.01.1870 00:00;;;;;;;;;;;;;;;;;;891;;;;;;;;;;;
LUZ;01.01.1871 00:00;;;;;;;;;;;;;;;;;;952;;;;;;;;;;;
LUZ;01.01.1872 00:00;;;;;;;;;;;;;;;;;;1296;;;;;;;;;;;
LUZ;01.01.1873 00:00;;;;;;;;;;;;;;;;;;1254;;;;;;;;;;;
LUZ;01.01.1874 00:00;;;;;;;;;;;;;;;;;;1099;;;;;;;;;;;
LUZ;01.01.1875 00:00;;;;;;;;;;;;;;;;;;1172;;;;;;;;;;;
LUZ;01.01.1876 00:00;;;;;;;;;;;;;;;;;;1411;;;;;;;;;;;
LUZ;01.01.1877 00:00;;;;;;;;;;;;;;;;;;1316;;;;;;;;;;;
LUZ;01.01.1878 00:00;;;;;;;;;;;;;;;;;;1308;;;;;;;;;;;
LUZ;01.01.1879 00:00;;;;;;;;;;;;;;;;;;1333;;;;;;;;;;;
LUZ;01.01.1880 00:00;;;;;;;;;;;;;;;;;;1235.9;;;;;;;;;;;
LUZ;01.01.1881 00:00;8.3;;;;;;;;964.7;;;;;;;;;1220.7;;;;;;;;;3876.4;;
LUZ;01.01.1882 00:00;8.5;;;;;;;;;;;;;;;;;1395.4;;;;;;;;;3647.4;;
LUZ;01.01.1883 00:00;8.4;;;;;;;;965.8;;;;;;;;;1163.2;;;;;;;;;3696.7;;
LUZ;01.01.1884 00:00;8.9;;;;;;;;;;;;;;;;;983.3;;;;;;;;;3584.8;;
LUZ;01.01.1885 00:00;8.6;;;;;;;;964.5;;;;;;;;;1055.7;;;;;;;;;3798.5;;
