station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
MAG;01.01.1954 00:00;10.4;30.2;-13;;;;;;990.8;;;;;;;;;;;;;;;;;;3074.2;;
MAG;01.01.1955 00:00;10.9;30.6;-8.9;;;;;;991;;;;;;;;;;;;;;;;;;2877.4;;
MAG;01.01.1956 00:00;10;30.5;-15.5;;;;;;992.2;;;;;;;;;;;;;;;;;;3267.2;;
MAG;01.01.1957 00:00;10.6;33.1;-11;;;;;;992.5;;;;;;;;;;;;;;;;;;2936.7;;
MAG;01.01.1958 00:00;11;31.6;-9.4;;;;;;991.6;;;;;1.4;;;;2022.9;;;;;;;;;2932.2;;
MAG;01.01.1959 00:00;11.4;31.2;-7.6;;;;68.4;9.6;993.2;;;;;1.2;;;;1839.3;;;;;;;;;2842;;
MAG;01.01.1960 00:00;10.5;28.8;-11.1;;;;75.5;10.1;990.7;;;;;1.3;;;;3253.4;;;;;;;;;3014;;
MAG;01.01.1961 00:00;11.3;30;-14;;;;74.6;10.7;993.5;;;;;1.2;;;;1438;;;;;;;;;2746.2;;
MAG;01.01.1962 00:00;10.7;31.1;-13;;;;70.7;10;992.2;;;;;1.5;;;;1214.5;;;;;;;;;3046.2;;
MAG;01.01.1963 00:00;10.3;29.5;-13.2;;;;76.3;10.5;991.5;;;;;1.4;;;;2535.1;;;;;;;;;3097.7;;
MAG;01.01.1964 00:00;11.2;31.8;-10.2;;;;75.7;10.8;993.6;;;;;1.4;;;;1342.5;;;;;;;;;2910.3;;
MAG;01.01.1965 00:00;10.5;33.2;-8.5;;;;72.6;9.9;991.2;;;;;1.6;;;;1703.6;;;;;;;;;2976;;
MAG;01.01.1966 00:00;11;30;-13;;;;73.9;10.6;990.9;;;;;1.6;;;;2200.3;;;;;;;;;2826;;
MAG;01.01.1967 00:00;11;31;-12.8;;;;72.9;10.4;993.6;;;;;1.6;;;;1846.6;;;;;;;;;2881.6;;
MAG;01.01.1968 00:00;10.7;31;-11;;;;75.9;10.5;992.2;;;;;1.4;;;;2326.8;;;;;;;;;2849.6;;
MAG;01.01.1969 00:00;10.4;31.2;-11.4;;;;74.4;10.3;991.3;;;;;1.4;;;;1527.2;;;;;;;;;3073.6;;
MAG;01.01.1970 00:00;10.6;31.2;-12.2;;;;71.4;10;991.8;;;;;1.5;;;;1555.5;;;;;;;;;3153.2;;
MAG;01.01.1971 00:00;10.6;30.2;-15.6;;;;73.3;10.3;993;;;;;1.3;;;;1735.1;;;;;;;;;3011.1;;
MAG;01.01.1972 00:00;10.6;30.2;-7;;;;75.1;10.1;993.1;;;;;1.3;;;;1936.8;;;;;;;;;3044.5;;
MAG;01.01.1973 00:00;11;30.3;-11;;;;69.6;10.1;993.7;;;;;1.3;;;;1535;;;;;;;;;3012;;
MAG;01.01.1974 00:00;11;30.6;-6;;;;74.8;10.3;992;;;;;1.4;;;;1565.1;;;;;;;;;3010.7;;
MAG;01.01.1975 00:00;11;30.6;-6;;;;76.8;10.7;993.8;;;;;1.2;;;;2215.9;;;;;;;;;2953.2;;
MAG;01.01.1976 00:00;11.4;32;-9.6;;;;71.2;10.1;992.4;;;;;1.3;;;;2102.7;;;;;;;;;2759.4;;
MAG;01.01.1977 00:00;10.5;29;-11.6;;;;76.3;10.3;992.9;;;;;1.5;;;;2914.6;;;;;;;;;2914.9;;
MAG;01.01.1978 00:00;10.2;29.6;-11.8;;;;74.2;9.8;991.7;;;;;2.1;;;;2065;;;;;;;;;3182.4;;
MAG;01.01.1979 00:00;11.1;29.5;-9.6;;;;73.4;10.4;990.7;;;;;1.8;;;6.8;2042.6;;;;;114426;48;;;2914.7;;
MAG;01.01.1980 00:00;10.4;30.9;-10.6;;;;69.5;9.4;991.4;;;;;1.6;;;7.2;1326.1;;;;;117120;50;;;3127;;
MAG;01.01.1981 00:00;10.8;31.7;-10.7;10.4;37.1;-13.4;69.5;9.8;992;;;;;2;28.1;101.2;7.6;2064;136;;;;120385;51;788;186.4;2921.7;1425.7;1620
MAG;01.01.1982 00:00;11.2;34.2;-9.2;10.9;38.3;-11.5;73.1;10.3;993.8;;;;;1.9;27.9;100.4;7.2;1790.2;143;;;;120878;51;803.2;235.6;2966.5;1366.5;1330.7
MAG;01.01.1983 00:00;10.9;37.2;-10.1;10.4;40.7;-10.4;72.1;10;994.3;;;;;1.8;29.4;105.8;6.8;1751;133;;;;121278;51;761.6;280.5;3026.8;1410.8;1307.5
MAG;01.01.1984 00:00;10.4;31;-10.2;9.8;39.1;-13.2;71.5;9.4;992.9;;;;;1.8;24.1;86.8;7.6;2058.4;134;;;;120304;51;758.8;204.3;3187.8;1427.8;1559.6
MAG;01.01.1985 00:00;10.6;32;-12.5;10;40.5;-15.9;72.2;9.8;993.1;;;;;1.8;23.6;85;6.8;1682.3;140;;;;127676;54;797.9;202.9;3094.2;1542.2;1172.8
MAG;01.01.1986 00:00;11.1;30.8;-13.1;10.8;39.1;-17.1;71.8;10.2;993.8;;;;;1.9;20.3;73.1;7.2;1810.6;132;;;;119555;50;778.2;254.1;2943.7;1415.7;1359.1
MAG;01.01.1987 00:00;11;30.6;-10.6;11;41.7;-13.9;71.5;10;993.5;;;;;1.8;23.7;85.3;7.2;2049.4;133;;;;118641;50;774.6;218.2;2910.3;1382.3;1566.9
MAG;01.01.1988 00:00;11.6;31.5;-6.3;11.4;40.4;-9.4;73.4;11;993.4;;;;;1.9;24.5;88.2;7.2;1946.8;131;;;;120251;51;765.8;211.9;2603;1203;1558.5
MAG;01.01.1989 00:00;11.5;32.8;-7;11.2;41.4;-9.7;72.6;10.5;995.5;;;;;1.8;23.6;85;6.8;1666;140;;;;139062;59;808.9;249.4;2817.2;1273.2;1187.3
MAG;01.01.1990 00:00;11.6;31.2;-12.1;11.3;40.6;-14.3;72.4;10.7;995.2;;;;;1.9;21.3;76.7;7.2;1391.7;144;;;;131414;55;831;247.1;2721.5;1321.5;928.5
MAG;01.01.1991 00:00;11.6;32.4;-16.9;10.9;40.9;-22.7;69.8;10.4;994.8;1018.6;;;;1.8;22.4;80.6;6.8;1763.1;140;;;;132715;56;825;398.3;2892.7;1388.7;1233.4
MAG;01.01.1992 00:00;11.9;33.3;-6.3;11.6;44.4;-11.9;73.2;11.1;995;1018.8;;;;1.6;25.2;90.7;6.1;1578.5;128;;;;112792;47;748.9;318.7;2719.6;1239.6;1186.3
MAG;01.01.1993 00:00;11.7;30.6;-8.3;11.1;39.1;-11;71.2;10.6;995;1018.8;;;;1.3;19.9;71.6;5;1968.6;128;;;;113449;48;716.4;257.1;2646.5;1230.5;1534.7
MAG;01.01.1994 00:00;12.8;33.1;-4.8;12.3;39.4;-7.4;71.2;11.4;994.3;1018;;;;1.5;27;97.2;5.8;2091.6;135;;;;124605;53;781.3;404;2413.8;997.8;1626.4
MAG;01.01.1995 00:00;12.3;33.8;-8.6;11.7;40.2;-11.6;67.6;10.5;994;1017.7;;;;1.6;24.1;86.8;6.5;1538;137;;;;132071;56;808.4;324.8;2447.9;1087.9;1023.7
MAG;01.01.1996 00:00;11.9;34.3;-8.6;11.7;40.4;-9.6;71.8;10.7;991.8;1015.4;;;;1.5;19.3;69.5;5.4;1887.5;132;;;;114163;48;768.8;282.4;2551.1;1143.1;1408.5
MAG;01.01.1997 00:00;11.9;31.3;-5.6;12.2;41.2;-14.6;72.8;10.9;994.2;1017.9;;;;1.7;23.1;83.2;6.1;1687.6;143;;;;131023;55;802.9;243.1;2619.2;1155.2;1208.1
MAG;01.01.1998 00:00;11.5;32.1;-7.7;11.3;37.7;-11;71.6;10.6;993.3;1017.1;;;;1.6;30.5;109.8;6.1;1852;141;;;;126066;53;789.5;301.5;2860;1316;1403.7
MAG;01.01.1999 00:00;11.8;30.9;-8.5;11.6;40;-11;72.9;11.1;992.1;1015.8;;;;1.7;24.6;88.6;6.5;2430.8;132;;;;111840;47;757.2;267.9;2643.9;1267.9;2064.3
MAG;01.01.2000 00:00;12.1;30.6;-8.4;12;39.1;-10.8;74.5;11.2;992.9;1016.6;;;;1.6;31;111.6;6.1;2494.4;130;;;;115738;49;767;260.6;2627.3;1187.3;2071.1
MAG;01.01.2001 00:00;11.6;31.2;-10.5;11.7;40.5;-12.8;73;10.7;992.1;1015.9;;;;1.7;35.5;127.8;6.8;1759.8;141;;;;128139;54;791.8;260.6;2681.9;1233.9;1290.6
MAG;01.01.2002 00:00;11.8;32.3;-12.5;11.7;40.8;-14.7;75.6;11.3;992.4;1016.1;;;;1.6;26.1;94;6.1;2962.5;134;;;;114879;48;746.4;257.5;2616.6;1168.6;2562
MAG;01.01.2003 00:00;12.5;36.1;-7.8;12.1;44.1;-9.3;69.6;10.9;993.6;1017.3;;;;1.6;24.4;87.8;5.8;1166.4;151;;;;141588;60;868.3;535.3;2728;1296;606.2
MAG;01.01.2004 00:00;11.8;31.8;-9.7;11.7;40.6;-9.3;72.2;10.7;992.4;1016;;;;1.6;33.7;121.3;5.8;1813.7;139;;;;125255;53;786.2;286.8;2727.2;1279.2;1331.7
MAG;01.01.2005 00:00;11.6;32.4;-14.4;11.5;40.7;-12.1;69.8;10.6;993;1017;;;;1.7;;;6.1;995.8;144;;;;137513;58;;333.9;2829.7;1381.7;485.1
MAG;01.01.2006 00:00;11.8;33.7;-10.7;12;43.8;-14.8;72.6;10.8;993.1;1017.7;;;1017.6;;;;;1440.1;153;;;;132902;58;;335.4;2730.9;1346.9;930.6
MAG;01.01.2007 00:00;12.3;33;-7.8;12.1;39.3;-10.6;72;10.8;992.2;1016.7;;;1016.7;1.5;23.6;85;5.4;1283.5;155;;;33;138119;62;856.6;246.4;2464.2;1088.2;785.2
MAG;01.01.2008 00:00;11.7;31.7;-11.4;11.5;38.4;-15.4;76.3;11.1;992;1016.5;;;1016.4;1.5;21.8;78.5;5.4;2239.5;145;;;33;121473;54;780;259.2;2700.9;1212.9;1818.3
MAG;01.01.2009 00:00;12.2;31.7;-9.5;12.1;39.3;-14.3;73.7;11.2;990.4;1014.9;;;1014.8;1.5;24.7;88.9;5.4;1908.6;157;318;;35;133555;60;863;341.7;2670.3;1238.3;1419.1
MAG;01.01.2010 00:00;11.4;33.2;-11.1;11.3;41.1;-15.2;73.2;10.7;988.9;1013.4;;;1013.3;1.6;23.8;85.7;5.8;1884.4;147;318;;33;118632;53;826.7;328.8;2923.3;1395.3;1409.6
MAG;01.01.2011 00:00;12.2;31.6;-6.8;12;38.8;-10.3;74.2;11.2;993.7;1018.2;;;1018.1;1.4;25.3;91.1;5;1404.3;155;318;;32;139462;63;833.3;280.6;2546.8;1210.8;920
MAG;01.01.2012 00:00;11.9;33.1;-16.3;11.8;40.8;-22.7;73.5;11;991.9;1016.4;;;1016.3;1.5;25.2;90.7;5.4;1757.8;151;318;;35;128962;58;827.7;342;2729.6;1281.6;1302.8
MAG;01.01.2013 00:00;11.7;32.5;-5.8;11.7;38.5;-9.4;73.9;10.8;990.8;1015.3;;;1015.2;1.6;24.3;87.5;5.8;1923.1;149;320;370;32;121596;55;818.1;295.6;2703.2;1271.2;1468.9
MAG;01.01.2014 00:00;12.4;31.8;-4.9;12.7;40.4;-8.1;76.7;11.5;991;1015.4;;;1015.4;1.5;24.3;87.5;5.4;2648.2;144;326;377;31;113592;51;794.6;177.5;2301.6;981.6;2229.1
MAG;01.01.2015 00:00;12.4;34.5;-5.4;12.5;40.6;-10;72.3;11.1;994.1;1018.6;;;1018.5;1.6;29.6;106.6;5.8;1382.5;155;320;375;34;134877;61;873.1;395.3;2583.8;1175.8;883.5
MAG;01.01.2016 00:00;12.1;32;-8;12.2;39.1;-11.3;74;11.1;992.6;1017.1;;;1017;1.6;21.8;78.5;5.8;1504.1;152;321;374;34;126371;57;838.3;327.9;2653.4;1165.4;1029.8
MAG;01.01.2017 00:00;12.1;33.9;-9.6;11.8;39.3;-11.9;70.8;10.8;993.2;1017.8;;;1017.7;1.7;25.5;91.8;6.1;1587.1;162;315;373;37;142351;64;900.1;400.5;2646.1;1262.1;
MAG;01.01.2018 00:00;13;33.4;-6.5;13.1;46.8;-10.3;74.8;11.9;991.6;1016;;;1016;1.6;23.6;85;5.8;1496.2;158;327;380;34;131741;59;888.8;454.8;2423.4;1119.4;
MAG;01.01.2019 00:00;12.7;36.1;-6.9;12.7;41.6;-10.3;72.3;11.4;991.6;1016;;;1016;1.7;28.1;101.2;6.1;2050.4;157;321;376;35;132382;59;887.8;409.9;2374.4;1022.4;1565.2
MAG;01.01.2020 00:00;12.5;33.7;-11.2;12.4;41.5;-10;73.4;11.2;993.1;1017.6;;;1017.6;1.6;25.2;90.7;5.8;1688.4;162;320;376;36;140712;63;881.2;374;2564.8;1124.8;1188.4
MAG;01.01.2021 00:00;12;34.3;-9.4;12;39.6;-12.3;73;10.9;992.5;1017.1;;;1017;1.6;20.3;73.1;5.8;1544.9;158;316;374;35;134703;60;841.5;305.1;2702.6;1206.6;1051.6
MAG;01.01.2022 00:00;13.1;35.1;-6.7;13;42.3;-10.1;70.9;11.5;993.8;1018.2;;;1018.2;1.6;25.9;93.2;5.8;1348;167;320;379;36;147902;66;926.8;514.7;2378.5;1066.5;803.9
MAG;01.01.2023 00:00;13.3;34.5;-6.8;13.3;39.4;-10.5;72.1;11.8;991.8;1016.2;;;1016.2;1.7;26.8;96.5;6.1;1784.4;158;324;379;34;131728;59;890.8;430.1;2291;971;1321.6
MAG;01.01.2024 00:00;12.7;33.2;-6.5;12.6;39.8;-10.6;76.8;12;992.3;1016.7;;;1016.7;1.4;29.4;105.8;5;2013.2;143;326;376;32;116000;52;786.4;411.5;2453.3;1077.3;1637.8
