station_abbr;reference_timestamp;tre200y0;tre200yx;tre200yn;tre005y0;tre005yx;tre005yn;ure200y0;pva200y0;prestay0;pp0qffy0;ppz850y0;ppz700y0;pp0qnhy0;fkl010y0;fkl010y1;fu3010y1;fu3010y0;rre150y0;gre000y0;oli000y0;olo000y0;osr000y0;sre000y0;sremaxyv;erefaoy0;xcd000y0;xno000y0;xno012y0;rreetsy0
MER;01.01.1890 00:00;7;;;;;;;;;;;;;;;;;1213.9;;;;;;;;;;;
MER;01.01.1891 00:00;6.8;;;;;;;;;;;;;;;;;1301.1;;;;;;;;;4100.4;;
MER;01.01.1892 00:00;7.9;;;;;;;;;;;;;;;;;1168.8;;;;;;;;;3799.4;;
MER;01.01.1893 00:00;8.2;;;;;;;;;;;;;;;;;1151.3;;;;;;;;;3596.7;;
MER;01.01.1894 00:00;7.8;;;;;;;;;;;;;;;;;1183.7;;;;;;;;;3858;;
MER;01.01.1895 00:00;7.5;;;;;;;;;;;;;;;;;1249.9;;;;;;;;;3897.2;;
MER;01.01.1896 00:00;6.8;;;;;;;;;;;;;;;;;1634.5;;;;;;;;;4185.2;;
MER;01.01.1897 00:00;8;;;;;;;;;;;;;;;;;1369.1;;;;;;;;;3775.6;;
MER;01.01.1898 00:00;8;;;;;;;;;;;;;;;;;1427.3;;;;;;;;;3772.2;;
MER;01.01.1899 00:00;8.2;;;;;;;;;;;;;;;;;1189.7;;;;;;;;;3719.5;;
MER;01.01.1900 00:00;8.3;;;;;;;;;;;;;;;;;1319.9;;;;;;;;;3615.4;;
MER;01.01.1901 00:00;7.3;;;;;;;;;;;;;;;;;1486.8;;;;;;;;;3983.8;;
MER;01.01.1902 00:00;7.6;;;;;;;;;;;;;;;;;1431.8;;;;;;;;;3972.1;;
MER;01.01.1903 00:00;7.7;;;;;;;;;;;;;;;;;1372.9;;;;;;;;;3826;;
MER;01.01.1904 00:00;8.2;;;;;;;;;;;;;;;;;1221.6;;;;;;;;;3821.4;;
MER;01.01.1905 00:00;7.5;;;;;;;;;;;;;;;;;1505.3;;;;;;;;;3954.3;;
MER;01.01.1906 00:00;7.6;;;;;;;;;;;;;;;;;1142.5;;;;;;;;;3938.4;;
MER;01.01.1907 00:00;7.9;;;;;;;;;;;;;;;;;1194.1;;;;;;;;;3691.4;;
MER;01.01.1908 00:00;7.5;;;;;;;;;;;;;;;;;1239.9;;;;;;;;;3919.5;;
MER;01.01.1909 00:00;7.4;;;;;;;;;;;;;;;;;1288.7;;;;;;;;;3879;;
MER;01.01.1910 00:00;8;;;;;;;;;;;;;;;;;1703.6;;;;;;;;;3652.4;;
MER;01.01.1911 00:00;8.5;;;;;;;;;;;;;;;;;1116.1;;;;;;;;;3647.4;;
MER;01.01.1912 00:00;7.7;;;;;;;;;;;;;;;;;1382.6;;;;;;;;;4041.3;;
MER;01.01.1913 00:00;8.2;;;;;;;;;;;;;;;;;1357;;;;;;;;;3717.3;;
MER;01.01.1914 00:00;7.6;;;;;;;;;;;;;;;;;1503.3;;;;;;;;;4007.7;;
MER;01.01.1915 00:00;7.6;;;;;;;;;;;;;;;;;1199.3;;;;;;;;;3897.1;;
MER;01.01.1916 00:00;8;;;;;;;;;;;;;;;;;1526.6;;;;;;;;;3837.6;;
MER;01.01.1917 00:00;7.1;;;;;;;;;;;;;;;;;1234.6;;;;;;;;;4065.9;;
MER;01.01.1918 00:00;8;;;;;;;;;;;;;;;;;1364.2;;;;;;;;;3809.4;;
MER;01.01.1919 00:00;7.3;;;;;;;;;;;;;;;;;1490.9;;;;;;;;;4099.5;;
MER;01.01.1920 00:00;8.7;;;;;;;;;;;;;;;;;972.3;;;;;;;;;3469.8;;
MER;01.01.1921 00:00;8.6;;;;;;;;;;;;;;;;;970.1;;;;;;;;;3616.2;;
MER;01.01.1922 00:00;7.2;;;;;;;;;;;;;;;;;1775.2;;;;;;;;;4137.8;;
MER;01.01.1923 00:00;8.2;;;;;;;;;;;;;;;;;1313.6;;;;;;;;;3824.7;;
MER;01.01.1924 00:00;7.3;;;;;;;;;;;;;;;;;1243.9;;;;;;;;;4076.7;;
MER;01.01.1925 00:00;7.6;;;;;;;;;;;;;;;;;1157.5;;;;;;;;;4039.6;;
MER;01.01.1926 00:00;8.6;;;;;;;;;;;;;;;;;1398.3;;;;;;;;;3598.5;;
MER;01.01.1927 00:00;8.3;;;;;;;;;;;;;;;;;1333.7;;;;;;;;;3737.5;;
MER;01.01.1928 00:00;8.7;;;;;;;;;;;;;;;;;1585.7;;;;;;;;;3736;;
MER;01.01.1929 00:00;7.9;;;;;;;;;;;;;;;;;1053.8;;;;;;;;;3965.3;;
MER;01.01.1930 00:00;8.9;;;;;;;;;;;;;;;;;1532.5;;;;;;;;;3561.2;;
MER;01.01.1931 00:00;7.5;;;;;;;;;;;;;;;;;1331.8;;;;;;;;;4087.4;;
MER;01.01.1932 00:00;7.9;;;;;;;;;;;;;;;;;1126.1;;;;;;;;;3992.2;;
MER;01.01.1933 00:00;7.8;;;;;;;;;;;;;;;;;1333.4;;;;;;;;;3885.3;;
MER;01.01.1934 00:00;8.7;;;;;;;;;;;;;;;;;1156.8;;;;;;;;;3491.8;;
MER;01.01.1935 00:00;8.3;;;;;;;;;;;;;;;;;1469;;;;;;;;;3758.6;;
MER;01.01.1936 00:00;8.4;;;;;;;;;;;;;;;;;1359.4;;;;;;;;;3658.3;;
MER;01.01.1937 00:00;9;;;;;;;;;;;;;;;;;1443.8;;;;;;;;;3587.3;;
MER;01.01.1938 00:00;8.5;;;;;;;;;;;;;;;;;1168.1;;;;;;;;;3721.8;;
MER;01.01.1939 00:00;8.1;;;;;;;;;;;;;;;;;1558.9;;;;;;;;;3915;;
MER;01.01.1940 00:00;7.7;;;;;;;;;;;;;;;;;1597.4;;;;;;;;;3914.9;;
MER;01.01.1941 00:00;8.1;;;;;;;;;;;;;;;;;1155;;;;;;;;;3910.6;;
MER;01.01.1942 00:00;8.2;;;;;;;;;;;;;;;;;1139.5;;;;;;;;;3701.5;;
MER;01.01.1943 00:00;9.4;;;;;;;;;;;;;;;;;1050.3;;;;;;;;;3350.2;;
MER;01.01.1944 00:00;8.1;;;;;;;;;;;;;;;;;1604.4;;;;;;;;;3946.6;;
MER;01.01.1945 00:00;8.7;;;;;;;;;;;;;;;;;1318.1;;;;;;;;;3601.4;;
MER;01.01.1946 00:00;8.9;;;;;;;;;;;;;;;;;1231.5;;;;;;;;;3378.7;;
MER;01.01.1947 00:00;9.8;;;;;;;;;;;;;;;;;1243.6;;;;;;;;;3296;;
MER;01.01.1948 00:00;8.8;;;;;;;;;;;;;;;;;1244;;;;;;;;;3567.1;;
MER;01.01.1949 00:00;8.9;;;;;;;;;;;;;;;;;972.8;;;;;;;;;3502.1;;
MER;01.01.1950 00:00;8.9;;;;;;;;;;;;;;;;;1265.8;;;;;;;;;3673;;
MER;01.01.1951 00:00;8.7;;;;;;;;;;;;;;;;;1528.7;;;;;;;;;3473.2;;
MER;01.01.1952 00:00;8.3;;;;;;;;;;;;;;;;;1615.8;;;;;;;;;3812.4;;
MER;01.01.1953 00:00;8.4;;;;;;;;;;;;;;;;;1032.1;;;;;;;;;3663.1;;
MER;01.01.1954 00:00;8;;;;;;;;;;;;;;;;;1462.4;;;;;;;;;3849.2;;
MER;01.01.1955 00:00;8.1;;;;;;;;;;;;;;;;;1414.9;;;;;;;;;3763.4;;
MER;01.01.1956 00:00;6.9;;;;;;;;;;;;;;;;;1322.2;;;;;;;;;4206.8;;
MER;01.01.1957 00:00;8.4;;;;;;;;;;;;;;;;;1222.7;;;;;;;;;3661.2;;
MER;01.01.1958 00:00;8.2;;;;;;;;;;;;;;;;;1669.6;;;;;;;;;3734.1;;
MER;01.01.1959 00:00;9.2;30.5;-12;;;;75.8;9.4;946.6;;;;;0.8;;;2.9;1184.9;;;;;;;;;3424.1;;
MER;01.01.1960 00:00;8.8;30;-16.8;;;;71.9;8.5;944;;;;;0.8;;;2.9;1427.7;;;;;;;;;3424.6;;
MER;01.01.1961 00:00;9.4;30;-9.8;;;;71.7;8.8;947.2;;;;;0.4;;;1.4;1248.1;;;;;;;;;3290.6;;
MER;01.01.1962 00:00;7.7;30.3;-15.6;;;;73.1;8.4;946.3;;;;;0.6;;;2.2;1283;;;;;;;;;4006;;
MER;01.01.1963 00:00;7.4;29.2;-22.5;;;;78.1;9.1;944.7;;;;;0.4;;;1.4;1171.8;;;;;;;;;4018;;
MER;01.01.1964 00:00;8.3;31.8;-11.8;;;;78.5;9.2;947.1;;;;;0.6;;;2.2;1158.6;;;;;;;;;3727.9;;
MER;01.01.1965 00:00;7.4;31.4;-11.9;;;;77.1;8.5;944.8;;;;;0.4;;;1.4;1754.6;;;;;;;;;4075;;
MER;01.01.1966 00:00;8.8;30.2;-15.8;;;;79.3;9.6;944.6;;;;;0.8;;;2.9;1566.9;;;;;;;;;3423.7;;
MER;01.01.1967 00:00;8.6;31.6;-15.2;;;;77.1;9.2;947.2;;;;;0.8;;;2.9;1296.9;;;;;;;;;3726.5;;
MER;01.01.1968 00:00;8.4;31.8;-16.3;;;;81.9;9.5;945.3;;;;;1.1;;;4;1552;;;;;;;;;3562.2;;
MER;01.01.1969 00:00;8.3;30.2;-11.5;;;;79.3;9.3;944.7;;;;;0.8;;;2.9;1223.5;;;;;;;;;3798.5;;
MER;01.01.1970 00:00;8.2;29.3;-14.6;;;;80;9.3;945.5;;;;;0.6;;;2.2;1610.2;;;;;;;;;3740.5;;
MER;01.01.1971 00:00;7.8;33.4;-16.7;;;;79.6;9;944.3;;;;;1.1;;;4;1114.9;;;;;;;;;3907.7;;
MER;01.01.1972 00:00;7.7;30.5;-8.8;;;;80.6;8.7;942.2;;;;;1.7;;;6.1;1095.1;;;;;;;;;4054.7;;
MER;01.01.1973 00:00;7.5;29.9;-15;;;;83.5;9.6;944.2;;;;;1.4;;;5;1256.2;;;;;;;;;4017.3;;
MER;01.01.1974 00:00;8.1;30.5;-7.5;;;;84.5;9.5;942.4;;;;;1.5;;;5.4;1359.5;;;;;;;;;3806.1;;
MER;01.01.1975 00:00;8;31.5;-7.5;;;;85.9;9.8;944.3;;;;;1.4;;;5;1286.2;;;;;;;;;3830.1;;
MER;01.01.1976 00:00;8.1;30.5;-12.5;;;;82.7;9.4;943;;;;;1.5;;;5.4;1112.9;;;;;;;;;3856.8;;
MER;01.01.1977 00:00;8.3;28.5;-9;;;;84.3;9.5;942.9;;;;;1.6;;;5.8;1508.6;;;;;;;;;3630.3;;
MER;01.01.1978 00:00;7.4;28.9;-10;;;;84.6;9.1;942.2;;;;;1.4;;;5;1432.3;;;;;;;;;4105.4;;
MER;01.01.1979 00:00;8.2;29.3;-11.8;;;;83.2;9.5;942.1;;;;;1.5;;;5.4;1473.7;;;;;;;;;3778.9;;
MER;01.01.1980 00:00;7.2;28.6;-11.6;;;;84.1;9;942.9;;;;;1.3;;;4.7;1282.1;;;;;;;;;4159.3;;
MER;01.01.1981 00:00;7.8;29.5;-11.2;;;;83.4;9.4;943.2;;;;;1.4;;;5.4;1621.3;;;;;;;;24.3;3875.5;1979.5;
MER;01.01.1982 00:00;8.5;29.4;-9.2;;;;83.2;9.8;944.4;;;;;1.3;;;4.7;1369.2;;;;;;;;24.6;3632.2;1760.2;
MER;01.01.1983 00:00;8.6;37.2;-10;;;;81.5;9.7;945;;;;;1.5;;;5;1242.6;;;;;;;;97.7;3722.9;1866.9;
MER;01.01.1984 00:00;7.8;32.5;-10;;;;77.8;8.6;942.4;;;;;1.4;;;5;1214.8;;;;;;;;25.1;3918.8;1934.8;
MER;01.01.1985 00:00;7.6;31;-17.5;;;;80.3;9;942.8;;;;;1.1;;;4.3;1199.5;;;;;;;;30.8;3974.3;2110.3;
MER;01.01.1986 00:00;8;31.5;-14.5;;;;80.5;9.2;943.1;;;;;1.3;;;4.7;1442.2;;;;;;;;39.4;3800.1;1960.1;
