station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
AEG;01.02.1993 00:00;;;;;;;;;;;;;;0.8;3.1;2.9;11.2;;;;;;;;;;;;;;;;108;;
AEG;02.02.1993 00:00;;;;;;;;;;;;;;0.7;2.7;2.5;9.7;;;;;;;;;;;;;;;;270;;
AEG;03.02.1993 00:00;;;;;;;;;;;;;;0.8;3.2;2.9;11.5;;;;;;;;;;;;;;;;252;;
AEG;04.02.1993 00:00;;;;;;;;;;;;;;0.5;4.4;1.8;15.8;;;;;;;;;;;;;;;;0;;
AEG;05.02.1993 00:00;;;;;;;;;;;;;;0.4;1.7;1.4;6.1;;;;;;;;;;;;;;;;90;;
AEG;06.02.1993 00:00;;;;;;;;;;;;;;0.7;3.5;2.5;12.6;;;;;;;;;;;;;;;;117;;
AEG;07.02.1993 00:00;;;;;;;;;;;;;;0.8;7.1;2.9;25.6;;;;;;;;;;;;;;;;72;;
AEG;08.02.1993 00:00;;;;;;;;;;;;;;0.8;3.3;2.9;11.9;;;;;;;;;;;;;;;;243;;
AEG;09.02.1993 00:00;;;;;;;;;;;;;;0.9;3.2;3.2;11.5;;;;;;;;;;;;;;;;270;;
AEG;10.02.1993 00:00;;;;;;;;;;;;;;0.9;3.2;3.2;11.5;;;;;;;;;;;;;;;;243;;
AEG;11.02.1993 00:00;;;;;;;;;;;;;;0.7;2.7;2.5;9.7;;;;;;;;;;;;;;;;270;;
AEG;12.02.1993 00:00;;;;;;;;;;;;;;0.6;2.3;2.2;8.3;;;;;;;;;;;;;;;;243;;
AEG;13.02.1993 00:00;;;;;;;;;;;;;;0.4;2;1.4;7.2;;;;;;;;;;;;;;;;180;;
AEG;14.02.1993 00:00;;;;;;;;;;;;;;0.6;2;2.2;7.2;;;;;;;;;;;;;;;;270;;
AEG;15.02.1993 00:00;;;;;;;;;;;;;;0.8;3.6;2.9;13;;;;;;;;;;;;;;;;243;;
AEG;16.02.1993 00:00;;;;;;;;;;;;;;1.3;4.5;4.7;16.2;;;;;;;;;;;;;;;;259;;
AEG;17.02.1993 00:00;;;;;;;;;;;;;;0.9;4.2;3.2;15.1;;;;;;;;;;;;;;;;270;;
AEG;18.02.1993 00:00;;;;;;;;;;;;;;1.2;5.3;4.3;19.1;;;;;;;;;;;;;;;;360;;
AEG;19.02.1993 00:00;;;;;;;;;;;;;;4.4;18.5;15.8;66.6;;;;;;;;;;;;;;;;270;;
AEG;20.02.1993 00:00;;;;;;;;;;;;;;3.5;12.6;12.6;45.4;;;;;;;;;;;;;;;;270;;
AEG;21.02.1993 00:00;;;;;;;;;;;;;;5.8;19;20.9;68.4;;;;;;;;;;;;;;;;275;;
AEG;22.02.1993 00:00;;;;;;;;;;;;;;2.1;10.6;7.6;38.2;;;;;;;;;;;;;;;;311;;
AEG;23.02.1993 00:00;;;;;;;;;;;;;;1.3;7.5;4.7;27;;;;;;;;;;;;;;;;27;;
AEG;24.02.1993 00:00;;;;;;;;;;;;;;1.8;8;6.5;28.8;;;;;;;;;;;;;;;;90;;
AEG;25.02.1993 00:00;;;;;;;;;;;;;;1.1;3.7;4;13.3;;;;;;;;;;;;;;;;279;;
AEG;26.02.1993 00:00;;;;;;;;;;;;;;1;4.7;3.6;16.9;;;;;;;;;;;;;;;;342;;
AEG;27.02.1993 00:00;;;;;;;;;;;;;;0.7;2.9;2.5;10.4;;;;;;;;;;;;;;;;270;;
AEG;28.02.1993 00:00;;;;;;;;;;;;;;1.6;8.1;5.8;29.2;;;;;;;;;;;;;;;;38;;
AEG;01.03.1993 00:00;;;;;;;;;;;;;;0.9;3.1;3.2;11.2;;;;;;;;;;;;;;;;270;;
AEG;02.03.1993 00:00;;;;;;;;;;;;;;0.7;3.1;2.5;11.2;;;;;;;;;;;;;;;;270;;
AEG;03.03.1993 00:00;;;;;;;;;;;;;;1.3;4.2;4.7;15.1;;;;;;;;;;;;;;;;294;;
AEG;04.03.1993 00:00;;;;;;;;;;;;;;1.7;7.7;6.1;27.7;;;;;;;;;;;;;;;;27;;
AEG;05.03.1993 00:00;;;;;;;;;;;;;;1.2;9.7;4.3;34.9;;;;;;;;;;;;;;;;360;;
AEG;06.03.1993 00:00;;;;;;;;;;;;;;0.8;3;2.9;10.8;;;;;;;;;;;;;;;;0;;
AEG;07.03.1993 00:00;;;;;;;;;;;;;;1.1;5.9;4;21.2;;;;;;;;;;;;;;;;104;;
AEG;08.03.1993 00:00;;;;;;;;;;;;;;2.2;8.3;7.9;29.9;;;;;;;;;;;;;;;;86;;
AEG;09.03.1993 00:00;;;;;;;;;;;;;;0.7;3.3;2.5;11.9;;;;;;;;;;;;;;;;180;;
AEG;10.03.1993 00:00;;;;;;;;;;;;;;0.6;2.2;2.2;7.9;;;;;;;;;;;;;;;;108;;
AEG;11.03.1993 00:00;;;;;;;;;;;;;;0.4;3;1.4;10.8;;;;;;;;;;;;;;;;180;;
AEG;12.03.1993 00:00;;;;;;;;;;;;;;0.6;3.6;2.2;13;;;;;;;;;;;;;;;;153;;
AEG;13.03.1993 00:00;;;;;;;;;;;;;;0.5;3.6;1.8;13;;;;;;;;;;;;;;;;153;;
AEG;14.03.1993 00:00;;;;;;;;;;;;;;0.5;2.6;1.8;9.4;;;;;;;;;;;;;;;;180;;
AEG;15.03.1993 00:00;;;;;;;;;;;;;;0.8;6.8;2.9;24.5;;;;;;;;;;;;;;;;360;;
AEG;16.03.1993 00:00;;;;;;;;;;;;;;1.5;7.8;5.4;28.1;;;;;;;;;;;;;;;;260;;
AEG;17.03.1993 00:00;;;;;;;;;;;;;;1.7;9.4;6.1;33.8;;;;;;;;;;;;;;;;219;;
AEG;18.03.1993 00:00;;;;;;;;;;;;;;1.1;9.5;4;34.2;;;;;;;;;;;;;;;;297;;
AEG;19.03.1993 00:00;;;;;;;;;;;;;;0.7;4.7;2.5;16.9;;;;;;;;;;;;;;;;225;;
AEG;20.03.1993 00:00;;;;;;;;;;;;;;0.7;4.7;2.5;16.9;;;;;;;;;;;;;;;;225;;
AEG;21.03.1993 00:00;;;;;;;;;;;;;;1.4;8.6;5;31;;;;;;;;;;;;;;;;297;;
AEG;22.03.1993 00:00;;;;;;;;;;;;;;0.9;5.5;3.2;19.8;;;;;;;;;;;;;;;;90;;
AEG;23.03.1993 00:00;;;;;;;;;;;;;;1.7;10.4;6.1;37.4;;;;;;;;;;;;;;;;270;;
AEG;24.03.1993 00:00;;;;;;;;;;;;;;1.3;5.9;4.7;21.2;;;;;;;;;;;;;;;;276;;
AEG;25.03.1993 00:00;;;;;;;;;;;;;;1.4;6.9;5;24.8;;;;;;;;;;;;;;;;326;;
AEG;26.03.1993 00:00;;;;;;;;;;;;;;1.9;7.6;6.8;27.4;;;;;;;;;;;;;;;;307;;
AEG;27.03.1993 00:00;;;;;;;;;;;;;;1.2;7.8;4.3;28.1;;;;;;;;;;;;;;;;56;;
AEG;28.03.1993 00:00;;;;;;;;;;;;;;1.9;8;6.8;28.8;;;;;;;;;;;;;;;;65;;
AEG;29.03.1993 00:00;;;;;;;;;;;;;;1;6.5;3.6;23.4;;;;;;;;;;;;;;;;56;;
AEG;30.03.1993 00:00;;;;;;;;;;;;;;1.5;9.6;5.4;34.6;;;;;;;;;;;;;;;;291;;
AEG;31.03.1993 00:00;;;;;;;;;;;;;;0.7;2.6;2.5;9.4;;;;;;;;;;;;;;;;153;;
AEG;01.04.1993 00:00;;;;;;;;;;;;;;2.2;10.3;7.9;37.1;;;;;;;;;;;;;;;;290;;
AEG;02.04.1993 00:00;;;;;;;;;;;;;;1.9;6.7;6.8;24.1;;;;;;;;;;;;;;;;286;;
AEG;03.04.1993 00:00;;;;;;;;;;;;;;1.1;5;4;18;;;;;;;;;;;;;;;;292;;
