station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
ALT;01.01.1864 00:00;1.8;;;;;;;;953.2;;;;;;;;;;;;0;;;;;;;;;;;;;;
ALT;02.01.1864 00:00;-7;;;;;;;;963.5;;;;;;;;;;;;4;;;;;;;;;;;;;;
ALT;03.01.1864 00:00;-11.3;;;;;;;;967.6;;;;;;;;;;;;0;;;;;;;;;;;;;;
ALT;04.01.1864 00:00;-9.9;;;;;;;;968.3;;;;;;;;;;;;0;;;;;;;;;;;;;;
ALT;05.01.1864 00:00;-7.6;;;;;;;;970;;;;;;;;;;;;0;;;;;;;;;;;;;;
ALT;06.01.1864 00:00;-6.8;;;;;;;;969.7;;;;;;;;;;;;0;;;;;;;;;;;;;;
ALT;07.01.1864 00:00;-5.4;;;;;;;;968.2;;;;;;;;;;;;0;;;;;;;;;;;;;;
ALT;08.01.1864 00:00;-3.4;;;;;;;;968.6;;;;;;;;;;;;0;;;;;;;;;;;;;;
ALT;09.01.1864 00:00;-4.9;;;;;;;;968.2;;;;;;;;;;;;0;;;;;;;;;;;;;;
ALT;10.01.1864 00:00;-6.6;;;;;;;;969.8;;;;;;;;;;;;0;;;;;;;;;;;;;;
ALT;11.01.1864 00:00;-4;;;;;;;;971.9;;;;;;;;;;;;0;;;;;;;;;;;;;;
ALT;12.01.1864 00:00;-5.7;;;;;;;;975;;;;;;;;;;;;0;;;;;;;;;;;;;;
ALT;13.01.1864 00:00;-6.2;;;;;;;;973.8;;;;;;;;;;;;0;;;;;;;;;;;;;;
