station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
ANT;01.01.1864 00:00;-4.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;02.01.1864 00:00;-14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;03.01.1864 00:00;-17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;04.01.1864 00:00;-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;05.01.1864 00:00;-13.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;06.01.1864 00:00;-13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;07.01.1864 00:00;-8.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;08.01.1864 00:00;-4.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;09.01.1864 00:00;-8.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;10.01.1864 00:00;-14.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;11.01.1864 00:00;-10.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;12.01.1864 00:00;-13.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;13.01.1864 00:00;-12.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;14.01.1864 00:00;-14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;15.01.1864 00:00;-14.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;16.01.1864 00:00;-14.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;17.01.1864 00:00;-16.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;18.01.1864 00:00;-9.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;19.01.1864 00:00;-17.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;20.01.1864 00:00;-15.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;21.01.1864 00:00;-6.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;22.01.1864 00:00;-9.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;23.01.1864 00:00;-8.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;24.01.1864 00:00;-2.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;25.01.1864 00:00;-4.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;26.01.1864 00:00;-10.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;27.01.1864 00:00;-9.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;28.01.1864 00:00;-3.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;29.01.1864 00:00;-5.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;30.01.1864 00:00;-15.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;31.01.1864 00:00;-11.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;01.02.1864 00:00;-7.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;02.02.1864 00:00;-8.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;03.02.1864 00:00;-6.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;04.02.1864 00:00;-5.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;05.02.1864 00:00;-7.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;06.02.1864 00:00;-9.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;07.02.1864 00:00;-9.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;08.02.1864 00:00;-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;09.02.1864 00:00;-19.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;10.02.1864 00:00;-14.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
