station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
ARH;16.01.1993 00:00;1.2;3.2;-0.8;;;;99.7;6.6;986.7;;;;;;;;;;;;;;;;;;;;;;;;;;10.8
ARH;17.01.1993 00:00;0.1;1.8;-1.5;;;;99.5;6.1;983.2;;;;;;;;;;;;;;;;;;;;;;;;;;11.9
ARH;18.01.1993 00:00;1;4.1;-2.5;;;;97.2;6.4;983.9;;;;;;;;;;;;;;;;;;;;;;;;;;11
ARH;19.01.1993 00:00;4.2;8.4;1;;;;86.3;7;982.2;;;;;;;;;;;;;;;;;;;;;;;;;;7.8
ARH;20.01.1993 00:00;6.2;10.6;0.7;;;;64.3;6;982.7;;;;;;;;;;;;;;;;;;;;;;;;;;5.8
ARH;21.01.1993 00:00;6.2;11.7;-0.2;;;;65.8;6.1;985.2;;;;;;;;;;;;;;;;;;;;;;;;;;5.8
ARH;22.01.1993 00:00;4.7;11.4;-1.7;;;;72.3;;981.3;;;;;;;;;;;;;;;;;;;;;;;;;;7.3
ARH;23.01.1993 00:00;10.7;13.5;7.7;;;;67.3;8.6;980.8;;;;;;;;;;;;;;;;;;;;;;;;;;1.3
ARH;24.01.1993 00:00;11.8;14.3;4.9;;;;61.9;8.5;973.8;;;;;;;;;;;;;;;;;;;;;;;;;;0.2
ARH;25.01.1993 00:00;6.2;12.5;0.2;;;;66;6.4;970.2;;;;;;;;;;;;;;;;;;;;;;;;;;5.8
ARH;26.01.1993 00:00;1.6;3.4;-0.4;;;;60.6;4.1;978.3;;;;;;;;;;;;;;;;;;;;;;;;;;10.4
ARH;27.01.1993 00:00;3.2;6.2;-0.7;;;;82.8;6.3;972.7;;;;;;;;;;;;;;;;;;;;;;;;;;8.8
ARH;28.01.1993 00:00;4.4;6.1;2.8;;;;96;8.1;971.1;;;;;;;;;;;;;;;;;;;;;;;;;;7.6
ARH;29.01.1993 00:00;5.8;9.5;3.3;;;;90.9;8.3;972.3;;;;;;;;;;;;;;;;;;;;;;;;;;6.2
ARH;30.01.1993 00:00;3.3;4.9;1.2;;;;88.1;6.8;977.9;;;;;;;;;;;;;;;;;;;;;;;;;;8.7
ARH;31.01.1993 00:00;2.9;5.5;0.3;;;;86.9;6.5;983.8;;;;;;;;;;;;;;;;;;;;;;;;;;9.1
ARH;01.02.1993 00:00;0.9;2.5;-1.8;;;;87.2;5.7;989.6;;;;;1.3;3.6;;13;;;;;;;;;;;;;;;;98;;11.1
ARH;02.02.1993 00:00;-0.4;0.8;-1.4;;;;90.3;5.3;991.5;;;;;1.2;3.3;;11.9;;;;;;;;;;;;;;;;108;;12.4
ARH;03.02.1993 00:00;-0.9;0.5;-2.2;;;;88.4;5;990.7;;;;;1.1;4.3;;15.5;;;;;;;;;;;;;;;;180;;12.9
ARH;04.02.1993 00:00;-0.6;0.3;-1.7;;;;94.4;5.5;988.2;;;;;0.8;2.9;;10.4;;;;;;;;;;;;;;;;0;;12.6
ARH;05.02.1993 00:00;-1.4;-0.2;-3.1;;;;98.2;;987.3;;;;;0.7;3.4;;12.2;;;;;;;;;;;;;;;;270;;13.4
ARH;06.02.1993 00:00;0.1;3.1;-2.9;;;;94.9;5.8;986;;;;;0.8;3.4;;12.2;;;;;;;;;;;;;;;;252;;11.9
ARH;07.02.1993 00:00;4.1;9.8;-0.3;;;;85.5;7;985.1;;;;;1.8;6.9;;24.8;;;;;;;;;;;;;;;;274;;7.9
ARH;08.02.1993 00:00;3.7;4.3;2.7;;;;86;6.8;985.7;;;;;1.2;4;;14.4;;;;;;;;;;;;;;;;360;;8.3
ARH;09.02.1993 00:00;2.1;3;1.6;;;;86.3;6.1;984.1;;;;;1.1;4.8;;17.3;;;;;;;;;;;;;;;;342;;9.9
ARH;10.02.1993 00:00;1.7;2.2;1.1;;;;84.7;5.8;983.6;;;;;1;3.5;;12.6;;;;;;;;;;;;;;;;90;;10.3
ARH;11.02.1993 00:00;1.1;2.3;0.4;;;;87.2;5.8;985.3;;;;;1.2;4.4;;15.8;;;;;;;;;;;;;;;;315;;10.9
ARH;12.02.1993 00:00;0.7;1.3;0.2;;;;89.8;5.8;987.6;;;;;0.9;3.6;;13;;;;;;;;;;;;;;;;0;;11.3
