station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
BAN;07.01.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;14;;;;9;104;22;;;;;
BAN;08.01.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;5;;;;3;0;0;;;;;
BAN;09.01.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;36;;;;29;34;7;;;;;
BAN;10.01.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;85;;;;22;396;82;;;;;
BAN;11.01.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;88;;;;19;483;100;;;;;
BAN;12.01.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;95;;;;17;486;100;;;;;
BAN;13.01.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;64;;;;26;213;44;;;;;
BAN;14.01.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;94;;;;14;487;99;;;;;
BAN;15.01.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;91;;;;11;494;100;;;;;
BAN;16.01.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;92;;;;12;489;99;;;;;
BAN;17.01.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;91;;;;17;486;99;;;;;
BAN;18.01.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;95;;;;21;489;99;;;;;
BAN;19.01.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;16;;;;9;150;30;;;;;
BAN;20.01.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;21;;;;13;46;9;;;;;
BAN;21.01.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;17;;;;14;9;2;;;;;
BAN;22.01.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;24;;;;19;15;3;;;;;
BAN;23.01.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;45;;;;32;156;31;;;;;
BAN;24.01.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;19;;;;11;179;35;;;;;
BAN;25.01.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;42;;;;36;42;8;;;;;
BAN;26.01.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;26;;;;24;0;0;;;;;
BAN;27.01.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;18;;;;16;0;0;;;;;
BAN;28.01.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;40;;;;34;50;10;;;;;
BAN;29.01.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;20;;;;18;1;0;;;;;
BAN;30.01.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;22;;;;20;0;0;;;;;
BAN;31.01.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;34;;;;32;0;0;;;;;
BAN;01.02.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;52;;;;50;0;0;;;;;
BAN;02.02.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;49;;;;47;0;0;;;;;
BAN;03.02.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;129;;;;58;422;78;;;;;
BAN;04.02.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;148;;;;55;514;94;;;;;
BAN;05.02.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;135;;;;38;527;96;;;;;
BAN;06.02.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;143;;;;30;552;100;;;;;
BAN;07.02.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;84;;;;67;39;7;;;;;
BAN;08.02.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;96;;;;62;247;44;;;;;
BAN;09.02.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;113;;;;47;353;63;;;;;
BAN;10.02.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;130;;;;64;358;64;;;;;
BAN;11.02.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;99;;;;78;100;18;;;;;
BAN;12.02.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;139;;;;55;496;87;;;;;
BAN;13.02.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;58;;;;50;56;10;;;;;
BAN;14.02.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;68;;;;58;60;10;;;;;
BAN;15.02.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;19;;;;13;73;13;;;;;
BAN;16.02.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;90;;;;69;108;19;;;;;
BAN;17.02.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;117;;;;51;330;57;;;;;
BAN;18.02.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;151;;;;34;579;99;;;;;
BAN;19.02.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;24;;;;15;193;33;;;;;
BAN;20.02.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;114;;;;68;204;34;;;;;
BAN;21.02.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;171;;;;28;590;98;;;;;
BAN;22.02.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;167;;;;20;590;97;;;;;
BAN;23.02.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;51;;;;39;82;13;;;;;
BAN;24.02.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;162;;;;18;589;96;;;;;
BAN;25.02.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;64;;;;47;106;17;;;;;
BAN;26.02.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;59;;;;46;55;9;;;;;
BAN;27.02.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;177;;;;24;606;99;;;;;
BAN;28.02.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;158;;;;36;515;83;;;;;
BAN;29.02.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;170;;;;19;614;99;;;;;
BAN;01.03.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;178;;;;19;617;99;;;;;
BAN;02.03.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;177;;;;20;619;99;;;;;
BAN;03.03.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;175;;;;38;601;96;;;;;
BAN;04.03.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;166;;;;40;593;94;;;;;
BAN;05.03.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;67;;;;57;29;5;;;;;
BAN;06.03.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;156;;;;57;342;53;;;;;
BAN;07.03.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;171;;;;62;588;91;;;;;
BAN;08.03.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;73;;;;50;144;22;;;;;
BAN;09.03.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;203;;;;40;617;95;;;;;
BAN;10.03.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;195;;;;28;645;99;;;;;
BAN;11.03.2012 00:00;;;;;;;;;;;;;;;;;;;;;;;;165;;;;83;373;57;;;;;
