station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
BER;01.01.1864 00:00;-1.3;0.7;-5.7;;;;95.3;5.4;939.6;;;;;0.4;;1.4;;;;;4.7;;;;;;;;;;;;;;
BER;02.01.1864 00:00;-10.3;-5.7;-12.8;;;;91;2.7;949.2;;;;;5.3;;19.1;;;;;4.9;;;;;;;;;;;;;;
BER;03.01.1864 00:00;-12.2;-10.2;-13.6;;;;92;2.3;951;;;;;12.3;;44.3;;;;;0.4;;;;;;;;;;;;;;
BER;04.01.1864 00:00;-11.9;-10.9;-14.2;;;;92;2.3;952.8;;;;;1.4;;5;;;;;0;;;;;;;;;;;;;;
BER;05.01.1864 00:00;-12.8;-8.1;-15.6;;;;98;2.4;955.2;;;;;0.4;;1.4;;;;;0;;;;;;;;;;;;;;
BER;06.01.1864 00:00;-11.8;-7.8;-15.9;;;;89.7;2.4;954.7;;;;;0.4;;1.4;;;;;0;;;;;;;;;;;;;;
BER;07.01.1864 00:00;-9.4;-6.8;-13.2;;;;95;2.9;953.7;;;;;0.4;;1.4;;;;;0;;;;;;;;;;;;;;
BER;08.01.1864 00:00;-9.1;-6.3;-11.8;;;;97.3;3.1;953.8;;;;;0;;0;;;;;0;;;;;;;;;;;;;;
BER;09.01.1864 00:00;-9.5;-4.3;-13.7;;;;89.3;2.9;953.2;;;;;0;;0;;;;;0;;;;;;;;;;;;;;
BER;10.01.1864 00:00;-11;-5.5;-15.3;;;;92.7;2.6;954.8;;;;;0.4;;1.4;;;;;0;;;;;;;;;;;;;;
BER;11.01.1864 00:00;-10.7;-4.5;-15.1;;;;99;2.6;957;;;;;0.4;;1.4;;;;;0;;;;;;;;;;;;;;
BER;12.01.1864 00:00;-10.1;-7.3;-12.1;;;;97;2.8;960.3;;;;;0.4;;1.4;;;;;0;;;;;;;;;;;;;;
BER;13.01.1864 00:00;-12;-7;-15.6;;;;96.7;2.6;959.2;;;;;0.4;;1.4;;;;;0;;;;;;;;;;;;;;
BER;14.01.1864 00:00;-11.2;-5.6;-16.7;;;;93.3;2.6;957.2;;;;;0;;0;;;;;0;;;;;;;;;;;;;;
BER;15.01.1864 00:00;-12;-6.9;-16.8;;;;100;2.6;958.4;;;;;0;;0;;;;;0;;;;;;;;;;;;;;
BER;16.01.1864 00:00;-11;-8.8;-16.3;;;;96;2.6;959.2;;;;;1.4;;5;;;;;0;;;;;;;;;;;;;;
BER;17.01.1864 00:00;-9.1;-5.5;-11.6;;;;95.7;3.1;958.6;;;;;0.4;;1.4;;;;;0;;;;;;;;;;;;;;
BER;18.01.1864 00:00;-9.2;-6.2;-11.6;;;;97;3;958.6;;;;;0.4;;1.4;;;;;0;;;;;;;;;;;;;;
BER;19.01.1864 00:00;-9.4;-4.3;-12.3;;;;97;3.2;963.2;;;;;2.4;;8.6;;;;;0;;;;;;;;;;;;;;
BER;20.01.1864 00:00;-9.5;-4.3;-14.7;;;;96.7;3;963.8;;;;;0;;0;;;;;0;;;;;;;;;;;;;;
BER;21.01.1864 00:00;-7.6;-1.8;-13.9;;;;95.3;3.4;959.7;;;;;1.4;;5;;;;;0;;;;;;;;;;;;;;
BER;22.01.1864 00:00;-4.9;-3.7;-10.3;;;;83.3;3.5;960;;;;;0.4;;1.4;;;;;0;;;;;;;;;;;;;;
BER;23.01.1864 00:00;-2.4;5;-8.7;;;;88.3;4.7;959.2;;;;;1.4;;5;;;;;0;;;;;;;;;;;;;;
BER;24.01.1864 00:00;2.6;5;-3;;;;85.7;6.3;957.1;;;;;;;;;;;;0.7;;;;;;;;;;;;;;
BER;25.01.1864 00:00;2.6;4.9;1.5;;;;91;6.8;961.6;;;;;;;;;;;;5.4;;;;;;;;;;;;;;
BER;26.01.1864 00:00;1.5;7;-1.9;;;;86;6.1;961.7;;;;;0.4;;1.4;;;;;0;;;;;;;;;;;;;;
BER;27.01.1864 00:00;3;8;-2.3;;;;80.7;5.9;959.4;;;;;0;;0;;;;;0;;;;;;;;;;;;;;
BER;28.01.1864 00:00;3;7.7;1.3;;;;87.7;6.8;952.6;;;;;2.4;;8.6;;;;;0;;;;;;;;;;;;;;
BER;29.01.1864 00:00;0.3;2.3;-2.9;;;;96.7;6.1;952.1;;;;;5.3;;19.1;;;;;7.2;;;;;;;;;;;;;;
BER;30.01.1864 00:00;-4.9;-2.9;-8.3;;;;92.3;4;959.5;;;;;5.3;;19.1;;;;;1.3;;;;;;;;;;;;;;
BER;31.01.1864 00:00;-8.2;-4.6;-11;;;;94;3.2;959.6;;;;;0.4;;1.4;;;;;0;;;;;;;;;;;;;;
BER;01.02.1864 00:00;-5.6;0.9;-10.3;;;;93;3.9;961.2;;;;;1.4;;5;;;;;0;;;;;;;;;;;;;;
BER;02.02.1864 00:00;-3.2;3.8;-9.5;;;;79.3;3.8;961.4;;;;;0;;0;;;;;0;;;;;;;;;;;;;;
BER;03.02.1864 00:00;-2.6;6.4;-8.7;;;;82;4.1;959.5;;;;;0;;0;;;;;0;;;;;;;;;;;;;;
BER;04.02.1864 00:00;-0.8;1.3;-4;;;;94.7;5.5;952.4;;;;;0.4;;1.4;;;;;6.4;;;;;;;;;;;;;;
BER;05.02.1864 00:00;-3.2;-1.1;-5.9;;;;91;4.4;948.4;;;;;2.4;;8.6;;;;;1.3;;;;;;;;;;;;;;
BER;06.02.1864 00:00;-3.7;-2.9;-4.7;;;;88.7;4.1;940.3;;;;;2.4;;8.6;;;;;0.6;;;;;;;;;;;;;;
BER;07.02.1864 00:00;-4.6;-1.3;-5.7;;;;96.3;4.3;940;;;;;0.4;;1.4;;;;;0.8;;;;;;;;;;;;;;
BER;08.02.1864 00:00;-6;-1.3;-9.3;;;;93;3.9;938.5;;;;;0.4;;1.4;;;;;3.2;;;;;;;;;;;;;;
BER;09.02.1864 00:00;-7.7;-1.9;-9.1;;;;91.7;3.4;936.4;;;;;0;;0;;;;;0;;;;;;;;;;;;;;
BER;10.02.1864 00:00;-7.2;-2.5;-12.3;;;;94.3;3.6;933.6;;;;;0;;0;;;;;0;;;;;;;;;;;;;;
BER;11.02.1864 00:00;-5.5;2.2;-11.4;;;;89.3;3.9;938.4;;;;;0.4;;1.4;;;;;0;;;;;;;;;;;;;;
BER;12.02.1864 00:00;-5.9;-0.3;-15.8;;;;90.7;3.7;949.5;;;;;0;;0;;;;;0;;;;;;;;;;;;;;
BER;13.02.1864 00:00;2.5;9.9;-3;;;;97.3;7.4;957.5;;;;;0;;0;;;;;5.1;;;;;;;;;;;;;;
BER;14.02.1864 00:00;2.7;9.4;0.1;;;;90.7;7;961.5;;;;;1.4;;5;;;;;0;;;;;;;;;;;;;;
BER;15.02.1864 00:00;2.5;8.9;-2;;;;84.7;6.3;955.9;;;;;0.4;;1.4;;;;;0;;;;;;;;;;;;;;
BER;16.02.1864 00:00;5.1;10.7;1.7;;;;82;7.2;949.6;;;;;1.4;;5;;;;;0;;;;;;;;;;;;;;
BER;17.02.1864 00:00;1;6.8;-1.9;;;;82;5.7;941.7;;;;;;;;;;;;0;;;;;;;;;;;;;;
BER;18.02.1864 00:00;-2.1;3.1;-4.5;;;;88.7;4.8;944.3;;;;;0.4;;1.4;;;;;11;;;;;;;;;;;;;;
BER;19.02.1864 00:00;-7.1;-4.5;-8.8;;;;88.3;3.2;944.9;;;;;6.7;;24.1;;;;;0;;;;;;;;;;;;;;
BER;20.02.1864 00:00;-6.7;-4.9;-11.9;;;;92.7;3.3;937.9;;;;;1.4;;5;;;;;0;;;;;;;;;;;;;;
BER;21.02.1864 00:00;-2.4;2.2;-7.9;;;;88.7;4.5;929.9;;;;;0;;0;;;;;0;;;;;;;;;;;;;;
BER;22.02.1864 00:00;1.8;5.7;-1.5;;;;90.3;6.2;942.4;;;;;0;;0;;;;;0.5;;;;;;;;;;;;;;
BER;23.02.1864 00:00;1.8;6.2;-0.7;;;;87.7;6.2;942.3;;;;;0;;0;;;;;0;;;;;;;;;;;;;;
BER;24.02.1864 00:00;2.3;9.2;-2.6;;;;85;6.1;945.4;;;;;0.4;;1.4;;;;;0;;;;;;;;;;;;;;
BER;25.02.1864 00:00;4;11.9;-1.5;;;;82;6.7;945.2;;;;;0.4;;1.4;;;;;0;;;;;;;;;;;;;;
BER;26.02.1864 00:00;4.7;12.4;0.7;;;;79;6.9;945;;;;;0;;0;;;;;0;;;;;;;;;;;;;;
BER;27.02.1864 00:00;3.2;8.8;-0.7;;;;86;6.6;943.6;;;;;0;;0;;;;;0;;;;;;;;;;;;;;
BER;28.02.1864 00:00;5.3;11.2;-0.1;;;;78;6.7;941.3;;;;;0;;0;;;;;0;;;;;;;;;;;;;;
BER;29.02.1864 00:00;5.2;10.7;0.8;;;;82;7.2;937.7;;;;;2.4;;8.6;;;;;0;;;;;;;;;;;;;;
BER;01.03.1864 00:00;2.8;8.2;0.2;;;;83.3;6.3;947.7;;;;;0;;0;;;;;1.5;;;;;;;;;;;;;;
BER;02.03.1864 00:00;0.4;3.9;-2.8;;;;89;5.6;944.7;;;;;1.4;;5;;;;;0;;;;;;;;;;;;;;
BER;03.03.1864 00:00;4.2;9.6;0;;;;86.7;7.1;944.9;;;;;1.4;;5;;;;;3.4;;;;;;;;;;;;;;
BER;04.03.1864 00:00;6.9;15.2;;;;;75.7;7.4;942.5;;;;;0.4;;1.4;;;;;0;;;;;;;;;;;;;;
BER;05.03.1864 00:00;8.1;12.5;3.6;;;;69;7.4;933.4;;;;;0;;0;;;;;0;;;;;;;;;;;;;;
BER;06.03.1864 00:00;7;9.4;3.2;;;;80.3;8.1;937.1;;;;;3.5;;12.6;;;;;3.6;;;;;;;;;;;;;;
BER;07.03.1864 00:00;9.4;15.7;1.7;;;;70.7;7.8;937.8;;;;;3.5;;12.6;;;;;0;;;;;;;;;;;;;;
BER;08.03.1864 00:00;7.1;14;2.7;;;;79.7;8;935.6;;;;;3.5;;12.6;;;;;0;;;;;;;;;;;;;;
