station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
BIE;01.05.1974 00:00;;;;;;;;;;;;;;;;;;;;;1.6;;;;;;;;;;;;;;
BIE;02.05.1974 00:00;;;;;;;;;;;;;;;;;;;;;0.8;;;;;;;;;;;;;;
BIE;03.05.1974 00:00;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
BIE;04.05.1974 00:00;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;
BIE;05.05.1974 00:00;;;;;;;;;;;;;;;;;;;;;0.6;;;;;;;;;;;;;;
BIE;06.05.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;07.05.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;08.05.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;09.05.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;10.05.1974 00:00;;;;;;;;;;;;;;;;;;;;;11.3;;;;;;;;;;;;;;
BIE;11.05.1974 00:00;;;;;;;;;;;;;;;;;;;;;4.3;;;;;;;;;;;;;;
BIE;12.05.1974 00:00;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;
BIE;13.05.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;14.05.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;15.05.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;16.05.1974 00:00;;;;;;;;;;;;;;;;;;;;;7.3;;;;;;;;;;;;;;
BIE;17.05.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;18.05.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;19.05.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;20.05.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;21.05.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;22.05.1974 00:00;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;
BIE;23.05.1974 00:00;;;;;;;;;;;;;;;;;;;;;3.1;;;;;;;;;;;;;;
BIE;24.05.1974 00:00;;;;;;;;;;;;;;;;;;;;;1.8;;;;;;;;;;;;;;
BIE;25.05.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;26.05.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;27.05.1974 00:00;;;;;;;;;;;;;;;;;;;;;7.8;;;;;;;;;;;;;;
BIE;28.05.1974 00:00;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;
BIE;29.05.1974 00:00;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;
BIE;30.05.1974 00:00;;;;;;;;;;;;;;;;;;;;;25.1;;;;;;;;;;;;;;
BIE;31.05.1974 00:00;;;;;;;;;;;;;;;;;;;;;56.2;;;;;;;;;;;;;;
BIE;01.06.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;02.06.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;03.06.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;04.06.1974 00:00;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;
BIE;05.06.1974 00:00;;;;;;;;;;;;;;;;;;;;;14.2;;;;;;;;;;;;;;
BIE;06.06.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;07.06.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;08.06.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;09.06.1974 00:00;;;;;;;;;;;;;;;;;;;;;1.1;;;;;;;;;;;;;;
BIE;10.06.1974 00:00;;;;;;;;;;;;;;;;;;;;;3.4;;;;;;;;;;;;;;
BIE;11.06.1974 00:00;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;
BIE;12.06.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;13.06.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;14.06.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;15.06.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;16.06.1974 00:00;;;;;;;;;;;;;;;;;;;;;5.8;;;;;;;;;;;;;;
BIE;17.06.1974 00:00;;;;;;;;;;;;;;;;;;;;;15.9;;;;;;;;;;;;;;
BIE;18.06.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;19.06.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;20.06.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;21.06.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;22.06.1974 00:00;;;;;;;;;;;;;;;;;;;;;1.5;;;;;;;;;;;;;;
BIE;23.06.1974 00:00;;;;;;;;;;;;;;;;;;;;;5.9;;;;;;;;;;;;;;
BIE;24.06.1974 00:00;;;;;;;;;;;;;;;;;;;;;1.5;;;;;;;;;;;;;;
BIE;25.06.1974 00:00;;;;;;;;;;;;;;;;;;;;;0.7;;;;;;;;;;;;;;
BIE;26.06.1974 00:00;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;
BIE;27.06.1974 00:00;;;;;;;;;;;;;;;;;;;;;22.2;;;;;;;;;;;;;;
BIE;28.06.1974 00:00;;;;;;;;;;;;;;;;;;;;;39.8;;;;;;;;;;;;;;
BIE;29.06.1974 00:00;;;;;;;;;;;;;;;;;;;;;11.8;;;;;;;;;;;;;;
BIE;30.06.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;01.07.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;02.07.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;03.07.1974 00:00;;;;;;;;;;;;;;;;;;;;;9.7;;;;;;;;;;;;;;
BIE;04.07.1974 00:00;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;
BIE;05.07.1974 00:00;;;;;;;;;;;;;;;;;;;;;2.2;;;;;;;;;;;;;;
BIE;06.07.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;07.07.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;08.07.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;09.07.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;10.07.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;11.07.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;12.07.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;13.07.1974 00:00;;;;;;;;;;;;;;;;;;;;;14.4;;;;;;;;;;;;;;
BIE;14.07.1974 00:00;;;;;;;;;;;;;;;;;;;;;2.8;;;;;;;;;;;;;;
BIE;15.07.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BIE;16.07.1974 00:00;;;;;;;;;;;;;;;;;;;;;2.9;;;;;;;;;;;;;;
BIE;17.07.1974 00:00;;;;;;;;;;;;;;;;;;;;;3.5;;;;;;;;;;;;;;
BIE;18.07.1974 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
