station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
BOL;10.07.1993 00:00;;;;;;;;;;;;;;2.1;13;;46.8;;;;;;;;;;;;;;;;217;;
BOL;11.07.1993 00:00;;;;;;;;;;;;;;1.7;9.4;;33.8;;;;;;;;;;;;;;;;236;;
BOL;12.07.1993 00:00;;;;;;;;;;;;;;2.3;13.6;;49;;;;;;;;;;;;;;;;237;;
BOL;13.07.1993 00:00;;;;;;;;;;;;;;0.9;5.3;;19.1;;;;;;;;;;;;;;;;72;;
BOL;14.07.1993 00:00;;;;;;;;;;;;;;2.4;9;;32.4;;;;;;;;;;;;;;;;232;;
BOL;15.07.1993 00:00;;;;;;;;;;;;;;2.2;10.5;;37.8;;;;;;;;;;;;;;;;240;;
BOL;16.07.1993 00:00;;;;;;;;;;;;;;3;11.3;;40.7;;;;;;;;;;;;;;;;241;;
BOL;17.07.1993 00:00;;;;;;;;;;;;;;1.7;10.9;;39.2;;;;;;;;;;;;;;;;225;;
BOL;18.07.1993 00:00;;;;;;;;;;;;;;2;10.9;;39.2;;;;;;;;;;;;;;;;90;;
BOL;19.07.1993 00:00;;;;;;;;;;;;;;2;9.5;;34.2;;;;;;;;;;;;;;;;216;;
BOL;20.07.1993 00:00;;;;;;;;;;;;;;1.9;13;;46.8;;;;;;;;;;;;;;;;220;;
BOL;21.07.1993 00:00;;;;;;;;;;;;;;0.9;8.3;;29.9;;;;;;;;;;;;;;;;63;;
BOL;22.07.1993 00:00;;;;;;;;;;;;;;0.9;6;;21.6;;;;;;;;;;;;;;;;68;;
BOL;23.07.1993 00:00;;;;;;;;;;;;;;2.3;8;;28.8;;;;;;;;;;;;;;;;58;;
BOL;24.07.1993 00:00;;;;;;;;;;;;;;2.1;9.3;;33.5;;;;;;;;;;;;;;;;63;;
BOL;25.07.1993 00:00;;;;;;;;;;;;;;3.2;11.5;;41.4;;;;;;;;;;;;;;;;226;;
BOL;26.07.1993 00:00;;;;;;;;;;;;;;1.6;9.2;;33.1;;;;;;;;;;;;;;;;225;;
BOL;27.07.1993 00:00;;;;;;;;;;;;;;3;11;;39.6;;;;;;;;;;;;;;;;209;;
BOL;28.07.1993 00:00;;;;;;;;;;;;;;2.6;12.3;;44.3;;;;;;;;;;;;;;;;239;;
BOL;29.07.1993 00:00;;;;;;;;;;;;;;2;6.2;;22.3;;;;;;;;;;;;;;;;68;;
BOL;30.07.1993 00:00;;;;;;;;;;;;;;1.7;8.5;;30.6;;;;;;;;;;;;;;;;76;;
BOL;31.07.1993 00:00;;;;;;;;;;;;;;2.5;13.5;;48.6;;;;;;;;;;;;;;;;90;;
BOL;01.08.1993 00:00;;;;;;;;;;;;;;2.4;8.6;;31;;;;;;;;;;;;;;;;47;;
BOL;02.08.1993 00:00;;;;;;;;;;;;;;1.6;10.1;;36.4;;;;;;;;;;;;;;;;222;;
BOL;03.08.1993 00:00;;;;;;;;;;;;;;1.5;8;;28.8;;;;;;;;;;;;;;;;81;;
