station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
BRZ;01.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;8.4;;;;;;;;;;;;;;
BRZ;02.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0.8;;;;;;;;;;;;;;
BRZ;03.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;04.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;05.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;06.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;07.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;08.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;09.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;10.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;11.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;12.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;13.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;14.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;15.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;16.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;17.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;18.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;19.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;20.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;3.5;;;;;;;;;;;;;;
BRZ;21.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;14.3;;;;;;;;;;;;;;
BRZ;22.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;
BRZ;23.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;24.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;25.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0.7;;;;;;;;;;;;;;
BRZ;26.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;17.5;;;;;;;;;;;;;;
BRZ;27.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;25.9;;;;;;;;;;;;;;
BRZ;28.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;8.3;;;;;;;;;;;;;;
BRZ;29.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;8.4;;;;;;;;;;;;;;
BRZ;30.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;31.01.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;01.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;4.6;;;;;;;;;;;;;;
BRZ;02.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;1.4;;;;;;;;;;;;;;
BRZ;03.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;04.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;05.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;1.2;;;;;;;;;;;;;;
BRZ;06.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;2.6;;;;;;;;;;;;;;
BRZ;07.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0.8;;;;;;;;;;;;;;
BRZ;08.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;
BRZ;09.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;10.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;11.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;1.3;;;;;;;;;;;;;;
BRZ;12.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0.9;;;;;;;;;;;;;;
BRZ;13.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;6.2;;;;;;;;;;;;;;
BRZ;14.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;
BRZ;15.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;16.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;3.9;;;;;;;;;;;;;;
BRZ;17.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;1.3;;;;;;;;;;;;;;
BRZ;18.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;3.2;;;;;;;;;;;;;;
BRZ;19.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;
BRZ;20.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;21.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;22.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;23.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;24.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;25.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;26.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;27.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;28.02.1901 00:00;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;
BRZ;01.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
BRZ;02.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;13.8;;;;;;;;;;;;;;
BRZ;03.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;9.7;;;;;;;;;;;;;;
BRZ;04.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;
BRZ;05.03.1901 00:00;;;;;;;;;;;;;;;;;;;;;5.6;;;;;;;;;;;;;;
