station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
BUS;22.05.1984 00:00;;17;9.4;;18.2;8.8;;;;;;;;;9.3;;33.5;;;;;;;;;;;;;;;;;;
BUS;23.05.1984 00:00;10.5;21.1;8.1;10.7;15.8;7.4;86;11;960;;;;;1.9;9.8;6.8;35.3;;;;3.6;3.6;;;;;;;63;7;;0;232;9.5;1.5
BUS;24.05.1984 00:00;11.7;16.8;7.1;11.7;18.1;6.2;74.1;9.9;960;;;;;2;8.7;7.2;31.3;;;;4.4;2.3;;;;;;;216;26;2.6;0;279;8.3;0.3
BUS;25.05.1984 00:00;10.1;12.1;9;9.8;11.9;8.5;91.3;11.3;959.7;;;;;1.6;7.2;5.8;25.9;;;;3.3;5;;;;;;;0;0;1.1;0;230;9.9;1.9
BUS;26.05.1984 00:00;12.3;18.6;8.4;12.8;20.3;7.8;81;11.3;960.4;;;;;1;9.5;3.6;34.2;;;;7.5;2;;;;;;;169;20;2.7;0;281;0;0
BUS;27.05.1984 00:00;9.5;12.6;7.2;9.6;13.8;6.8;84.2;9.9;963.6;;;;;1.8;9.8;6.5;35.3;;;;6.2;11.6;;;;;;;34;4;1.7;0;212;10.5;2.5
BUS;28.05.1984 00:00;8.4;12.1;5.9;8.6;14.7;4.8;81;8.8;964.8;;;;;1.8;9.6;6.5;34.6;;;;0.6;1.1;;;;;;;135;16;2;0;270;11.6;3.6
BUS;29.05.1984 00:00;9.1;13.6;5.9;9.4;15.3;4.9;73.5;8.3;964.7;;;;;1.9;8.1;6.8;29.2;;;;0;0;;;;;;;214;25;2.6;0;247;10.9;2.9
BUS;30.05.1984 00:00;8.3;10.4;4.9;8.1;10.7;4.3;89.4;9.8;966.6;;;;;3;12;10.8;43.2;;;;20.9;20.5;;;;;;;0;0;1;0;239;11.7;3.7
BUS;31.05.1984 00:00;12.5;17.2;8.8;13;19.8;7.9;81;11.6;966;;;;;1.7;7.2;6.1;25.9;;;;0;0.4;;;;;;;231;27;2.9;0;280;0;0
BUS;01.06.1984 00:00;14.6;22.1;7.2;15.2;24;6.1;73.6;11.7;966;;;;;1.3;8.6;4.7;31;;;;3.6;0;;271;;;;;462;54;3.9;0;252;0;0
BUS;02.06.1984 00:00;15.3;19.9;11.6;15.5;23.8;11.1;79.2;13.5;968;;;;;1.1;6.5;4;23.4;;;;0.1;3.7;;176;;;;;150;17;2.7;0;63;0;0
BUS;03.06.1984 00:00;15.1;22.3;7.9;15.5;23.8;7.6;76.9;13;960.4;;;;;2.4;11.6;8.6;41.8;;;;0.1;0;;178;;;;;194;23;3;0;273;0;0
BUS;04.06.1984 00:00;11.2;17.1;6.8;11.8;19.7;6.4;76.4;9.9;959.8;;;;;1.8;8.1;6.5;29.2;;;;2.9;0.1;;226;;;;;328;38;3.1;0;240;8.8;0.8
BUS;05.06.1984 00:00;11.5;15.8;8.9;11.8;17.1;8.5;84.3;11.3;962.3;;;;;1.7;8.9;6.1;32;;;;6.7;6.3;;142;;;;;20;2;2.2;0;243;8.5;0.5
BUS;06.06.1984 00:00;11.4;15.6;8.9;11.6;16.6;8.6;83.3;11.1;968.2;;;;;1.6;6.5;5.8;23.4;;;;0.1;3.4;;148;;;;;114;13;2.2;0;241;8.6;0.6
BUS;07.06.1984 00:00;11.9;17.9;7.6;12.6;19.9;6.9;77.9;10.6;965.9;;;;;1.7;11.6;6.1;41.8;;;;0;0;;232;;;;;313;36;3.2;0;270;8.1;0.1
BUS;08.06.1984 00:00;11.1;14.7;6.6;11.1;15.5;5.5;80.5;10.5;966.9;;;;;1.8;11;6.5;39.6;;;;0;0;;118;;;;;26;3;1.8;0;254;8.9;0.9
BUS;09.06.1984 00:00;14.5;20.7;7.9;15.1;22.7;6.8;70.9;11.3;972.2;;;;;2.2;9.4;7.9;33.8;;;;0;0;;258;;;;;505;58;3.7;0;291;0;0
BUS;10.06.1984 00:00;15.1;23.4;6.6;16.2;25.5;5.3;64.9;10.4;976.1;;;;;1.2;6.4;4.3;23;;;;0;0;;322;;;;;796;92;4.4;0;307;0;0
BUS;11.06.1984 00:00;15.9;22.7;9.3;16.6;26.9;8;70;12;978.5;;;;;1.2;8.7;4.3;31.3;;;;1;1;;246;;;;;470;54;3.6;0;45;0;0
BUS;12.06.1984 00:00;16.3;23.2;8.7;17.1;25.9;7.3;67.1;11.6;980.1;;;;;1.2;7.4;4.3;26.6;;;;0;0;;303;;;;;666;77;4.3;0;315;0;0
BUS;13.06.1984 00:00;18.3;26.2;9.5;19.3;29.5;8.2;62.5;12.3;979.7;;;;;1.2;7;4.3;25.2;;;;0;0;;318;;;;;782;90;4.7;0;278;0;0
BUS;14.06.1984 00:00;19.2;25.2;10.7;19.7;28;9.1;64.9;14;977.4;;;;;1.7;8.9;6.1;32;;;;0;0;;200;;;;;131;15;3.5;0.9;274;0;0
BUS;15.06.1984 00:00;18.1;21.5;12.5;19;24;11.5;64.4;13.3;976.4;;;;;2.7;9.9;9.7;35.6;;;;0;0;;273;;;;;523;60;4.2;0;321;0;0
BUS;16.06.1984 00:00;15.4;21.7;8.7;16.4;25.3;7;65.8;11.2;974.7;;;;;1.5;8.6;5.4;31;;;;0;0;;326;;;;;773;89;4.4;0;51;0;0
BUS;17.06.1984 00:00;17.2;25.1;9.8;18.2;28.3;8.2;65.3;12.2;974.1;;;;;1.4;6.3;5;22.7;;;;0;0;;327;;;;;778;89;4.8;0;59;0;0
BUS;18.06.1984 00:00;19.1;27.1;10.3;19.9;30.4;8.7;64.4;13.3;978;;;;;1.1;5.8;4;20.9;;;;0;0;;320;;;;;833;95;4.8;0.8;45;0;0
BUS;19.06.1984 00:00;20.3;28.4;11.6;21.1;31.1;10.2;64.4;14.5;979.7;;;;;1.1;6.5;4;23.4;;;;0;0;;321;;;;;841;96;5;2;90;0;0
BUS;20.06.1984 00:00;19.8;26.4;11.4;20.2;28.7;10.2;73.8;16.6;974.7;;;;;1;8;3.6;28.8;;;;0;0;;202;;;;;330;38;3.3;1.5;230;0;0
BUS;21.06.1984 00:00;17.2;20.3;14.3;17;20.9;13.5;90.8;17.8;969.1;;;;;1;7;3.6;25.2;;;;13.7;13.7;;77;;;;;68;8;1.5;0;247;0;0
BUS;22.06.1984 00:00;19.2;23.8;15.8;19.4;25.6;14;72.9;15.8;970.6;;;;;2.3;11.2;8.3;40.3;;;;1.5;1.5;;242;;;;;496;57;4.1;0.9;270;0;0
BUS;23.06.1984 00:00;15.5;18.9;13.6;15.3;19.4;13.2;82.8;14.5;971.4;;;;;2.6;12.5;9.4;45;;;;6.2;3.5;;92;;;;;5;1;2;0;243;0;0
BUS;24.06.1984 00:00;14;18.8;8.4;14.2;21.6;7.6;80.5;12.8;972;;;;;2.8;15.5;10.1;55.8;;;;5.3;8;;182;;;;;172;20;2.7;0;280;0;0
BUS;25.06.1984 00:00;14.3;20.1;6.7;15.3;22.2;5.7;68.7;10.9;976.3;;;;;;;;;;;;0;0;;261;;;;;493;56;;0;180;0;0
BUS;26.06.1984 00:00;18.1;23.7;11.3;19;27.7;10;68.2;13.8;976.8;;;;;;;;;;;;0;0;;260;;;;;483;55;;0;0;0;0
BUS;27.06.1984 00:00;18.6;26.6;9.2;20;30.6;7.9;68;14;973.6;;;;;;;;;;;;3.8;0;;319;;;;;805;93;;0.3;0;0;0
BUS;28.06.1984 00:00;16.4;22.5;13.6;16.3;23.3;12.8;89.1;16.6;968.7;;;;;;;;;;;;24.1;27.8;;138;;;;;109;13;;0;0;0;0
BUS;29.06.1984 00:00;14.3;19.1;9.4;14.6;20.4;8.6;71.9;11.5;970.3;;;;;;;;;;;;0;0.1;;167;;;;;162;19;;0;270;0;0
BUS;30.06.1984 00:00;15.3;21.3;7.7;16.4;25.5;6.5;66.5;11;972.5;;;;;1.5;9.7;5.4;34.9;;;;0;0;;290;;;;;658;76;4;0;299;0;0
BUS;01.07.1984 00:00;18.2;26;9.5;19.4;29.2;8.1;69.3;14;972.1;;;;;1;8;3.6;28.8;;;;7.2;0;;294;;;;;652;75;4.3;0;90;0;0
BUS;02.07.1984 00:00;16.4;20.1;12.7;16.1;21.7;11.5;79.8;14.7;972.9;;;;;3.2;13.9;11.5;50;;;;8.7;14.6;;98;;;;;123;14;2.2;0;255;0;0
BUS;03.07.1984 00:00;13.7;16.8;10.9;14.6;20.5;9.8;65.5;10.2;977.9;;;;;3.3;11.2;11.9;40.3;;;;0;1.3;;269;;;;;502;58;3.9;0;284;0;0
BUS;04.07.1984 00:00;13.3;17.4;10.1;14.5;23.1;9.4;70.9;10.6;978.9;;;;;1.6;7.6;5.8;27.4;;;;0;0;;220;;;;;406;47;3.1;0;315;0;0
BUS;05.07.1984 00:00;13.8;19.6;8.3;15.1;23.7;7;71.2;10.8;978.9;;;;;0.9;5.6;3.2;20.2;;;;0;0;;237;;;;;319;37;3.2;0;360;0;0
BUS;06.07.1984 00:00;15.7;23.9;6.6;17.1;27.9;5.9;66.3;11.1;976.5;;;;;1;5.1;3.6;18.4;;;;0;0;;321;;;;;824;95;4.3;0;135;0;0
BUS;07.07.1984 00:00;17.7;26.9;8.9;18.8;30.2;7.6;65.4;12.3;974;;;;;1.1;6.2;4;22.3;;;;0;0;;323;;;;;843;98;4.7;0;90;0;0
BUS;08.07.1984 00:00;20.3;30;10.7;21.5;33.8;9;67.1;15.2;972.3;;;;;1.1;6.5;4;23.4;;;;0;0;;315;;;;;821;95;5;2;198;0;0
BUS;09.07.1984 00:00;22.8;31.5;13.5;23.9;34.3;12.4;68.4;17.9;971.3;;;;;1;7.2;3.6;25.9;;;;0;0;;297;;;;;737;86;4.9;4.5;210;0;0
BUS;10.07.1984 00:00;23.9;33.1;14.7;25.1;36.7;13.7;66.6;18.4;971.3;;;;;0.8;4.6;2.9;16.6;;;;0;0;;293;;;;;761;88;4.9;5.6;166;0;0
BUS;11.07.1984 00:00;24;32.9;15.6;24.8;37.4;14.4;70.8;20.5;968.8;;;;;1.2;14.7;4.3;52.9;;;;0.4;0.4;;218;;;;;372;43;4.1;5.7;248;0;0
BUS;12.07.1984 00:00;21.5;26.5;17.6;23.1;32.5;16.5;69.7;17.7;975.4;;;;;2;9;7.2;32.4;;;;0;0;;246;;;;;419;49;4.4;3.2;322;0;0
BUS;13.07.1984 00:00;19.2;22.7;15.9;20.2;29.2;15;71.6;15.8;976.3;;;;;2;13.2;7.2;47.5;;;;0;0;;175;;;;;182;21;3.2;0.9;298;0;0
BUS;14.07.1984 00:00;19.5;25.1;12;21.1;30.6;10.6;64.9;14.3;973.2;;;;;1.9;10.1;6.8;36.4;;;;2.2;0;;278;;;;;500;58;4.4;1.2;274;0;0
BUS;15.07.1984 00:00;16.5;20.3;13.2;16.3;21.1;11.3;81.6;15.2;967.9;;;;;3;11;10.8;39.6;;;;14.5;16.7;;115;;;;;65;8;2.3;0;244;0;0
BUS;16.07.1984 00:00;14.5;18.7;10.6;14.9;22;8.2;70.5;11.4;972.3;;;;;2.3;10.2;8.3;36.7;;;;0.6;0.5;;215;;;;;316;37;3.3;0;291;0;0
BUS;17.07.1984 00:00;14.1;19.2;9.7;15.2;23.5;8.3;73.4;11.5;975.6;;;;;1.6;8.5;5.8;30.6;;;;0;0.1;;237;;;;;302;35;3.3;0;305;0;0
BUS;18.07.1984 00:00;14.6;22;6.6;16.1;26.7;5.3;69.6;11;975.8;;;;;1;5.8;3.6;20.9;;;;0;0;;319;;;;;809;96;4.1;0;180;0;0
BUS;19.07.1984 00:00;16.7;24.2;8.2;18.1;30;7.2;70.7;12.8;974.3;;;;;1.1;7.7;4;27.7;;;;0;0;;290;;;;;680;81;4;0;310;0;0
BUS;20.07.1984 00:00;18.1;24.6;11.1;19.5;30.1;9.6;71.5;14.3;973.8;;;;;1.1;7.5;4;27;;;;0;0;;289;;;;;699;83;4.1;0;333;0;0
