station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
CDF;01.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;1.2;;;;;;;;;;;;;;
CDF;02.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CDF;03.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;27.4;;;;;;;;;;;;;;
CDF;04.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;13.7;;;;;;;;;;;;;;
CDF;05.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;2.5;;;;;;;;;;;;;;
CDF;06.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CDF;07.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;1.1;;;;;;;;;;;;;;
CDF;08.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;3.1;;;;;;;;;;;;;;
CDF;09.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;8.6;;;;;;;;;;;;;;
CDF;10.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;10.4;;;;;;;;;;;;;;
CDF;11.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;7.6;;;;;;;;;;;;;;
CDF;12.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
CDF;13.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CDF;14.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CDF;15.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;
CDF;16.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;22.8;;;;;;;;;;;;;;
