station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
CEV;01.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;11.2;;;;;;;;;;;;;;
CEV;02.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;23.3;;;;;;;;;;;;;;
CEV;03.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;27.5;;;;;;;;;;;;;;
CEV;04.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;26.9;;;;;;;;;;;;;;
CEV;05.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;6.8;;;;;;;;;;;;;;
CEV;06.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;4.7;;;;;;;;;;;;;;
CEV;07.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;16.1;;;;;;;;;;;;;;
CEV;08.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CEV;09.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CEV;10.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CEV;11.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CEV;12.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CEV;13.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CEV;14.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CEV;15.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CEV;16.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;2.8;;;;;;;;;;;;;;
CEV;17.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CEV;18.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CEV;19.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
