station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
CHA;01.01.1981 00:00;-5.1;-1.8;-7;;;;91.6;3.9;;;;;;;;;;;;;7.8;5.1;;19;;;;;0;0;;0;;25.1;17.1
CHA;02.01.1981 00:00;-5.8;-3.4;-7.3;;;;95.5;3.8;;;;;;;;;;;;;26.1;25;;21;;;;;0;0;;0;;25.8;17.8
CHA;03.01.1981 00:00;-2.1;0;-3.9;;;;96.3;5;;;;;;;;;;;;;48.3;41;;17;;;;;0;0;;0;;22.1;14.1
CHA;04.01.1981 00:00;-4.2;0.9;-10;;;;94.9;4.3;;;;;;;;;;;;;8.2;20.3;;21;;;;;0;0;;0;;24.2;16.2
CHA;05.01.1981 00:00;-9.1;-8.2;-10;;;;91.4;2.8;;;;;;;;;;;;;7.1;0.4;;24;;;;;0;0;;0;;29.1;21.1
CHA;06.01.1981 00:00;-7.9;-4.8;-9.7;;;;90.6;3.1;;;;;;;;;;;;;7.8;14.5;;15;;;;;0;0;;0;;27.9;19.9
CHA;07.01.1981 00:00;-10.5;-9.1;-11.9;;;;88.1;2.4;;;;;;;;;;;;;0.4;0.4;;35;;;;;0;0;;0;;30.5;22.5
CHA;08.01.1981 00:00;-11.7;-8.1;-13.8;;;;80.8;2;;;;;;;;;;;;;0;0;;84;;;;;502;98;;0;;31.7;23.7
CHA;09.01.1981 00:00;-4.3;-0.9;-8.5;;;;81.2;3.7;;;;;;;;;;;;;0.1;0;;60;;;;;82;16;;0;;24.3;16.3
CHA;10.01.1981 00:00;-3.2;-1.5;-4.8;;;;98.6;4.8;;;;;;;;;;;;;3.7;3.7;;34;;;;;0;0;;0;;23.2;15.2
CHA;11.01.1981 00:00;-7;-4.5;-8.8;;;;95.8;3.5;;;;;;;;;;;;;0.2;0.3;;33;;;;;0;0;;0;;27;19
CHA;12.01.1981 00:00;-4.6;-2.4;-8.5;;;;87;3.8;;;;;;;;;;;;;0.9;0.8;;86;;;;;290;56;;0;;24.6;16.6
CHA;13.01.1981 00:00;-9.9;-7.4;-12.8;;;;93.2;2.7;;;;;;;;;;;;;0;0.1;;45;;;;;0;0;;0;;29.9;21.9
CHA;14.01.1981 00:00;-9;-5.6;-12.8;;;;86.6;2.8;;;;;;;;;;;;;26.8;6.2;;67;;;;;117;22;;0;;29;21
CHA;15.01.1981 00:00;-6.3;-0.7;-9.4;;;;87;3.4;;;;;;;;;;;;;6.9;26.9;;34;;;;;0;0;;0;;26.3;18.3
CHA;16.01.1981 00:00;-7.8;-3.6;-10.3;;;;78.9;2.7;;;;;;;;;;;;;12.8;9.3;;30;;;;;0;0;;0;;27.8;19.8
CHA;17.01.1981 00:00;-3.3;-1.7;-5.1;;;;89.9;4.3;;;;;;;;;;;;;16.8;15.4;;23;;;;;0;0;;0;;23.3;15.3
CHA;18.01.1981 00:00;-4.7;-3.4;-6.2;;;;87.3;3.8;;;;;;;;;;;;;2.4;7.9;;23;;;;;0;0;;0;;24.7;16.7
CHA;19.01.1981 00:00;-3.2;-0.8;-5.3;;;;89.5;4.3;;;;;;;;;;;;;14.4;8.4;;19;;;;;0;0;;0;;23.2;15.2
CHA;20.01.1981 00:00;-6.5;-3.8;-8.6;;;;93.9;3.6;;;;;;;;;;;;;0.9;6.9;;21;;;;;0;0;;0;;26.5;18.5
CHA;21.01.1981 00:00;-6;-2.5;-8.8;;;;57.4;2.2;;;;;;;;;;;;;0;0;;59;;;;;143;27;;0;;26;18
CHA;22.01.1981 00:00;-2.5;0;-4.7;;;;16.5;0.8;;;;;;;;;;;;;0;0;;115;;;;;550;102;;0;;22.5;14.5
