station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
CHD;01.01.1879 00:00;2.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;02.01.1879 00:00;1.6;;;;;;;;;;;;;;;;;;;;1.8;;;;;;;;;;;;;;
CHD;03.01.1879 00:00;4.9;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
CHD;04.01.1879 00:00;1.5;;;;;;;;;;;;;;;;;;;;19;;;;;;;;;;;;;;
CHD;05.01.1879 00:00;-6.3;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;
CHD;06.01.1879 00:00;-13.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;07.01.1879 00:00;-14;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;08.01.1879 00:00;-12;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;
CHD;09.01.1879 00:00;-12;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;
CHD;10.01.1879 00:00;-13.9;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;11.01.1879 00:00;-4;;;;;;;;;;;;;;;;;;;;6.2;;;;;;;;;;;;;;
CHD;12.01.1879 00:00;-5.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;13.01.1879 00:00;-5.1;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;14.01.1879 00:00;-6.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;15.01.1879 00:00;-1.9;;;;;;;;;;;;;;;;;;;;3.9;;;;;;;;;;;;;;
CHD;16.01.1879 00:00;-6.7;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;17.01.1879 00:00;-6.4;;;;;;;;;;;;;;;;;;;;3.9;;;;;;;;;;;;;;
CHD;18.01.1879 00:00;-8;;;;;;;;;;;;;;;;;;;;4.9;;;;;;;;;;;;;;
CHD;19.01.1879 00:00;-2.5;;;;;;;;;;;;;;;;;;;;1.3;;;;;;;;;;;;;;
CHD;20.01.1879 00:00;-10.7;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;21.01.1879 00:00;-7.5;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;22.01.1879 00:00;-1.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;23.01.1879 00:00;3.2;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;24.01.1879 00:00;1.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;25.01.1879 00:00;1.1;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;26.01.1879 00:00;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;27.01.1879 00:00;-1.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;28.01.1879 00:00;-2.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;29.01.1879 00:00;-4.8;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;30.01.1879 00:00;-6.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;31.01.1879 00:00;-6.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;01.02.1879 00:00;-2.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;02.02.1879 00:00;0.7;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;
CHD;03.02.1879 00:00;-0.3;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;
CHD;04.02.1879 00:00;1.9;;;;;;;;;;;;;;;;;;;;2.1;;;;;;;;;;;;;;
CHD;05.02.1879 00:00;-0.7;;;;;;;;;;;;;;;;;;;;3.6;;;;;;;;;;;;;;
CHD;06.02.1879 00:00;-2.8;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;07.02.1879 00:00;-0.2;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;08.02.1879 00:00;2.5;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;
CHD;09.02.1879 00:00;2.7;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;10.02.1879 00:00;5;;;;;;;;;;;;;;;;;;;;16.9;;;;;;;;;;;;;;
CHD;11.02.1879 00:00;-0.3;;;;;;;;;;;;;;;;;;;;14.7;;;;;;;;;;;;;;
CHD;12.02.1879 00:00;0.8;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;
CHD;13.02.1879 00:00;-0.9;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
CHD;14.02.1879 00:00;-1.8;;;;;;;;;;;;;;;;;;;;5.3;;;;;;;;;;;;;;
CHD;15.02.1879 00:00;-1.8;;;;;;;;;;;;;;;;;;;;0.3;;;;;;;;;;;;;;
CHD;16.02.1879 00:00;-2.2;;;;;;;;;;;;;;;;;;;;5.2;;;;;;;;;;;;;;
CHD;17.02.1879 00:00;-0.7;;;;;;;;;;;;;;;;;;;;8.5;;;;;;;;;;;;;;
CHD;18.02.1879 00:00;-4.2;;;;;;;;;;;;;;;;;;;;15.3;;;;;;;;;;;;;;
CHD;19.02.1879 00:00;-4;;;;;;;;;;;;;;;;;;;;2.9;;;;;;;;;;;;;;
CHD;20.02.1879 00:00;-0.9;;;;;;;;;;;;;;;;;;;;6.5;;;;;;;;;;;;;;
CHD;21.02.1879 00:00;-1.1;;;;;;;;;;;;;;;;;;;;7.8;;;;;;;;;;;;;;
CHD;22.02.1879 00:00;-2.4;;;;;;;;;;;;;;;;;;;;3.4;;;;;;;;;;;;;;
CHD;23.02.1879 00:00;-4.2;;;;;;;;;;;;;;;;;;;;3.7;;;;;;;;;;;;;;
CHD;24.02.1879 00:00;-7.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;25.02.1879 00:00;-8.7;;;;;;;;;;;;;;;;;;;;1.4;;;;;;;;;;;;;;
CHD;26.02.1879 00:00;-6.4;;;;;;;;;;;;;;;;;;;;0.4;;;;;;;;;;;;;;
CHD;27.02.1879 00:00;-6.3;;;;;;;;;;;;;;;;;;;;0.4;;;;;;;;;;;;;;
CHD;28.02.1879 00:00;-7.5;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;01.03.1879 00:00;-7.1;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;02.03.1879 00:00;-3.8;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;03.03.1879 00:00;-2.5;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;04.03.1879 00:00;-2.6;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;05.03.1879 00:00;-1.7;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;06.03.1879 00:00;-0.4;;;;;;;;;;;;;;;;;;;;1.3;;;;;;;;;;;;;;
CHD;07.03.1879 00:00;1.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;08.03.1879 00:00;-1;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;09.03.1879 00:00;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;10.03.1879 00:00;0.9;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;11.03.1879 00:00;2.3;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;
CHD;12.03.1879 00:00;3.5;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;13.03.1879 00:00;0.6;;;;;;;;;;;;;;;;;;;;1.1;;;;;;;;;;;;;;
CHD;14.03.1879 00:00;-4.1;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;15.03.1879 00:00;-2.2;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;16.03.1879 00:00;3.4;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;
CHD;17.03.1879 00:00;3.9;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;18.03.1879 00:00;2.6;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;19.03.1879 00:00;4.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;20.03.1879 00:00;8.2;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;21.03.1879 00:00;5.9;;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;
CHD;22.03.1879 00:00;5.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;23.03.1879 00:00;4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;24.03.1879 00:00;3.2;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;25.03.1879 00:00;3.2;;;;;;;;;;;;;;;;;;;;2.1;;;;;;;;;;;;;;
CHD;26.03.1879 00:00;2.7;;;;;;;;;;;;;;;;;;;;4.4;;;;;;;;;;;;;;
CHD;27.03.1879 00:00;3.7;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHD;28.03.1879 00:00;1.8;;;;;;;;;;;;;;;;;;;;7.4;;;;;;;;;;;;;;
CHD;29.03.1879 00:00;5.3;;;;;;;;;;;;;;;;;;;;4.4;;;;;;;;;;;;;;
CHD;30.03.1879 00:00;6;;;;;;;;;;;;;;;;;;;;4.5;;;;;;;;;;;;;;
CHD;31.03.1879 00:00;7.9;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
