station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
CHM;01.01.1864 00:00;-1.9;;;;;;;;873.5;;;;;;;;;;;;7.3;;;;;;;;;;;;;;
CHM;02.01.1864 00:00;-14.3;;;;;;;;880;;;;;;;;;;;;6.1;;;;;;;;;;;;;;
CHM;03.01.1864 00:00;-17.1;;;;;;;;881.1;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;04.01.1864 00:00;-15.5;;;;;;;;883.2;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;05.01.1864 00:00;-8.9;;;;;;;;885.7;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;06.01.1864 00:00;-4.9;;;;;;;;886;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;07.01.1864 00:00;-4.6;;;;;;;;885.2;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;08.01.1864 00:00;-2;;;;;;;;886;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;09.01.1864 00:00;-0.6;;;;;;;;886.2;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;10.01.1864 00:00;-1.3;;;;;;;;887.4;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;11.01.1864 00:00;-3.3;;;;;;;;888.7;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;12.01.1864 00:00;-2.7;;;;;;;;891.7;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;13.01.1864 00:00;0.3;;;;;;;;891.2;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;14.01.1864 00:00;-1.3;;;;;;;;889.4;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;15.01.1864 00:00;-3.5;;;;;;;;890;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;16.01.1864 00:00;-8.8;;;;;;;;890;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;17.01.1864 00:00;-4;;;;;;;;889.7;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;18.01.1864 00:00;-3.8;;;;;;;;889.9;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;19.01.1864 00:00;-3.9;;;;;;;;894.4;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;20.01.1864 00:00;-2.3;;;;;;;;895.9;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;21.01.1864 00:00;1;;;;;;;;892.4;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;22.01.1864 00:00;1.6;;;;;;;;893;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;23.01.1864 00:00;3;;;;;;;;893;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;24.01.1864 00:00;2.5;;;;;;;;892.2;;;;;;;;;;;;0.2;;;;;;;;;;;;;;
CHM;25.01.1864 00:00;-0.4;;;;;;;;895.3;;;;;;;;;;;;1.5;;;;;;;;;;;;;;
CHM;26.01.1864 00:00;0.1;;;;;;;;895;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;27.01.1864 00:00;1.6;;;;;;;;893.5;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;28.01.1864 00:00;-0.2;;;;;;;;886.9;;;;;;;;;;;;0.8;;;;;;;;;;;;;;
CHM;29.01.1864 00:00;-3.8;;;;;;;;885.8;;;;;;;;;;;;5.4;;;;;;;;;;;;;;
CHM;30.01.1864 00:00;-9.6;;;;;;;;891.2;;;;;;;;;;;;0.2;;;;;;;;;;;;;;
CHM;31.01.1864 00:00;-9.7;;;;;;;;890.4;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;01.02.1864 00:00;-2.5;;;;;;;;893.5;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;02.02.1864 00:00;-0.3;;;;;;;;894.5;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;03.02.1864 00:00;0;;;;;;;;892.9;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;04.02.1864 00:00;-3.6;;;;;;;;885.6;;;;;;;;;;;;0.9;;;;;;;;;;;;;;
CHM;05.02.1864 00:00;-7;;;;;;;;881;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;06.02.1864 00:00;-8.5;;;;;;;;873.2;;;;;;;;;;;;0.1;;;;;;;;;;;;;;
CHM;07.02.1864 00:00;-8.9;;;;;;;;872.5;;;;;;;;;;;;4.2;;;;;;;;;;;;;;
CHM;08.02.1864 00:00;-11.4;;;;;;;;870.4;;;;;;;;;;;;0.5;;;;;;;;;;;;;;
CHM;09.02.1864 00:00;-10.5;;;;;;;;868.4;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;10.02.1864 00:00;-9.1;;;;;;;;866;;;;;;;;;;;;0.2;;;;;;;;;;;;;;
CHM;11.02.1864 00:00;-7.9;;;;;;;;871.4;;;;;;;;;;;;0.4;;;;;;;;;;;;;;
CHM;12.02.1864 00:00;-5.5;;;;;;;;883.2;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;13.02.1864 00:00;3.4;;;;;;;;892.2;;;;;;;;;;;;21.2;;;;;;;;;;;;;;
CHM;14.02.1864 00:00;3;;;;;;;;896;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;15.02.1864 00:00;5.3;;;;;;;;891.2;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;16.02.1864 00:00;5.3;;;;;;;;884.8;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;17.02.1864 00:00;-3.9;;;;;;;;876.4;;;;;;;;;;;;3.6;;;;;;;;;;;;;;
CHM;18.02.1864 00:00;-7.3;;;;;;;;877.4;;;;;;;;;;;;6;;;;;;;;;;;;;;
CHM;19.02.1864 00:00;-11.9;;;;;;;;876.3;;;;;;;;;;;;1.1;;;;;;;;;;;;;;
CHM;20.02.1864 00:00;-8.8;;;;;;;;870.5;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;21.02.1864 00:00;-3.2;;;;;;;;863.9;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;22.02.1864 00:00;-1.7;;;;;;;;877.3;;;;;;;;;;;;0.2;;;;;;;;;;;;;;
CHM;23.02.1864 00:00;2.9;;;;;;;;877;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;24.02.1864 00:00;3.4;;;;;;;;880.5;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;25.02.1864 00:00;3.8;;;;;;;;880.7;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;26.02.1864 00:00;2.9;;;;;;;;880.6;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;27.02.1864 00:00;2.8;;;;;;;;879;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;28.02.1864 00:00;3.5;;;;;;;;876.7;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;29.02.1864 00:00;1.3;;;;;;;;873.2;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;01.03.1864 00:00;0.4;;;;;;;;882.3;;;;;;;;;;;;0.4;;;;;;;;;;;;;;
CHM;02.03.1864 00:00;-0.7;;;;;;;;879.2;;;;;;;;;;;;0.4;;;;;;;;;;;;;;
CHM;03.03.1864 00:00;2.6;;;;;;;;880.1;;;;;;;;;;;;4.4;;;;;;;;;;;;;;
CHM;04.03.1864 00:00;5.1;;;;;;;;878.2;;;;;;;;;;;;0.2;;;;;;;;;;;;;;
CHM;05.03.1864 00:00;6.8;;;;;;;;869.8;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHM;06.03.1864 00:00;3.3;;;;;;;;871.4;;;;;;;;;;;;7.8;;;;;;;;;;;;;;
CHM;07.03.1864 00:00;6.8;;;;;;;;874;;;;;;;;;;;;0.1;;;;;;;;;;;;;;
