station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
CHU;01.01.1887 00:00;-7.8;;;;;;;;945.7;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHU;02.01.1887 00:00;-8.3;;;;;;;;943.4;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHU;03.01.1887 00:00;-7.7;;;;;;;;943.9;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHU;04.01.1887 00:00;-3.1;;;;;;;;932.7;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHU;05.01.1887 00:00;-1.7;;;;;;;;922.1;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHU;06.01.1887 00:00;-5.1;;;;;;;;919.8;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHU;07.01.1887 00:00;-6;;;;;;;;922.8;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHU;08.01.1887 00:00;-1.2;;;;;;;;927.9;;;;;;;;;;;;1.3;;;;;;;;;;;;;;
CHU;09.01.1887 00:00;1.1;;;;;;;;928.4;;;;;;;;;;;;6.7;;;;;;;;;;;;;;
CHU;10.01.1887 00:00;-1.4;;;;;;;;939.3;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHU;11.01.1887 00:00;-5.6;;;;;;;;946.3;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHU;12.01.1887 00:00;-5.3;;;;;;;;950.6;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHU;13.01.1887 00:00;-8.4;;;;;;;;950.6;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHU;14.01.1887 00:00;-9.1;;;;;;;;948.9;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHU;15.01.1887 00:00;-11.9;;;;;;;;946;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHU;16.01.1887 00:00;-10.5;;;;;;;;941.3;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHU;17.01.1887 00:00;-10.9;;;;;;;;944.5;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHU;18.01.1887 00:00;-7.1;;;;;;;;948.9;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHU;19.01.1887 00:00;-2.8;;;;;;;;953.5;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHU;20.01.1887 00:00;-1.3;;;;;;;;954.6;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHU;21.01.1887 00:00;-1.3;;;;;;;;961.8;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHU;22.01.1887 00:00;-2;;;;;;;;962.7;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHU;23.01.1887 00:00;-2.4;;;;;;;;958.8;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHU;24.01.1887 00:00;-2.6;;;;;;;;954.8;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHU;25.01.1887 00:00;-0.8;;;;;;;;956.1;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHU;26.01.1887 00:00;-1.9;;;;;;;;959.6;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHU;27.01.1887 00:00;-2.5;;;;;;;;960;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHU;28.01.1887 00:00;-4.2;;;;;;;;960.1;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHU;29.01.1887 00:00;-5.4;;;;;;;;959.6;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHU;30.01.1887 00:00;-0.6;;;;;;;;957.9;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHU;31.01.1887 00:00;-3.4;;;;;;;;955.3;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHU;01.02.1887 00:00;2.6;;;;;;;;951.7;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHU;02.02.1887 00:00;1.8;;;;;;;;950.6;;;;;;;;;;;;0;;;;;;;;;;;;;;
CHU;03.02.1887 00:00;0.3;;;;;;;;956.7;;;;;;;;;;;;0;;;;;;;;;;;;;;
