station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
COV;27.07.1979 00:00;1.5;4.8;-0.2;;;;;4.9;689.7;;;;;;;;;;;;;;;;;;;;;;;;;;
COV;28.07.1979 00:00;1.6;5.5;-0.8;;;;;5.1;689.5;;;;;;;;;;;;;;;;;;;;;;;;;;
COV;29.07.1979 00:00;3.9;7;1.6;;;;;6.3;688;;;;;;;;;;;;;;;;;;;;;;;;;;
COV;30.07.1979 00:00;3.1;5.4;0.5;;;;;5.9;685.6;;;;;;;;;;;;;;;;;;;;;;;;;;
COV;31.07.1979 00:00;1.7;5;1.4;;;;;6.5;684;;;;;;;;;;;;;;;;;;;;;;;;;;
COV;01.08.1979 00:00;2.8;4.9;0;;;;88.8;6.9;683.9;;;;;;;;;;;;;;;;;;;;78;;;;;;
COV;02.08.1979 00:00;3.2;7.2;1.9;;;;77.4;6;685.7;;;;;;;;;;;;;;;;;;;;504;;;;;;
COV;03.08.1979 00:00;3;5.5;2;;;;82.6;6.4;685.9;;;;;;;;;;;;;;;;;;;;246;;;;;;
COV;04.08.1979 00:00;0.8;2.6;-0.5;;;;87;5.9;685.8;;;;;;;;;;;;;;;;;;;;168;;;;;;
COV;05.08.1979 00:00;3.4;7.5;-1.6;;;;49.6;4.3;687.4;;;;;;;;;;;;;;;;;;;;840;;;;;;
COV;06.08.1979 00:00;3.4;7.1;1.8;;;;87.6;6.8;686.4;;;;;;;;;;;;;;;;;;;;276;;;;;;
COV;07.08.1979 00:00;3.3;6;1.7;;;;78.8;6.3;685;;;;;;;;;;;;;;;;;;;;456;;;;;;
COV;08.08.1979 00:00;1.7;4.7;0;;;;82.6;5.8;682.6;;;;;;;;;;;;;;;;;;;;360;;;;;;
COV;09.08.1979 00:00;0.1;3.1;-2.5;;;;84.2;5.3;679.7;;;;;;;;;;;;;;;;;;;;300;;;;;;
COV;10.08.1979 00:00;-3.7;-2.6;-4.3;;;;79;3.7;678.3;;;;;;;;;;;;;;;;;;;;360;;;;;;
COV;11.08.1979 00:00;-4.9;-1.3;-6.9;;;;90.8;4;679.7;;;;;;;;;;;;;;;;;;;;54;;;;;;
COV;12.08.1979 00:00;-3.3;1;-4.8;;;;87.2;4.3;683.2;;;;;;;;;;;;;;;;;;;;168;;;;;;
COV;13.08.1979 00:00;0.4;3.6;-3.3;;;;69.4;4.5;684.9;;;;;;;;;;;;;;;;;;;;528;;;;;;
COV;14.08.1979 00:00;4.9;8.1;-0.3;;;;34.8;3.1;685.1;;;;;;;;;;;;;;;;;;;;684;;;;;;
COV;15.08.1979 00:00;5.8;10.5;3.7;;;;58.6;5.3;685.2;;;;;;;;;;;;;;;;;;;;798;;;;;;
COV;16.08.1979 00:00;3.4;6.9;2.6;;;;64.2;5.1;682.4;;;;;;;;;;;;;;;;;;;;504;;;;;;
COV;17.08.1979 00:00;1.2;4.5;-0.1;;;;86.4;5.9;681.2;;;;;;;;;;;;;;;;;;;;276;;;;;;
COV;18.08.1979 00:00;-3;0.6;-3.3;;;;92.6;4.6;672.6;;;;;;;;;;;;;;;;;;;;0;;;;;;
COV;19.08.1979 00:00;-3.2;-2.5;-4.3;;;;92.4;4.5;675.6;;;;;;;;;;;;;;;;;;;;0;;;;;;
COV;20.08.1979 00:00;-3.1;-1.2;-4.2;;;;92.8;4.6;681.2;;;;;;;;;;;;;;;;;;;;0;;;;;;
COV;21.08.1979 00:00;-1.3;2.6;-4;;;;80.8;4.7;683.7;;;;;;;;;;;;;;;;;;;;522;;;;;;
COV;22.08.1979 00:00;-0.1;1.8;-1.1;;;;78.4;4.9;683.9;;;;;;;;;;;;;;;;;;;;384;;;;;;
COV;23.08.1979 00:00;-0.2;1.6;-1.1;;;;87.6;5.3;682;;;;;;;;;;;;;;;;;;;;108;;;;;;
