station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
CRM;24.10.1991 00:00;6.1;10.5;2.5;;;;;;976.5;;;;1028;;;;;;;;;;;;;;;;;;;0;;13.9;5.9
CRM;25.10.1991 00:00;4.2;8.9;-2.1;;;;;;973.7;;;;;;;;;;;;;;;;;;;;;;;0;;15.8;7.8
CRM;26.10.1991 00:00;5.4;9.4;0.6;;;;;;969.5;;;;1020.6;;;;;;;;;;;;;;;;;;;0;;14.6;6.6
CRM;27.10.1991 00:00;5.5;7;4.1;;;;;;967.7;;;;;;;;;;;;;;;;;;;;;;;0;;14.5;6.5
CRM;28.10.1991 00:00;7;9.1;4.7;;;;;;970.1;;;;;;;;;;;;;;;;;;;;;;;0;;13;5
CRM;29.10.1991 00:00;6;8;4.4;;;;;;973.2;;;;1024.5;;;;;;;;;;;;;;;;;;;0;;14;6
CRM;30.10.1991 00:00;5.7;7.3;4.1;;;;;;970.2;;;;1021.3;;;;;;;;;;;;;;;;;;;0;;14.3;6.3
CRM;31.10.1991 00:00;7.4;11;3.6;;;;;;970.9;;;;1022.1;;;;;;;;;;;;;;;;;;;0;;12.6;4.6
CRM;01.11.1991 00:00;6.1;10.8;1.9;;;;;;973.7;;;;1025.1;;;;;;;;;;;;;;;;;;;0;;13.9;5.9
CRM;02.11.1991 00:00;8.5;10.4;1.8;;;;;;971.7;;;;1023;;;;;;;;;;;;;;;;;;;0;;11.5;3.5
CRM;03.11.1991 00:00;12.9;15.9;10.1;;;;;;961.3;;;;1012;;;;;;;;;;;;;;;;;;;0;;0;0
CRM;04.11.1991 00:00;8.8;11.7;4;;;;;;953.7;;;;1004;;;;;;;;;;;;;;;;;;;0;;11.2;3.2
CRM;05.11.1991 00:00;6.1;8.1;4.3;;;;;;961.2;;;;1011.9;;;;;;;;;;;;;;;;;;;0;;13.9;5.9
CRM;06.11.1991 00:00;4.6;7.1;0.8;;;;;;974.7;;;;;;;;;;;;;;;;;;;;;;;0;;15.4;7.4
CRM;07.11.1991 00:00;4.8;7.5;-0.6;;;;;;979.8;;;;;;;;;;;;;;;;;;;;;;;0;;15.2;7.2
CRM;08.11.1991 00:00;8.1;9.2;6.7;;;;;;975.3;;;;1026.8;;;;;;;;;;;;;;;;;;;0;;11.9;3.9
CRM;09.11.1991 00:00;6.1;8.3;2.4;;;;;;969.4;;;;1020.5;;;;;;;;;;;;;;;;;;;0;;13.9;5.9
CRM;10.11.1991 00:00;2.4;7.1;-1.9;;;;;;976;;;;;;;;;;;;;;;;;;;;;;;0;;17.6;9.6
CRM;11.11.1991 00:00;3.5;8.4;-2.4;;;;;;973.3;;;;1024.7;;;;;;;;;;;;;;;;;;;0;;16.5;8.5
CRM;12.11.1991 00:00;8.8;12.6;6.6;;;;;;968.4;;;;1019.5;;;;;;;;;;;;;;;;;;;0;;11.2;3.2
CRM;13.11.1991 00:00;9.4;13.1;5;;;;;;957.3;;;;;;;;;;;;;;;;;;;;;;;0;;10.6;2.6
CRM;16.11.1991 00:00;4.3;5.7;3.3;;;;;;957.4;;;;;;;;;;;;;;;;;;;;;;;0;;15.7;7.7
CRM;26.11.1991 00:00;1.2;3.2;-2;;;;;;974;;;;1025.2;;;;;;;;;;;;;;;;;;;0;;18.8;10.8
CRM;27.11.1991 00:00;2.8;3.9;2;;;;;;978.7;;;;1030.1;;;;;;;;;;;;;;;;;;;0;;17.2;9.2
CRM;28.11.1991 00:00;2.4;3.1;1.9;;;;;;978.3;;;;;;;;;;;;;;;;;;;;;;;0;;17.6;9.6
CRM;29.11.1991 00:00;1.1;2;0.2;;;;;;975.1;;;;;;;;;;;;;;;;;;;;;;;0;;18.9;10.9
CRM;30.11.1991 00:00;0.3;0.8;-0.3;;;;;;972.5;;;;1023.6;;;;;;;;;;;;;;;;;;;0;;19.7;11.7
CRM;01.12.1991 00:00;-0.6;0;-1.2;;;;;;973.9;;;;1025.1;;;;;;;;;;;;;;;;;;;0;;20.6;12.6
CRM;02.12.1991 00:00;-0.1;0.4;-0.5;;;;;;976.4;;;;1027.7;;;;;;;;;;;;;;;;;;;0;;20.1;12.1
