station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
DEM;14.07.1892 00:00;;;;;;;;;;;;;;;;;;;;;2.1;;;;;;;;;;;;;;
DEM;15.07.1892 00:00;;;;;;;;;;;;;;;;;;;;;0.4;;;;;;;;;;;;;;
DEM;16.07.1892 00:00;;;;;;;;;;;;;;;;;;;;;10.2;;;;;;;;;;;;;;
DEM;17.07.1892 00:00;;;;;;;;;;;;;;;;;;;;;19.2;;;;;;;;;;;;;;
DEM;18.07.1892 00:00;;;;;;;;;;;;;;;;;;;;;7.8;;;;;;;;;;;;;;
DEM;19.07.1892 00:00;;;;;;;;;;;;;;;;;;;;;9.1;;;;;;;;;;;;;;
DEM;20.07.1892 00:00;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;
DEM;21.07.1892 00:00;;;;;;;;;;;;;;;;;;;;;12.1;;;;;;;;;;;;;;
DEM;22.07.1892 00:00;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;
DEM;23.07.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;24.07.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;25.07.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;26.07.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;27.07.1892 00:00;;;;;;;;;;;;;;;;;;;;;2.1;;;;;;;;;;;;;;
DEM;28.07.1892 00:00;;;;;;;;;;;;;;;;;;;;;1.1;;;;;;;;;;;;;;
DEM;29.07.1892 00:00;;;;;;;;;;;;;;;;;;;;;1.1;;;;;;;;;;;;;;
DEM;30.07.1892 00:00;;;;;;;;;;;;;;;;;;;;;1.5;;;;;;;;;;;;;;
DEM;31.07.1892 00:00;;;;;;;;;;;;;;;;;;;;;4.4;;;;;;;;;;;;;;
DEM;01.08.1892 00:00;;;;;;;;;;;;;;;;;;;;;18.4;;;;;;;;;;;;;;
DEM;02.08.1892 00:00;;;;;;;;;;;;;;;;;;;;;14.5;;;;;;;;;;;;;;
DEM;03.08.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;04.08.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;05.08.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;06.08.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;07.08.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;08.08.1892 00:00;;;;;;;;;;;;;;;;;;;;;0.4;;;;;;;;;;;;;;
DEM;09.08.1892 00:00;;;;;;;;;;;;;;;;;;;;;0.4;;;;;;;;;;;;;;
DEM;10.08.1892 00:00;;;;;;;;;;;;;;;;;;;;;21.7;;;;;;;;;;;;;;
DEM;11.08.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;12.08.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;13.08.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;14.08.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;15.08.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;16.08.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;17.08.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;18.08.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;19.08.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;20.08.1892 00:00;;;;;;;;;;;;;;;;;;;;;8.8;;;;;;;;;;;;;;
DEM;21.08.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;22.08.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;23.08.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;24.08.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;25.08.1892 00:00;;;;;;;;;;;;;;;;;;;;;19.4;;;;;;;;;;;;;;
DEM;26.08.1892 00:00;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;
DEM;27.08.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;28.08.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;29.08.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;30.08.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;31.08.1892 00:00;;;;;;;;;;;;;;;;;;;;;5.8;;;;;;;;;;;;;;
DEM;01.09.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;02.09.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;03.09.1892 00:00;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;
DEM;04.09.1892 00:00;;;;;;;;;;;;;;;;;;;;;8.8;;;;;;;;;;;;;;
DEM;05.09.1892 00:00;;;;;;;;;;;;;;;;;;;;;0.9;;;;;;;;;;;;;;
DEM;06.09.1892 00:00;;;;;;;;;;;;;;;;;;;;;4.2;;;;;;;;;;;;;;
DEM;07.09.1892 00:00;;;;;;;;;;;;;;;;;;;;;6.9;;;;;;;;;;;;;;
DEM;08.09.1892 00:00;;;;;;;;;;;;;;;;;;;;;9.5;;;;;;;;;;;;;;
DEM;09.09.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;10.09.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;11.09.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;12.09.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;13.09.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;14.09.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;15.09.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
DEM;16.09.1892 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
