station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
DIS;01.01.1959 00:00;0;4.8;-2.6;;;;63.3;3.9;886;;;;;;;;;;;;0;;;;;;;;12;;;;;;
DIS;02.01.1959 00:00;1.9;4.7;-3.6;;;;54.7;3.7;875.6;;;;;;;;;;;;0;;;;;;;;216;;;;;;
DIS;03.01.1959 00:00;-2.6;2.9;-4.5;;;;84.3;4.4;870.3;;;;;;;;;;;;3.4;;;;;;;;0;;;;;;
DIS;04.01.1959 00:00;-5.1;-3.5;-7.3;;;;89.3;3.8;869.3;;;;;;;;;;;;10;;;;;;;;0;;;;;;
DIS;05.01.1959 00:00;-8;-4.5;-9.8;;;;75;2.6;881.6;;;;;;;;;;;;0;;;;;;;;156;;;;;;
DIS;06.01.1959 00:00;-3.6;-2.2;-10;;;;90;4.1;879.4;;;;;;;;;;;;15.1;;;;;;;;0;;;;;;
DIS;07.01.1959 00:00;1.7;4.4;-2.5;;;;80.3;5.6;871.6;;;;;;;;;;;;3;;;;;;;;168;;;;;;
DIS;08.01.1959 00:00;-3.2;0.8;-5.2;;;;85.3;4.3;866.8;;;;;;;;;;;;13.9;;;;;;;;0;;;;;;
DIS;09.01.1959 00:00;-6;-2.9;-6.9;;;;84.3;3.3;871.3;;;;;;;;;;;;8.9;;;;;;;;42;;;;;;
DIS;10.01.1959 00:00;-6.8;-4.6;-8.2;;;;83;3;871.6;;;;;;;;;;;;7.4;;;;;;;;0;;;;;;
DIS;11.01.1959 00:00;-8.4;-5.4;-10.6;;;;79.7;2.7;873.1;;;;;;;;;;;;1;;;;;;;;174;;;;;;
DIS;12.01.1959 00:00;-7.6;-5.1;-12.3;;;;75.7;2.6;869.8;;;;;;;;;;;;0.8;;;;;;;;228;;;;;;
DIS;13.01.1959 00:00;-6.7;-4.7;-11;;;;77;2.8;870.9;;;;;;;;;;;;0.8;;;;;;;;24;;;;;;
DIS;14.01.1959 00:00;-1.5;1.2;-6.9;;;;79.3;4.1;870;;;;;;;;;;;;3.9;;;;;;;;102;;;;;;
DIS;15.01.1959 00:00;0.1;4.1;-1.5;;;;85;5.4;870.8;;;;;;;;;;;;0.4;;;;;;;;144;;;;;;
DIS;16.01.1959 00:00;-5.2;-0.8;-7.6;;;;84;3.7;875.5;;;;;;;;;;;;3.5;;;;;;;;18;;;;;;
DIS;17.01.1959 00:00;-8.4;-6.4;-9.9;;;;71;2.3;890;;;;;;;;;;;;0;;;;;;;;330;;;;;;
DIS;18.01.1959 00:00;-1.9;1.3;-10.6;;;;61.7;3.2;887.9;;;;;;;;;;;;0;;;;;;;;258;;;;;;
