station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
EBK;01.08.1879 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
EBK;02.08.1879 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
EBK;03.08.1879 00:00;;;;;;;;;;;;;;;;;;;;;3.7;;;;;;;;;;;;;;
EBK;04.08.1879 00:00;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;
EBK;05.08.1879 00:00;;;;;;;;;;;;;;;;;;;;;10.4;;;;;;;;;;;;;;
EBK;06.08.1879 00:00;;;;;;;;;;;;;;;;;;;;;34.3;;;;;;;;;;;;;;
EBK;07.08.1879 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
EBK;08.08.1879 00:00;;;;;;;;;;;;;;;;;;;;;0.4;;;;;;;;;;;;;;
EBK;09.08.1879 00:00;;;;;;;;;;;;;;;;;;;;;35;;;;;;;;;;;;;;
EBK;10.08.1879 00:00;;;;;;;;;;;;;;;;;;;;;15.4;;;;;;;;;;;;;;
EBK;11.08.1879 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
EBK;12.08.1879 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
EBK;13.08.1879 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
EBK;14.08.1879 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
EBK;15.08.1879 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
EBK;16.08.1879 00:00;;;;;;;;;;;;;;;;;;;;;7.5;;;;;;;;;;;;;;
EBK;17.08.1879 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
EBK;18.08.1879 00:00;;;;;;;;;;;;;;;;;;;;;8.8;;;;;;;;;;;;;;
EBK;19.08.1879 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
EBK;20.08.1879 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
EBK;21.08.1879 00:00;;;;;;;;;;;;;;;;;;;;;18.4;;;;;;;;;;;;;;
EBK;22.08.1879 00:00;;;;;;;;;;;;;;;;;;;;;25.1;;;;;;;;;;;;;;
EBK;23.08.1879 00:00;;;;;;;;;;;;;;;;;;;;;2.2;;;;;;;;;;;;;;
EBK;24.08.1879 00:00;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;
EBK;25.08.1879 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
EBK;26.08.1879 00:00;;;;;;;;;;;;;;;;;;;;;13.9;;;;;;;;;;;;;;
EBK;27.08.1879 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
EBK;28.08.1879 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
