station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
EIN;01.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0.8;;;;;;;;;;;;;;
EIN;02.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
EIN;03.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
EIN;04.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;
EIN;05.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;
EIN;06.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
EIN;07.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
EIN;08.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;7.5;;;;;;;;;;;;;;
EIN;09.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;14.7;;;;;;;;;;;;;;
EIN;10.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;8.2;;;;;;;;;;;;;;
EIN;11.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;
EIN;12.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;
EIN;13.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
EIN;14.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
EIN;15.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
EIN;16.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;23.4;;;;;;;;;;;;;;
EIN;17.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;7.7;;;;;;;;;;;;;;
EIN;18.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;24.8;;;;;;;;;;;;;;
EIN;19.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
EIN;20.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
EIN;21.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
EIN;22.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;26.5;;;;;;;;;;;;;;
EIN;23.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
EIN;24.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
EIN;25.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;21.3;;;;;;;;;;;;;;
EIN;26.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;2.4;;;;;;;;;;;;;;
