station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
ELM;01.02.1878 00:00;-9.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
ELM;02.02.1878 00:00;-5.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
ELM;03.02.1878 00:00;-4.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
ELM;04.02.1878 00:00;-6.2;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
ELM;05.02.1878 00:00;-2.7;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
ELM;06.02.1878 00:00;-1.8;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
ELM;07.02.1878 00:00;-5;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
ELM;08.02.1878 00:00;0.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
ELM;09.02.1878 00:00;-0.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
ELM;10.02.1878 00:00;1.5;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
ELM;11.02.1878 00:00;1.5;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
ELM;12.02.1878 00:00;-0.3;;;;;;;;;;;;;;;;;;;;10.6;;;;;;;;;;;;;;
ELM;13.02.1878 00:00;-3.1;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
ELM;14.02.1878 00:00;4.9;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
ELM;15.02.1878 00:00;5.9;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
ELM;16.02.1878 00:00;4.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
ELM;17.02.1878 00:00;4.2;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
ELM;18.02.1878 00:00;2.2;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
ELM;19.02.1878 00:00;1.8;;;;;;;;;;;;;;;;;;;;1.9;;;;;;;;;;;;;;
ELM;20.02.1878 00:00;0.1;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
