station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
GOE;03.11.1981 00:00;;;;;;;;;;;;;;;2.3;;;;;;;;;;;;;;;;;;;;
GOE;04.11.1981 00:00;;;;;;;;;;;;;;;2.9;;;;;;;;;;;;;;;;;;;;
GOE;09.11.1981 00:00;;;;;;;;;;;;;;;3.7;;;;;;;;;;;;;;;;;;;;
GOE;10.11.1981 00:00;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;
GOE;11.11.1981 00:00;;;;;;;;;;;;;;;6.6;;;;;;;;;;;;;;;;;;259;;
GOE;12.11.1981 00:00;;;;;;;;;;;;;;0.8;6.1;2.9;;;;;;;;;;;;;;;;;79;;
GOE;13.11.1981 00:00;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;257;;
GOE;14.11.1981 00:00;;;;;;;;;;;;;;2.1;11.5;7.6;;;;;;;;;;;;;;;;;242;;
GOE;15.11.1981 00:00;;;;;;;;;;;;;;1.6;6.2;5.8;;;;;;;;;;;;;;;;;68;;
GOE;16.11.1981 00:00;;;;;;;;;;;;;;1.9;6.3;6.8;;;;;;;;;;;;;;;;;77;;
GOE;17.11.1981 00:00;;;;;;;;;;;;;;;4.6;;;;;;;;;;;;;;;;;;180;;
GOE;18.11.1981 00:00;;;;;;;;;;;;;;0.8;6.7;2.9;;;;;;;;;;;;;;;;;243;;
GOE;19.11.1981 00:00;;;;;;;;;;;;;;1.2;5.2;4.3;;;;;;;;;;;;;;;;;270;;
GOE;20.11.1981 00:00;;;;;;;;;;;;;;1.3;6.6;4.7;;;;;;;;;;;;;;;;;252;;
GOE;21.11.1981 00:00;;;;;;;;;;;;;;1.9;7.7;6.8;;;;;;;;;;;;;;;;;256;;
GOE;22.11.1981 00:00;;;;;;;;;;;;;;;5.1;;;;;;;;;;;;;;;;;;;;
GOE;23.11.1981 00:00;;;;;;;;;;;;;;;11.7;;;;;;;;;;;;;;;;;;;;
GOE;24.11.1981 00:00;;;;;;;;;;;;;;4.3;18.3;15.5;;;;;;;;;;;;;;;;;243;;
GOE;25.11.1981 00:00;;;;;;;;;;;;;;3;11.4;10.8;;;;;;;;;;;;;;;;;270;;
GOE;26.11.1981 00:00;;;;;;;;;;;;;;1;5.9;3.6;;;;;;;;;;;;;;;;;236;;
GOE;27.11.1981 00:00;;;;;;;;;;;;;;3;15.7;10.8;;;;;;;;;;;;;;;;;229;;
GOE;28.11.1981 00:00;;;;;;;;;;;;;;3.7;15.5;13.3;;;;;;;;;;;;;;;;;231;;
GOE;29.11.1981 00:00;;;;;;;;;;;;;;2.2;8.2;7.9;;;;;;;;;;;;;;;;;239;;
GOE;30.11.1981 00:00;;;;;;;;;;;;;;6.5;24.5;23.4;;;;;;;;;;;;;;;;;226;;
GOE;01.12.1981 00:00;;;;;;;;;;;;;;3;23.8;10.8;;;;;;;;;;;;;;;;;248;;
GOE;02.12.1981 00:00;;;;;;;;;;;;;;;4.2;;;;;;;;;;;;;;;;;;207;;
GOE;03.12.1981 00:00;;;;;;;;;;;;;;1.6;8.6;5.8;;;;;;;;;;;;;;;;;67;;
GOE;04.12.1981 00:00;;;;;;;;;;;;;;3.5;14;12.6;;;;;;;;;;;;;;;;;229;;
GOE;05.12.1981 00:00;;;;;;;;;;;;;;2.2;9.8;7.9;;;;;;;;;;;;;;;;;235;;
GOE;06.12.1981 00:00;;;;;;;;;;;;;;3;12.4;10.8;;;;;;;;;;;;;;;;;220;;
GOE;07.12.1981 00:00;;;;;;;;;;;;;;5.5;20.5;19.8;;;;;;;;;;;;;;;;;224;;
GOE;08.12.1981 00:00;;;;;;;;;;;;;;;23.1;;;;;;;;;;;;;;;;;;230;;
GOE;09.12.1981 00:00;;;;;;;;;;;;;;1.9;18.8;6.8;;;;;;;;;;;;;;;;;278;;
GOE;10.12.1981 00:00;;;;;;;;;;;;;;2.6;20;9.4;;;;;;;;;;;;;;;;;225;;
GOE;11.12.1981 00:00;;;;;;;;;;;;;;2.8;15.8;10.1;;;;;;;;;;;;;;;;;231;;
GOE;12.12.1981 00:00;;;;;;;;;;;;;;3.2;16;11.5;;;;;;;;;;;;;;;;;258;;
GOE;13.12.1981 00:00;;;;;;;;;;;;;;2.3;9.2;8.3;;;;;;;;;;;;;;;;;65;;
GOE;14.12.1981 00:00;;;;;;;;;;;;;;4.5;19.2;16.2;;;;;;;;;;;;;;;;;229;;
GOE;15.12.1981 00:00;;;;;;;;;;;;;;4.3;16.4;15.5;;;;;;;;;;;;;;;;;223;;
GOE;16.12.1981 00:00;;;;;;;;;;;;;;3.4;19.7;12.2;;;;;;;;;;;;;;;;;249;;
GOE;17.12.1981 00:00;;;;;;;;;;;;;;;11.7;;;;;;;;;;;;;;;;;;218;;
GOE;18.12.1981 00:00;;;;;;;;;;;;;;1.4;11.7;5;;;;;;;;;;;;;;;;;254;;
GOE;19.12.1981 00:00;;;;;;;;;;;;;;2.6;11.4;9.4;;;;;;;;;;;;;;;;;273;;
GOE;20.12.1981 00:00;;;;;;;;;;;;;;1.2;6.1;4.3;;;;;;;;;;;;;;;;;72;;
GOE;21.12.1981 00:00;;;;;;;;;;;;;;0.6;2.9;2.2;;;;;;;;;;;;;;;;;124;;
GOE;22.12.1981 00:00;;;;;;;;;;;;;;1.4;5.4;5;;;;;;;;;;;;;;;;;180;;
GOE;23.12.1981 00:00;;;;;;;;;;;;;;1.1;3.9;4;;;;;;;;;;;;;;;;;60;;
GOE;24.12.1981 00:00;;;;;;;;;;;;;;1.8;12.7;6.5;;;;;;;;;;;;;;;;;221;;
GOE;25.12.1981 00:00;;;;;;;;;;;;;;1.6;7.8;5.8;;;;;;;;;;;;;;;;;247;;
GOE;26.12.1981 00:00;;;;;;;;;;;;;;0.9;4.9;3.2;;;;;;;;;;;;;;;;;79;;
