station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
GOS;01.01.1895 00:00;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;
GOS;02.01.1895 00:00;;;;;;;;;;;;;;;;;;;;;1.9;;;;;;;;;;;;;;
GOS;03.01.1895 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;04.01.1895 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;05.01.1895 00:00;;;;;;;;;;;;;;;;;;;;;3.5;;;;;;;;;;;;;;
GOS;06.01.1895 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;07.01.1895 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;08.01.1895 00:00;;;;;;;;;;;;;;;;;;;;;9.9;;;;;;;;;;;;;;
GOS;09.01.1895 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;10.01.1895 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;11.01.1895 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;12.01.1895 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;13.01.1895 00:00;;;;;;;;;;;;;;;;;;;;;6.4;;;;;;;;;;;;;;
GOS;14.01.1895 00:00;;;;;;;;;;;;;;;;;;;;;8.3;;;;;;;;;;;;;;
GOS;15.01.1895 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;16.01.1895 00:00;;;;;;;;;;;;;;;;;;;;;37;;;;;;;;;;;;;;
GOS;17.01.1895 00:00;;;;;;;;;;;;;;;;;;;;;3.4;;;;;;;;;;;;;;
GOS;18.01.1895 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;19.01.1895 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;20.01.1895 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;21.01.1895 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;22.01.1895 00:00;;;;;;;;;;;;;;;;;;;;;12.5;;;;;;;;;;;;;;
GOS;23.01.1895 00:00;;;;;;;;;;;;;;;;;;;;;9.7;;;;;;;;;;;;;;
GOS;24.01.1895 00:00;;;;;;;;;;;;;;;;;;;;;2.6;;;;;;;;;;;;;;
GOS;25.01.1895 00:00;;;;;;;;;;;;;;;;;;;;;8.7;;;;;;;;;;;;;;
GOS;26.01.1895 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;27.01.1895 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;28.01.1895 00:00;;;;;;;;;;;;;;;;;;;;;2.7;;;;;;;;;;;;;;
GOS;29.01.1895 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;30.01.1895 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;31.01.1895 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GOS;01.02.1895 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
