station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
GRA;01.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;1.8;;;;;;;;;;;;;;
GRA;02.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRA;03.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;26.5;;;;;;;;;;;;;;
GRA;04.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;11.5;;;;;;;;;;;;;;
GRA;05.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;10.6;;;;;;;;;;;;;;
GRA;06.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRA;07.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRA;08.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;3.2;;;;;;;;;;;;;;
GRA;09.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;2.7;;;;;;;;;;;;;;
GRA;10.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;
GRA;11.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;3.3;;;;;;;;;;;;;;
GRA;12.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRA;13.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRA;14.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRA;15.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRA;16.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;11.2;;;;;;;;;;;;;;
GRA;17.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRA;18.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;19.3;;;;;;;;;;;;;;
GRA;19.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRA;20.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRA;21.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRA;22.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;10.2;;;;;;;;;;;;;;
GRA;23.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRA;24.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;
GRA;25.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;
GRA;26.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRA;27.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;15.3;;;;;;;;;;;;;;
GRA;28.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;1.2;;;;;;;;;;;;;;
GRA;29.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;
GRA;30.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRA;31.01.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRA;01.02.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRA;02.02.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRA;03.02.1900 00:00;;;;;;;;;;;;;;;;;;;;;3.2;;;;;;;;;;;;;;
GRA;04.02.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRA;05.02.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRA;06.02.1900 00:00;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;
GRA;07.02.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRA;08.02.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRA;09.02.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRA;10.02.1900 00:00;;;;;;;;;;;;;;;;;;;;;6.2;;;;;;;;;;;;;;
GRA;11.02.1900 00:00;;;;;;;;;;;;;;;;;;;;;8.4;;;;;;;;;;;;;;
GRA;12.02.1900 00:00;;;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;;;;;
GRA;13.02.1900 00:00;;;;;;;;;;;;;;;;;;;;;4.4;;;;;;;;;;;;;;
GRA;14.02.1900 00:00;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;
GRA;15.02.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRA;16.02.1900 00:00;;;;;;;;;;;;;;;;;;;;;3.9;;;;;;;;;;;;;;
GRA;17.02.1900 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRA;18.02.1900 00:00;;;;;;;;;;;;;;;;;;;;;2.4;;;;;;;;;;;;;;
