station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
GRC;01.01.1864 00:00;-5.5;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;02.01.1864 00:00;-11.6;;;;;;;;;;;;;;;;;;;;0.7;;;;;;;;;;;;;;
GRC;03.01.1864 00:00;-16.6;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;04.01.1864 00:00;-6.2;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;05.01.1864 00:00;-6.9;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;06.01.1864 00:00;-6.1;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;07.01.1864 00:00;-3.8;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;08.01.1864 00:00;-4.6;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;09.01.1864 00:00;-4.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;10.01.1864 00:00;-6.1;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;11.01.1864 00:00;-2.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;12.01.1864 00:00;-3.1;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;13.01.1864 00:00;-3.5;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;14.01.1864 00:00;-4.2;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;15.01.1864 00:00;-4.9;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;16.01.1864 00:00;-6;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;17.01.1864 00:00;-5.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;18.01.1864 00:00;-6.2;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;19.01.1864 00:00;-7.6;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;20.01.1864 00:00;-4.2;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;21.01.1864 00:00;-0.1;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;22.01.1864 00:00;-1.6;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;23.01.1864 00:00;-1.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;24.01.1864 00:00;0;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;25.01.1864 00:00;-1.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;26.01.1864 00:00;-2.9;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;27.01.1864 00:00;-3.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;28.01.1864 00:00;-1.6;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;29.01.1864 00:00;-6.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;30.01.1864 00:00;-6.8;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;31.01.1864 00:00;-5.8;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;01.02.1864 00:00;-2.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;02.02.1864 00:00;-2.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;03.02.1864 00:00;-2.7;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;04.02.1864 00:00;-5;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;05.02.1864 00:00;-9.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;06.02.1864 00:00;-9.8;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;07.02.1864 00:00;-11.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;08.02.1864 00:00;-13.7;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;09.02.1864 00:00;-15.2;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;10.02.1864 00:00;-12.7;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;11.02.1864 00:00;-10.5;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;12.02.1864 00:00;-6.8;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;13.02.1864 00:00;1.8;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;14.02.1864 00:00;2.6;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;15.02.1864 00:00;4.8;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;16.02.1864 00:00;1.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;17.02.1864 00:00;-3.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;18.02.1864 00:00;-9.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;19.02.1864 00:00;-11.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;20.02.1864 00:00;-8.6;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;21.02.1864 00:00;-4;;;;;;;;;;;;;;;;;;;;27;;;;;;;;;;;;;;
GRC;22.02.1864 00:00;-2.5;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;23.02.1864 00:00;0.2;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;24.02.1864 00:00;0.6;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;25.02.1864 00:00;1.5;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;26.02.1864 00:00;-0.2;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;27.02.1864 00:00;-0.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;28.02.1864 00:00;-0.1;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;29.02.1864 00:00;-0.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;01.03.1864 00:00;-2.5;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;02.03.1864 00:00;-2.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;03.03.1864 00:00;-0.1;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;04.03.1864 00:00;2.8;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;05.03.1864 00:00;2.7;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;06.03.1864 00:00;0.7;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;07.03.1864 00:00;1.9;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;08.03.1864 00:00;2.8;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;09.03.1864 00:00;4.6;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;10.03.1864 00:00;-2.1;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;11.03.1864 00:00;-3.7;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;12.03.1864 00:00;-1.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;13.03.1864 00:00;-2.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;14.03.1864 00:00;0.6;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;15.03.1864 00:00;3.8;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;16.03.1864 00:00;2.2;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;17.03.1864 00:00;0.7;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;18.03.1864 00:00;0.5;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;19.03.1864 00:00;0.6;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;20.03.1864 00:00;1.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;21.03.1864 00:00;1.8;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;22.03.1864 00:00;2.5;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;23.03.1864 00:00;1.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;24.03.1864 00:00;-0.9;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;25.03.1864 00:00;0.7;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;26.03.1864 00:00;-0.8;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;27.03.1864 00:00;0.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;28.03.1864 00:00;-1.1;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;29.03.1864 00:00;-5.8;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;30.03.1864 00:00;-4.9;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;31.03.1864 00:00;-3.7;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;01.04.1864 00:00;0.6;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;02.04.1864 00:00;-2.8;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;03.04.1864 00:00;-1.5;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;04.04.1864 00:00;-0.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;05.04.1864 00:00;1.4;;;;;;;;;;;;;;;;;;;;2.4;;;;;;;;;;;;;;
GRC;06.04.1864 00:00;0;;;;;;;;;;;;;;;;;;;;1.8;;;;;;;;;;;;;;
GRC;07.04.1864 00:00;1.6;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;08.04.1864 00:00;-4.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;09.04.1864 00:00;-3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;10.04.1864 00:00;1.1;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;11.04.1864 00:00;2;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;12.04.1864 00:00;4.1;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;13.04.1864 00:00;5.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;14.04.1864 00:00;5.7;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;15.04.1864 00:00;6.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;16.04.1864 00:00;3.6;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;17.04.1864 00:00;-0.2;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;
GRC;18.04.1864 00:00;0.8;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;19.04.1864 00:00;4.9;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;20.04.1864 00:00;6.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;21.04.1864 00:00;4.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;22.04.1864 00:00;3.9;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;23.04.1864 00:00;5.1;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;24.04.1864 00:00;6.8;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;25.04.1864 00:00;6.6;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;26.04.1864 00:00;8.9;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;27.04.1864 00:00;8.5;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;28.04.1864 00:00;6;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;29.04.1864 00:00;2.3;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;
GRC;30.04.1864 00:00;3.5;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;01.05.1864 00:00;4.9;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;02.05.1864 00:00;2.2;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;03.05.1864 00:00;3.6;;;;;;;;;;;;;;;;;;;;25.3;;;;;;;;;;;;;;
GRC;04.05.1864 00:00;2.6;;;;;;;;;;;;;;;;;;;;3.5;;;;;;;;;;;;;;
GRC;05.05.1864 00:00;5;;;;;;;;;;;;;;;;;;;;2.6;;;;;;;;;;;;;;
GRC;06.05.1864 00:00;6;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;07.05.1864 00:00;10.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;08.05.1864 00:00;10.7;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;09.05.1864 00:00;10.1;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;10.05.1864 00:00;7.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;11.05.1864 00:00;8.9;;;;;;;;;;;;;;;;;;;;8.6;;;;;;;;;;;;;;
GRC;12.05.1864 00:00;4.8;;;;;;;;;;;;;;;;;;;;18.1;;;;;;;;;;;;;;
GRC;13.05.1864 00:00;5.3;;;;;;;;;;;;;;;;;;;;9.4;;;;;;;;;;;;;;
GRC;14.05.1864 00:00;6.1;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;15.05.1864 00:00;9.6;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;16.05.1864 00:00;10.9;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;17.05.1864 00:00;12.6;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;18.05.1864 00:00;12.5;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;19.05.1864 00:00;13.6;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;20.05.1864 00:00;13.7;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;21.05.1864 00:00;11.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;22.05.1864 00:00;9.5;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;23.05.1864 00:00;9.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;24.05.1864 00:00;8.9;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;25.05.1864 00:00;8.8;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;26.05.1864 00:00;9.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;27.05.1864 00:00;4.5;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;28.05.1864 00:00;6.7;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;29.05.1864 00:00;8.8;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;30.05.1864 00:00;9;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;31.05.1864 00:00;10.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;01.06.1864 00:00;8.9;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;02.06.1864 00:00;8.6;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;03.06.1864 00:00;9.9;;;;;;;;;;;;;;;;;;;;2.6;;;;;;;;;;;;;;
GRC;04.06.1864 00:00;11.7;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;05.06.1864 00:00;11.8;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;06.06.1864 00:00;13.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;07.06.1864 00:00;11.1;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;08.06.1864 00:00;8.1;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;
GRC;09.06.1864 00:00;7.1;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;10.06.1864 00:00;1.3;;;;;;;;;;;;;;;;;;;;84.2;;;;;;;;;;;;;;
GRC;11.06.1864 00:00;5.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;12.06.1864 00:00;10.9;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;13.06.1864 00:00;11.3;;;;;;;;;;;;;;;;;;;;3.2;;;;;;;;;;;;;;
GRC;14.06.1864 00:00;11.6;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;15.06.1864 00:00;6.6;;;;;;;;;;;;;;;;;;;;4.4;;;;;;;;;;;;;;
GRC;16.06.1864 00:00;9.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;17.06.1864 00:00;10;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;18.06.1864 00:00;11.9;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;19.06.1864 00:00;12.1;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;20.06.1864 00:00;9.7;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;21.06.1864 00:00;13.6;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;22.06.1864 00:00;12.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;23.06.1864 00:00;15;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;24.06.1864 00:00;10.3;;;;;;;;;;;;;;;;;;;;3.5;;;;;;;;;;;;;;
GRC;25.06.1864 00:00;11.4;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;26.06.1864 00:00;12.1;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;27.06.1864 00:00;7.9;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;28.06.1864 00:00;5.8;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;29.06.1864 00:00;7.2;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;30.06.1864 00:00;7.1;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;01.07.1864 00:00;10.5;;;;;;;;;;;;;;;;;;;;7.9;;;;;;;;;;;;;;
GRC;02.07.1864 00:00;10.6;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;03.07.1864 00:00;14.1;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;04.07.1864 00:00;10.6;;;;;;;;;;;;;;;;;;;;1.8;;;;;;;;;;;;;;
GRC;05.07.1864 00:00;10.2;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
GRC;06.07.1864 00:00;10.3;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
