station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
GRE;15.05.1992 00:00;19;28.7;8.2;;;;63.3;12.9;1028.8;;;;1028.8;;;;;;;;;;;;;;;;;;;;;0;0
GRE;16.05.1992 00:00;19.7;28.5;9.2;;;;58;12.2;1029.6;;;;1029.6;;;;;;;;;;;;;;;;;;;;;0;0
GRE;17.05.1992 00:00;18.6;24.9;11.3;;;;67.5;14.2;1027.1;;;;1027.1;;;;;;;;;;;;;;;;;;;;;0;0
GRE;18.05.1992 00:00;17.3;23.4;9.6;;;;47.1;9;1022.5;;;;1022.5;;;;;;;;;;;;;;;;;;;;;0;0
GRE;19.05.1992 00:00;16.3;22.5;9.4;;;;45.1;8.1;1021.2;;;;1021.2;;;;;;;;;;;;;;;;;;;;;0;0
GRE;20.05.1992 00:00;12;19;5.5;;;;70.8;9.8;1018.9;;;;1021.7;;;;;;;;;;;;;;;;;;;;;8;0
GRE;21.05.1992 00:00;13.4;21.9;3.6;;;;66.4;9.3;1021.5;;;;1021.5;;;;;;;;;;;;;;;;;;;;;0;0
GRE;22.05.1992 00:00;15.4;21.8;9.5;;;;61.8;10.2;1018.8;;;;1018.8;;;;;;;;;;;;;;;;;;;;;0;0
GRE;23.05.1992 00:00;15.8;23.5;6.7;;;;63.8;10.7;1016;;;;1016.3;;;;;;;;;;;;;;;;;;;;;0;0
GRE;24.05.1992 00:00;16.6;24.9;8.7;;;;63.7;11.3;1016.8;;;;1016.8;;;;;;;;;;;;;;;;;;;;;0;0
GRE;25.05.1992 00:00;15.8;22.4;9;;;;73.8;12.9;1020.9;;;;1020.9;;;;;;;;;;;;;;;;;;;;;0;0
GRE;26.05.1992 00:00;15.7;25.2;8.2;;;;76.8;13.1;1017.3;;;;1017.6;;;;;;;;;;;;;;;;;;;;;0;0
GRE;27.05.1992 00:00;16.3;23.1;9.9;;;;78.1;14;1016;;;;1016;;;;;;;;;;;;;;;;;;;;;0;0
GRE;28.05.1992 00:00;18.2;25.7;12.7;;;;70.8;14.1;1015.5;;;;1015.5;;;;;;;;;;;;;;;;;;;;;0;0
GRE;29.05.1992 00:00;14.7;17.8;12;;;;90;15;1017;;;;1017;;;;;;;;;;;;;;;;;;;;;0;0
GRE;30.05.1992 00:00;16.3;22.3;11.9;;;;80.7;14.5;1017.4;;;;1017.4;;;;;;;;;;;;;;;;;;;;;0;0
GRE;31.05.1992 00:00;16.6;20.3;14;;;;87.4;16.4;1015.7;;;;1016;;;;;;;;;;;;;;;;;;;;;0;0
GRE;01.06.1992 00:00;18.3;24.4;14.1;;;;79;16.1;1012.4;;;;1012.4;;;;;;;;;;;;;;;;;;;;;0;0
GRE;02.06.1992 00:00;16.2;20.1;13.6;;;;83.5;15.2;1012.7;;;;1012.7;;;;;;;;;;;;;;;;;;;;;0;0
GRE;03.06.1992 00:00;14;15.3;11.3;;;;93.5;15;1017.2;;;;1017.2;;;;;;;;;;;;;;;;;;;;;0;0
GRE;04.06.1992 00:00;15.4;20.5;8.9;;;;75.9;12.9;1015.8;;;;1016.1;;;;;;;;;;;;;;;;;;;;;0;0
GRE;05.06.1992 00:00;12.3;13.6;10.9;;;;89.6;12.8;1016.4;;;;1016.4;;;;;;;;;;;;;;;;;;;;;0;0
GRE;06.06.1992 00:00;10.8;13.5;6.5;;;;92.6;11.9;1018.8;;;;1018.8;;;;;;;;;;;;;;;;;;;;;9.2;1.2
GRE;07.06.1992 00:00;12.8;20.3;5.8;;;;82.9;12;1014.4;;;;1014.4;;;;;;;;;;;;;;;;;;;;;0;0
GRE;08.06.1992 00:00;12.9;15.8;10;;;;84.7;12.5;1011.5;;;;1011.5;;;;;;;;;;;;;;;;;;;;;0;0
GRE;09.06.1992 00:00;14;19.2;9.2;;;;83;13.1;1014.5;;;;1014.5;;;;;;;;;;;;;;;;;;;;;0;0
GRE;10.06.1992 00:00;15.1;22.2;7.5;;;;77.6;13;1010.5;;;;1013.1;;;;;;;;;;;;;;;;;;;;;0;0
GRE;11.06.1992 00:00;14.4;19.2;10.5;;;;85.5;13.9;1014.3;;;;1014.3;;;;;;;;;;;;;;;;;;;;;0;0
GRE;12.06.1992 00:00;14.4;19.2;11;;;;79.9;12.9;1015.8;;;;1015.8;;;;;;;;;;;;;;;;;;;;;0;0
GRE;13.06.1992 00:00;15.6;20.1;10.6;;;;81.2;14.3;1019.7;;;;1020.1;;;;;;;;;;;;;;;;;;;;;0;0
GRE;14.06.1992 00:00;16.5;23.3;9;;;;77.9;14.1;1025.1;;;;1025.1;;;;;;;;;;;;;;;;;;;;;0;0
GRE;15.06.1992 00:00;18.5;26.3;9.4;;;;64.7;12.9;1021.7;;;;1021.7;;;;;;;;;;;;;;;;;;;;;0;0
GRE;16.06.1992 00:00;19.4;26.5;10;;;;64.6;14;1018;;;;1018;;;;;;;;;;;;;;;;;;;;;0;0
GRE;17.06.1992 00:00;19.4;24.4;15.2;;;;68.7;15.4;1019.4;;;;1019.4;;;;;;;;;;;;;;;;;;;;;0;0
GRE;18.06.1992 00:00;18.7;23.2;13.1;;;;60.2;12.8;1016.4;;;;1016.4;;;;;;;;;;;;;;;;;;;;;0;0
GRE;19.06.1992 00:00;11.4;13.2;9.9;;;;78.3;10.5;1017;;;;1017;;;;;;;;;;;;;;;;;;;;;8.6;0.6
GRE;20.06.1992 00:00;12.2;17.5;9.6;;;;84.1;11.8;1018.4;;;;1018.4;;;;;;;;;;;;;;;;;;;;;0;0
GRE;21.06.1992 00:00;13.6;19.6;8.6;;;;74.3;11.1;1020.9;;;;1020.9;;;;;;;;;;;;;;;;;;;;;0;0
GRE;22.06.1992 00:00;16;22.8;7.5;;;;80.7;14.6;1015;;;;1015;;;;;;;;;;;;;;;;;;;;;0;0
GRE;23.06.1992 00:00;15.5;20.1;10.4;;;;89.5;15.8;1012.5;;;;1012.5;;;;;;;;;;;;;;;;;;;;;0;0
GRE;24.06.1992 00:00;15.1;20.8;10.5;;;;90.5;15.4;1015.6;;;;1015.6;;;;;;;;;;;;;;;;;;;;;0;0
