station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
GSB;01.01.1864 00:00;-10.5;-8.2;-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;02.01.1864 00:00;-15.7;-10.7;-21.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;03.01.1864 00:00;-20.3;-16.5;-23.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;04.01.1864 00:00;-12.5;-10.5;-13.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;05.01.1864 00:00;-12.8;-11.1;-15.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;06.01.1864 00:00;-9.7;-7.6;-10.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;07.01.1864 00:00;-10.1;-8.5;-12.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;08.01.1864 00:00;-11;-9.6;-11.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;09.01.1864 00:00;-11;-9.4;-12.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;10.01.1864 00:00;-9.1;-7.3;-10.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;11.01.1864 00:00;-7.3;-5.8;-8.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;12.01.1864 00:00;-6.2;-3.8;-7.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;13.01.1864 00:00;-5.9;-1.9;-7.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;14.01.1864 00:00;-7.2;-5.3;-8.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;15.01.1864 00:00;-8.6;-7.7;-9.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;16.01.1864 00:00;-9.3;-5.4;-10.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;17.01.1864 00:00;-7.6;-6.2;-8.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;18.01.1864 00:00;-14.6;-11.6;-16.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;19.01.1864 00:00;-10.8;-7.4;-13.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;20.01.1864 00:00;-5.6;-3.3;-9.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;21.01.1864 00:00;-3.3;-1.3;-4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;22.01.1864 00:00;-5.4;-2.7;-6.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;23.01.1864 00:00;-3.8;-1.2;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;24.01.1864 00:00;-4.6;-3;-6.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;25.01.1864 00:00;-5.2;-3;-7.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;26.01.1864 00:00;-4.5;-1.8;-6.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;27.01.1864 00:00;-5.1;-1.4;-7.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;28.01.1864 00:00;-6.4;-2.6;-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;29.01.1864 00:00;-11.1;-9.2;-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;30.01.1864 00:00;-10.7;-8.3;-13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;31.01.1864 00:00;-11.7;-3;-16.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;01.02.1864 00:00;-8.1;-5.6;-10.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;02.02.1864 00:00;-8.7;-5.6;-9.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;03.02.1864 00:00;-8.1;-5;-10.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;04.02.1864 00:00;-9.6;-4.8;-14.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;05.02.1864 00:00;-16;-14.4;-16.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;06.02.1864 00:00;-13.1;-9;-14.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;07.02.1864 00:00;-17;-13.8;-19.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;08.02.1864 00:00;-20;-17.4;-21.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;09.02.1864 00:00;-19.5;-15;-21.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;10.02.1864 00:00;-18.2;-15.9;-19.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;11.02.1864 00:00;-15.8;-11.6;-17.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;12.02.1864 00:00;-6.5;-0.5;-13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;13.02.1864 00:00;1.8;6.4;-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;14.02.1864 00:00;0.5;5.3;-2.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;15.02.1864 00:00;0.3;4;-2.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GSB;16.02.1864 00:00;-2.2;1.3;-3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
