station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
GUT;01.06.1976 00:00;14.3;17.6;12.4;;;;87.4;13.9;965.9;;;;;1.6;;8.3;;;;;64.5;;;;;;;;;;;;;;
GUT;02.06.1976 00:00;10.9;13.8;8.8;;;;73.6;9.5;965.5;;;;;2.2;;7.9;;;;;8.5;;;;;;;;;;;;;;
GUT;03.06.1976 00:00;9.8;13.7;8;;;;80.2;9.5;967.6;;;;;0.7;;3.6;;;;;10.1;;;;;;;;;;;;;;
GUT;04.06.1976 00:00;9.8;13.8;6.4;;;;75.7;9;970.3;;;;;0.7;;7.6;;;;;1.2;;;;;;;;;;;;;;
GUT;05.06.1976 00:00;12.7;16.7;7.6;;;;58.4;7.7;969.7;;;;;3.6;;13;;;;;0;;;;;;;;;;;;;;
GUT;06.06.1976 00:00;14.2;19;8;;;;51.9;8.4;967.5;;;;;2.1;;7.6;;;;;0;;;;;;;;;;;;;;
GUT;07.06.1976 00:00;16;22;6.5;;;;49.5;9.1;966.1;;;;;2.2;;7.9;;;;;0;;;;;;;;;;;;;;
GUT;08.06.1976 00:00;18;24.2;9.5;;;;50.5;10.2;966.8;;;;;0.3;;3.6;;;;;0;;;;;;;;;;;;;;
GUT;09.06.1976 00:00;19.6;26.8;11.7;;;;62.4;14.5;967.4;;;;;0.3;;3.6;;;;;0.8;;;;;;;;;;;;;;
GUT;10.06.1976 00:00;16.5;22.5;14.2;;;;85.1;16.7;970.1;;;;;0.8;;4.7;;;;;4.5;;;;;;;;;;;;;;
GUT;11.06.1976 00:00;18.1;23.4;13;;;;75.5;14.7;970.2;;;;;0.7;;3.6;;;;;0.1;;;;;;;;;;;;;;
GUT;12.06.1976 00:00;19.5;24.2;12.6;;;;67.7;14.1;971;;;;;0.7;;3.6;;;;;0;;;;;;;;;;;;;;
GUT;13.06.1976 00:00;20.6;26.4;12.3;;;;65.1;16;969.7;;;;;0.3;;3.6;;;;;0.5;;;;;;;;;;;;;;
GUT;14.06.1976 00:00;20.7;26;14.4;;;;58.4;14.5;968.6;;;;;0.7;;3.6;;;;;0;;;;;;;;;;;;;;
GUT;15.06.1976 00:00;21.1;27.4;13;;;;54.8;13;966;;;;;0.3;;1.8;;;;;0;;;;;;;;;;;;;;
GUT;16.06.1976 00:00;17.3;20.5;13.8;;;;67.7;14;962.2;;;;;1.9;;6.8;;;;;4.1;;;;;;;;;;;;;;
GUT;17.06.1976 00:00;15.8;20.5;9.4;;;;48;8.6;965.9;;;;;2;;7.6;;;;;0;;;;;;;;;;;;;;
GUT;18.06.1976 00:00;17.7;23.8;8.7;;;;48;9.4;965.3;;;;;1;;3.6;;;;;0;;;;;;;;;;;;;;
GUT;19.06.1976 00:00;19.8;26.1;10.6;;;;46.2;10.4;963.4;;;;;1.7;;9.4;;;;;0;;;;;;;;;;;;;;
GUT;20.06.1976 00:00;21.8;26.8;14.5;;;;50;13.4;964;;;;;1.7;;6.1;;;;;0;;;;;;;;;;;;;;
GUT;21.06.1976 00:00;21.3;26.7;12.8;;;;50.5;13.1;968.9;;;;;0.3;;3.6;;;;;0;;;;;;;;;;;;;;
GUT;22.06.1976 00:00;22.3;28.5;14;;;;60;15.3;970;;;;;0.2;;1.8;;;;;0;;;;;;;;;;;;;;
GUT;23.06.1976 00:00;21.9;28;14.4;;;;55.5;14.5;968.8;;;;;0.2;;1.8;;;;;0;;;;;;;;;;;;;;
GUT;24.06.1976 00:00;21.7;27.5;13.8;;;;55.1;14.7;969.7;;;;;0.3;;1.8;;;;;0;;;;;;;;;;;;;;
GUT;25.06.1976 00:00;21.8;27.5;13.5;;;;48.1;12.4;970;;;;;1.2;;4.3;;;;;0;;;;;;;;;;;;;;
GUT;26.06.1976 00:00;22.1;27.6;14.5;;;;44.5;12.3;970.6;;;;;1.3;;5;;;;;0;;;;;;;;;;;;;;
GUT;27.06.1976 00:00;21.3;27.9;12;;;;48.2;11.7;972.4;;;;;0.5;;1.8;;;;;0;;;;;;;;;;;;;;
GUT;28.06.1976 00:00;22.2;28.1;13.9;;;;46.2;11.8;969.2;;;;;2.1;;7.6;;;;;0;;;;;;;;;;;;;;
GUT;29.06.1976 00:00;23;29.2;14.2;;;;48.6;13.5;968.5;;;;;0.7;;2.5;;;;;0;;;;;;;;;;;;;;
GUT;30.06.1976 00:00;23.4;29.7;15;;;;54.4;15.9;968.6;;;;;0.3;;1.8;;;;;0;;;;;;;;;;;;;;
GUT;01.07.1976 00:00;23.8;30.1;17.2;;;;45.2;12.3;967.6;;;;;1.2;;4.3;;;;;0;;;;;;;;;;;;;;
GUT;02.07.1976 00:00;23.1;30.4;14.2;;;;48.1;13.4;967.1;;;;;0.7;;2.5;;;;;0;;;;;;;;;;;;;;
GUT;03.07.1976 00:00;22;30.1;14.2;;;;51.4;13.8;967.3;;;;;0.3;;1.8;;;;;0;;;;;;;;;;;;;;
GUT;04.07.1976 00:00;22.5;29.4;13.6;;;;48.5;13.6;965.5;;;;;0.3;;1.8;;;;;0;;;;;;;;;;;;;;
