station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0
HLL;01.07.1886 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
HLL;02.07.1886 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
HLL;03.07.1886 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
HLL;04.07.1886 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
HLL;05.07.1886 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
HLL;06.07.1886 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
HLL;07.07.1886 00:00;;;;;;;;;;;;;;;;;;;;;2.7;;;;;;;;;;;;;;
HLL;08.07.1886 00:00;;;;;;;;;;;;;;;;;;;;;1.5;;;;;;;;;;;;;;
HLL;09.07.1886 00:00;;;;;;;;;;;;;;;;;;;;;9.1;;;;;;;;;;;;;;
HLL;10.07.1886 00:00;;;;;;;;;;;;;;;;;;;;;4.3;;;;;;;;;;;;;;
HLL;11.07.1886 00:00;;;;;;;;;;;;;;;;;;;;;0.3;;;;;;;;;;;;;;
HLL;12.07.1886 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
HLL;13.07.1886 00:00;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;
HLL;14.07.1886 00:00;;;;;;;;;;;;;;;;;;;;;14;;;;;;;;;;;;;;
HLL;15.07.1886 00:00;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;
HLL;16.07.1886 00:00;;;;;;;;;;;;;;;;;;;;;0.3;;;;;;;;;;;;;;
